tag_osm,valor_osm,subcategoria_v2,confianza_tag,riesgo,requiere_revision_manual
amenity,restaurant,restaurantes,fuerte,medio,no
amenity,cafe,cafeterias,fuerte,medio,si
amenity,bar,bares,fuerte,medio,no
amenity,pub,bares,fuerte,medio,no
amenity,fast_food,rotiserias,medio,medio,si
amenity,ice_cream,heladerias,fuerte,bajo,no
shop,bakery,panaderias,fuerte,bajo,no
shop,pastry,pastelerias,fuerte,medio,si
shop,confectionery,confiterias,fuerte,medio,si
shop,pasta,casas_de_pastas,fuerte,bajo,si
shop,chocolate,chocolaterias,fuerte,medio,no
shop,wine,vinotecas,fuerte,medio,no
shop,cheese,queserias,fuerte,medio,no
shop,deli,charcuterias,medio,medio,si
shop,coffee,cafeterias_de_especialidad,medio,alto,si
craft,coffee_roaster,tostadores_de_cafe,medio,alto,si
craft,caterer,obradores,medio,alto,si
craft,bakery,obradores,medio,alto,si
shop,greengrocer,pendiente_revision_taxonomica,debil,alto,si
amenity,marketplace,mercados_gastronomicos,medio,medio,si
