categoria_gastronomica_inferida,cantidad_habilitaciones,confianza_promedio,estado_datos,fuentes_utilizadas,urls_fuentes,fecha_consulta_min,fecha_consulta_max,nota_metodologica,limitaciones,apto_dashboard
Cafe,7803,0.85,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Catering,5860,0.85,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Bar,5786,0.8,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Comida al paso,4446,0.8,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Restaurante,4413,0.8,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Panaderia,3357,0.9,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Pizzeria,2467,0.9,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Pasteleria,1736,0.85,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Parrilla,1568,0.9,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Heladeria,33,0.9,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Mercado,2,0.85,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
Feria,1,0.85,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Conteo de habilitaciones F02 por categoria gastronomica inferida.,Categorias inferidas por keywords sobre descripcion de rubro.,si
