TIPO2,registros
MULTIFAMILIAR,146119
UNIFAMILIAR,107951
SIN IDENTIFICAR,36678
,15637
INDUMENTARIA,6118
DEPOSITO,5642
EDIFICIO PRODUCTIVO,3859
KIOSCO,3011
TALLER MECANICO DE AUTOMOTORES,2993
RESTAURANTE,2715
PELUQUERIA,2692
VERDULERIA,2421
UNIDAD DE BAJA ESCALA,2285
INMOBILIARIA,1894
CAFÉ,1728
PANADERIA,1716
MINIMERCADO,1515
SUPERMERCADO,1308
SIN REJA,1283
CARNICERIA,1242
FERRETERIA,1193
COMIDAS PARA LLEVAR,1157
DIETETICA,1156
MULTIFAMILIAR CON ACTIVIDAD ECONÓMICA,1134
FARMACIA Y PERFUMERIA,1123
LOTERIA,1113
BAZAR,1073
MAXIKIOSCO,1059
LIBRERÍA,1041
PIZZERIA,1011
GALPON,1002
LAVADERO DE ROPA,947
ALMACEN,916
FIAMBRERIA Y QUESERIA,915
CALZADO,908
BAR,904
MUEBLES (VENTA),883
HOTEL,804
HELADERIA,797
IGLESIA,772
OPTICA,746
BANCO,677
CENTRO DE ESTETICA CORPORAL,676
CONCESIONARIA AUTOMOTORES,675
USOS MÚLTIPLES,667
VETERINARIA (ATENCION),665
BARBERIA,663
UNIFAMILIAR CON ACTIVIDAD ECONÓMICA,624
REPUESTOS AUTOMOTOR,624
CENTRO DE SALUD,587
GIMNASIO,584
ARTICULOS DE LIMPIEZA,568
LENCERIA,552
CLUB,536
TELAS (VENTA),509
ALIMENTOS PARA MASCOTAS,508
PRODUCTOS VETERINARIOS,506
COLEGIO PRIMARIO,506
ACCESORIOS PARA CELULARES,504
JARDIN DE INFANTES,497
GRANJA,496
CERRAJERIA,479
COMIDA RAPIDA,465
CON REJA,439
ODONTOLOGIA,432
GERIATRICO,432
JUGUETERIA,431
ARTICULOS ELECTRONICOS,425
ASOCIACION CIVIL,417
PINTURERIA,415
CONJUNTO DE VIVIENDA,409
ORGANISMOS PUBLICOS NACIONALES,404
JOYERIA,391
EMPANADAS,390
CONFITERIA,386
FABRICA DE PASTAS,375
CENTRO CULTURAL,371
MERCERIA,370
PASEO DE COMPRAS,361
MANICURIA Y PEDICURIA,360
BICICLETAS,350
HOTEL FAMILIAR,346
LOCAL PARTIDARIO,343
PARRILLA,343
ESTUDIO JURIDICO,342
SERVICIOS PROFESIONALES,332
VINOS (VENTA),330
COTILLON,328
EDIFICIO ADMINISTRATIVO,328
PAPELERIA,316
ROTISERIA,310
ENSEÑANZA,309
PERFUMERIA,307
ORGANISMOS PUBLICOS MUNICIPALES (GCBA),303
CANCHAS DE FUTBOL,300
BEBIDAS ALCOHOLICAS,289
REGALOS,288
SANITARIOS,286
SINDICATO,282
SALON DE EVENTOS,276
LIBROS (VENTA),275
COBRO DE FACTURAS,269
VIDRIERIA,269
MATERIALES PARA LA CONSTRUCCION,265
BLANCO,260
CERVECERIA,252
COLCHONES,251
MARROQUINERIA,250
TINTORERIA,250
IMPRENTA,249
"JARDIN DE INFANTES, COLEGIO PRIMARIO Y SECUNDARIO",247
AGENCIA DE VIAJES Y TURISMO,246
VENTA POR VENTANA,242
LAVADERO DE AUTOS,236
ACCESORIOS DE VESTIR,235
COMPOSTURA DE CALZADO,231
"MOTOS, REPUESTOS Y ACCESORIOS",229
COLEGIO SECUNDARIO,228
JARDIN DE INFANTES Y COLEGIO PRIMARIO,216
ARREGLO DE ROPA,215
ILUMINACION,214
ENSEÑANZA - UNIVERSIDAD,214
SERVICIOS DE COMPUTACION,211
REPARACION DE ELECTRODOMESTICOS,208
GALERÍA BARRIAL,206
ACCESORIOS AUTOMOTOR,206
"FOTOCOPIAS, COPIADO, IMPRESIONES",201
TAPICERIA,200
DISTRIBUCION ENERGIA ELECTRICA,199
REPARACION DE ART. ELECTRONICOS,197
POLICIA,197
CENTRO DE JUBILADOS,197
BIJOUTERIE,191
COLEGIO PRIMARIO Y SECUNDARIO,189
GOLOSINAS,187
CONSULTORIO MEDICO,181
VIVERO,175
HERRERIA,175
ANTIGUEDADES,175
ALBERGUE TRANSITORIO,174
SEGUROS,172
OBRA SOCIAL,168
ELECTRODOMESTICOS,166
ACTIVIDADES RELIGIOSAS,160
DEPILACION,158
ARTICULOS DE DECORACION,158
MATERIALES ELECTRICOS,158
ARTICULOS ORTOPEDICOS,153
TEATRO,151
CLINICAS,151
PILATES,148
ASOCIACION SOCIAL Y CULTURAL,146
SERVICIOS GRAFICOS,145
LOGISTICA Y DISTRIBUCION,145
ENSEÑANZA DE IDIOMAS,143
RELOJERIA,139
PESCADERIA,139
PAÑALERA,137
ESCUELA DE DANZAS,137
REPARACION CELULARES,134
CHAPA Y PINTURA AUTOMOTORES,133
GALERIA DE ARTE,132
MAQUINAS Y HERRAMIENTAS,129
REMISERIA,128
LABORATORIO ANALISIS CLINICOS,127
ABERTURAS,127
GOMERIA,125
FLORES Y PLANTAS,125
DECORACION DE INTERIORES,124
CORREO,117
CARPINTERIA,117
TATUAJES,117
ARTICULOS DEPORTIVOS,116
EMBAJADA,115
ASOCIACION MUTUAL,113
LUBRICENTRO,113
MUSEO,110
ARTICULOS PARA EL HOGAR,109
COSMETICOS,109
CASA DE FOTOGRAFIA,107
SERVICIO (OTROS),105
CARTERAS,99
GIROS DE DINERO,95
PISOS DE MADERA,95
REPARACION DE MOTOS,95
PODOLOGIA,93
CERRAMIENTOS,92
CAMPO DE DEPORTES,91
INSTRUMENTOS MUSICALES,90
CAFÉ (VTA AL PASO),89
SANDWICHERIA,88
YOGA,86
PC E INSUMOS PC,81
VENTA POR MAYOR DE ALIMENTOS Y BEBIDAS,81
TALLER DE MARCOS (ENMARCADO DE CUADROS),80
BATERIAS AUTOMOTORES,80
CERAMICAS,80
DISEÑO GRAFICO,79
SEPELIOS,79
CENTRO DE RECICLAJE,77
CENTRO DE REHABILITACION,77
BIBLIOTECA,77
ACCESORIOS DE PELUQUERIA,77
ESCUELA DE ARTE,76
CONSULTORIO PRIVADO,75
MAQUINAS DE COSER,74
CASA DE CAMBIO,72
ENSEÑANZA - TERCIARIO,70
