item,nombre,clase_wikidata,fundacion,direccion,sitio_web,comuna_o_barrio,geocodificar_con
Q1025674,Café Tortoni,cafetería,1858-01-01,Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina,https://cafetortoni.com.ar,Buenos Aires,USIG desde `direccion`; NO usar coordenada de Wikidata
Q16535985,Bar Británico,bar · cafetería,,Brasil 399,,San Telmo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q16540035,Café San Bernardo,edificio,,Corrientes 5436,,Villa Crespo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q16540045,Café de los Angelitos,edificio,,Av. Rivadavia 2064,,Balvanera,USIG desde `direccion`; NO usar coordenada de Wikidata
Q17631101,Esquina Homero Manzi,edificio,,San Juan y Boedo,,Boedo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q18643936,Café El Estaño 1880,edificio,,Aristóbulo del Valle 1100,,La Boca,USIG desde `direccion`; NO usar coordenada de Wikidata
Q5017245,La Biela,cafetería,,Quintana 600,,Buenos Aires,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826220,American Bar,edificio,,Diagonal Norte 632,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826280,Café Margot,edificio,,Boedo 857,http://www.losnotables.com.ar,Boedo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826290,Bar de Cao,edificio,,Independencia 2400,http://www.losnotables.com.ar,San Cristóbal,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826297,Celta Bar,edificio,,Sarmiento 1701,http://www.losnotables.com.ar,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826305,Café La Poesía,edificio,,Chile 502,http://www.losnotables.com.ar,San Telmo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826310,9 de julio,edificio,,Larrazabal 1276,,Mataderos,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826315,12 de octubre,edificio,,Bulnes 331,,Almagro,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826321,Barbaro,edificio,,Tres Sargentos 415,,Retiro,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826324,Bar Bidou,edificio,,Diagonal Norte 858,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826332,Bar Carlitos,edificio,,Carlos Calvo 2607,,San Cristóbal,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826349,Bar del Alvear Palace Hotel,edificio,,Av. Alvear 1891,,Recoleta,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826438,Bar del Glorias,edificio,,Andalgala 1982,,Mataderos,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826453,Bar El Colonial,edificio,,Av. Belgrano 599,,Monserrat,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826471,Bar iberia,edificio,,Av. De Mayo 1196,,Monserrat,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826482,Bar Lavalle,edificio,,Lavalle 1693,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826501,Bar Oviedo,edificio,,Lisandro de la Torre 2407,,Mataderos,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826508,Bar Plaza Dorrego,edificio,,Defensa 1098,,San Telmo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826515,Bar Quintino,edificio,,Carlos Calvo 4002,,Boedo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826523,Bar Seddon,edificio,,Defensa 695,,Monserrat,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826536,Bar Sur,edificio,,Estados Unidos 299,https://bar-sur.com.ar,Buenos Aires,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826560,Bar Boston City,edificio,,Florida 165,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826565,Café de la Esquina,edificio,,Av. Del Libertador 6196,,Belgrano,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826568,Café de la U,edificio,,Triunvirato 4801,,Villa Urquiza,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826576,Café de los Incas,edificio,,Av. De los Incas 3909,,Villa Ortúzar,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826578,Café Don Juan,edificio,,Camarones 2702,,Villa Santa Rita,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826581,Café Los Andes,edificio,,Scalabrini Ortiz 1312,,Palermo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826585,Café Montecarlo,edificio,,Paraguay 5491,,Palermo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826592,Café Monserrat,edificio,,San Jose 524,,Monserrat,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826599,Café Nostalgia,edificio,,Soler 3599,,Recoleta,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826603,Café Olimpo,edificio,,Irigoyen 1491,,Monte Castro,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826607,Café Palacio,edificio,,Av. F. Lacroze 3901,,Chacarita,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826608,Café Roma,edificio,,Olavarria 409,,La Boca,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826620,Café Roma,edificio,,San Luis 3101,,Balvanera,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826622,Café Thibon,edificio,,Montevideo 723,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826626,Caffe Tabac,edificio,,Av. Del Libertador 2300,,Palermo,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826629,Casa Watson,edificio,,Vuelta De Obligado 2072,,Belgrano,USIG desde `direccion`; NO usar coordenada de Wikidata
Q56826633,Claridge's,edificio,,Tucuman 535,,San Nicolás,USIG desde `direccion`; NO usar coordenada de Wikidata
