item,clase,coord
Q578550,Q123705,Point(-58.52069 -34.56885)
Q578550,Q486972,Point(-58.52069 -34.56885)
Q4713869,Q3257686,Point(-58.51805556 -34.70833333)
Q5136363,Q847017,Point(-58.481441605 -34.69861235)
Q5840728,Q55484,Point(-58.5059 -34.7099)
Q5840728,Q55678,Point(-58.5059 -34.7099)
Q5840728,Q114782406,Point(-58.5059 -34.7099)
Q5841342,Q55488,Point(-58.5374 -34.5288)
Q5843849,Q55488,Point(-58.5236 -34.5317)
Q5845059,Q55488,Point(-58.5117 -34.7024)
Q5848478,Q483110,Point(-58.5257 -34.5381)
Q6010442,Q1497364,Point(-58.500555555 -34.708888888)
Q6010442,Q2128165,Point(-58.500555555 -34.708888888)
Q6010442,Q4830453,Point(-58.500555555 -34.708888888)
Q6060677,Q55484,Point(-58.506 -34.71)
Q6060677,Q55488,Point(-58.506 -34.71)
Q6060677,Q55678,Point(-58.506 -34.71)
Q6060677,Q114782406,Point(-58.506 -34.71)
Q6118266,Q3257686,Point(-58.5353 -34.5564)
Q6162091,Q3257686,Point(-58.4825 -34.700555555)
Q6162091,Q5770918,Point(-58.4825 -34.700555555)
Q6162184,Q486972,Point(-58.5286 -34.5456)
Q6162266,Q486972,Point(-58.5381 -34.5481)
Q7088223,Q847017,Point(-58.520378922 -34.521186742)
Q7684607,Q3257686,Point(-58.5047 -34.7058)
Q18416930,Q1154710,Point(-58.513611111 -34.703333333)
Q21001766,Q2085381,Point(-58.519903277 -34.541414347)
Q64338916,Q5728070,Point(-58.527745 -34.546242)
Q64339185,Q5728070,Point(-58.511217 -34.69785)
Q83869507,Q385994,Point(-58.537958 -34.534245)
Q83870433,Q385994,Point(-58.536317 -34.535431)
Q83873037,Q385994,Point(-58.511073 -34.697902)
Q93820300,Q16917,Point(-58.530772 -34.533086)
Q93820765,Q16917,Point(-58.533341 -34.53958)
Q93820766,Q16917,Point(-58.533163 -34.53922)
Q93820786,Q16917,Point(-58.50396 -34.699508)
Q93823596,Q16917,Point(-58.525644 -34.549819)
Q93823909,Q16917,Point(-58.514999 -34.705996)
Q93824362,Q16917,Point(-58.53108 -34.532433)
Q93824364,Q16917,Point(-58.531141 -34.530691)
Q93824689,Q16917,Point(-58.503946 -34.699432)
Q111695557,Q653208,Point(-58.469811 -34.698014)
Q111695557,Q721747,Point(-58.469811 -34.698014)
Q111695558,Q241045,Point(-58.469811 -34.698014)
Q111695559,Q653208,Point(-58.469811 -34.698014)
Q111695559,Q721747,Point(-58.469811 -34.698014)
Q111695561,Q4989906,Point(-58.469811 -34.698014)
Q111695562,Q653208,Point(-58.469811 -34.698014)
Q111695562,Q721747,Point(-58.469811 -34.698014)
Q111695563,Q721747,Point(-58.469811 -34.698014)
Q111695564,Q721747,Point(-58.469811 -34.698014)
Q111695565,Q653208,Point(-58.469811 -34.698014)
Q111708113,Q653208,Point(-58.470645 -34.698431)
Q120997634,Q2022036,Point(-58.5346 -34.56052)
Q140279198,Q9842,Point(-58.514915 -34.705599)
Q140279198,Q423208,Point(-58.514915 -34.705599)
Q140279198,Q67388747,Point(-58.514915 -34.705599)
Q140279199,Q9842,Point(-58.517497 -34.707818)
Q140279199,Q1080794,Point(-58.517497 -34.707818)
Q140279199,Q67388747,Point(-58.517497 -34.707818)
Q140279620,Q9842,Point(-58.53138 -34.544625)
Q140279620,Q1080794,Point(-58.53138 -34.544625)
Q140279620,Q67388747,Point(-58.53138 -34.544625)
Q140280061,Q9842,Point(-58.534864 -34.52729)
Q140280061,Q1080794,Point(-58.534864 -34.52729)
Q140280061,Q67388747,Point(-58.534864 -34.52729)
Q140280063,Q9842,Point(-58.529222 -34.525386)
Q140280063,Q423208,Point(-58.529222 -34.525386)
Q140280063,Q67388747,Point(-58.529222 -34.525386)
Q140280939,Q9842,Point(-58.519523 -34.545399)
Q140280939,Q1080794,Point(-58.519523 -34.545399)
Q140280939,Q67388747,Point(-58.519523 -34.545399)
Q140280956,Q9842,Point(-58.520512 -34.541869)
Q140280956,Q423208,Point(-58.520512 -34.541869)
Q140280956,Q67388747,Point(-58.520512 -34.541869)
Q140281183,Q9842,Point(-58.537385 -34.554019)
Q140281183,Q1080794,Point(-58.537385 -34.554019)
Q140281183,Q67388747,Point(-58.537385 -34.554019)
Q140281184,Q9842,Point(-58.522633 -34.554554)
Q140281184,Q1080794,Point(-58.522633 -34.554554)
Q140281184,Q67388747,Point(-58.522633 -34.554554)
Q140283185,Q9842,Point(-58.532022 -34.53346)
Q140283185,Q423208,Point(-58.532022 -34.53346)
Q140283185,Q67388747,Point(-58.532022 -34.53346)
Q140283186,Q9842,Point(-58.519737 -34.529361)
Q140283186,Q1080794,Point(-58.519737 -34.529361)
Q140283186,Q67388747,Point(-58.519737 -34.529361)
Q140283187,Q9842,Point(-58.522066 -34.53621)
Q140283187,Q1080794,Point(-58.522066 -34.53621)
Q140283187,Q67388747,Point(-58.522066 -34.53621)
Q140283188,Q9842,Point(-58.520782 -34.530571)
Q140283188,Q423208,Point(-58.520782 -34.530571)
Q140283188,Q67388747,Point(-58.520782 -34.530571)
Q140283190,Q9842,Point(-58.536971 -34.534068)
Q140283190,Q423208,Point(-58.536971 -34.534068)
Q140283190,Q67388747,Point(-58.536971 -34.534068)
Q140283192,Q9842,Point(-58.521727 -34.530032)
Q140283192,Q1080794,Point(-58.521727 -34.530032)
Q140283192,Q67388747,Point(-58.521727 -34.530032)
Q140283193,Q9842,Point(-58.525066 -34.528629)
Q388695,Q486972,Point(-58.539166666 -34.620555555)
Q655117,Q851517,Point(-58.523611111 -34.628333333)
Q1196603,Q483110,Point(-58.520711 -34.635375)
Q1196603,Q1154710,Point(-58.520711 -34.635375)
Q1328458,Q486972,Point(-58.533333333 -34.633333333)
Q2530296,Q3257686,Point(-58.529722222 -34.666666666)
Q2530296,Q5770918,Point(-58.529722222 -34.666666666)
Q3826133,Q350604,Point(-58.536388888 -34.698611111)
Q5694928,Q55488,Point(-58.5281 -34.6931)
Q5845331,Q4663385,Point(-58.524444444 -34.628888888)
Q5845331,Q19860854,Point(-58.524444444 -34.628888888)
Q6079639,Q41176,Point(-58.526915261 -34.639300855)
Q6127009,Q41176,Point(-58.52196 -34.664056)
Q6127009,Q8343784,Point(-58.52196 -34.664056)
Q6465359,Q1549591,Point(-58.53333333 -34.68333333)
Q6465359,Q3257686,Point(-58.53333333 -34.68333333)
Q6465359,Q5770918,Point(-58.53333333 -34.68333333)
Q6554165,Q55488,Point(-58.5256 -34.6388)
Q18417758,Q55488,Point(-58.52013889 -34.63302778)
Q20983570,Q846659,Point(-58.525 -34.68972222)
Q38263180,Q41253,Point(-58.5264371 -34.6391346)
Q56208139,Q16970,Point(-58.528097615 -34.637896899)
