id_habilitacion,id_fuente,url_fuente,fecha_consulta,periodo_fuente,anio_fuente,fecha_habilitacion,descripcion_rubro_original,descripcion_rubro_normalizada,es_gastronomico,categoria_gastronomica_inferida,confianza_categoria,motivo_categoria,id_ubicacion,direccion_original,barrio,comuna,comuna_fuente_original,superficie,origen_dato,estado_datos,calidad_dato,requiere_validacion,motivo_validacion,observaciones
HAB0005979,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-12-05,CAFÉ BAR,cafe bar,si,Cafe,0.85,Keyword gastronomica: cafe,U09ADD,"PERON, JUAN DOMINGO, TTE. GENERAL 1701",No determinado,No determinada,No informada,"83,46",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0005980,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-12-05,"DESPACHO DE BEBIDAS,WISQUERIA, CERVECERIA","despacho de bebidas,wisqueria, cerveceria",si,Bar,0.8,Keyword gastronomica: cervecer,U09ADD,"PERON, JUAN DOMINGO, TTE. GENERAL 1701",No determinado,No determinada,No informada,"83,46",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0005981,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-12-05,PARRILLA,parrilla,si,Parrilla,0.9,Keyword gastronomica: parrill,U09ADD,"PERON, JUAN DOMINGO, TTE. GENERAL 1701",No determinado,No determinada,No informada,"83,46",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0005982,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-12-05,COM.MIN.DE HELADOS (SIN ELABORACION),com.min.de helados (sin elaboracion),si,Heladeria,0.9,Keyword gastronomica: helado,U09ADD,"PERON, JUAN DOMINGO, TTE. GENERAL 1701",No determinado,No determinada,No informada,"83,46",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0006681,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-02-29,CASA DE COMIDAS ROTISERIA,casa de comidas rotiseria,si,Comida al paso,0.8,Keyword gastronomica: rotiser,UC20DB,LARRAZABAL AV. 705,No determinado,No determinada,No informada,"30,04",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0008524,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-05-27,CAFÉ BAR,cafe bar,si,Cafe,0.85,Keyword gastronomica: cafe,U64297,"NEWBERY, JORGE AV. 3540",No determinado,No determinada,No informada,"68,48",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0008525,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-05-27,"DESPACHO DE BEBIDAS,WISQUERIA, CERVECERIA","despacho de bebidas,wisqueria, cerveceria",si,Bar,0.8,Keyword gastronomica: cervecer,U64297,"NEWBERY, JORGE AV. 3540",No determinado,No determinada,No informada,"68,48",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0009060,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-05-27,CAFÉ BAR,cafe bar,si,Cafe,0.85,Keyword gastronomica: cafe,U248E5,TUCUMAN 555,No determinado,No determinada,No informada,"227,3",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0009061,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-05-27,CASA DE COMIDAS ROTISERIA,casa de comidas rotiseria,si,Comida al paso,0.8,Keyword gastronomica: rotiser,U248E5,TUCUMAN 555,No determinado,No determinada,No informada,"227,3",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
HAB0009062,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2015-2018,2015-2018,2016-05-27,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL","com.min. elab. y vta.pizza, fuga- zza, faina, empanadas postres, flanes, churros, grill",si,Pizzeria,0.9,Keyword gastronomica: pizz,U248E5,TUCUMAN 555,No determinado,No determinada,No informada,"227,3",datos reales parciales,datos reales,alta,si,Mapeo automatico desde fuente real; revisar contrato,
