id_puesto_feria,id_fuente,feria_nombre,puesto,rubro_puesto,categoria_titularidad,persona_hash,url_fuente,fecha_consulta,origen_dato,estado_datos,calidad_dato,requiere_validacion,motivo_validacion,apto_dashboard,uso,limitaciones,observaciones
PUESTO000001,F03,Parque Centenario - Libros,27,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,8d53bd5938f13cf9,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000002,F03,Parque Centenario - Libros,28,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,6a1b41cbc6942053,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000003,F03,Parque Centenario - Libros,30,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,5d37488caacd012d,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000004,F03,Parque Centenario - Libros,32,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,399e0a9843b40141,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000005,F03,Parque Centenario - Libros,34,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,9eea9bf92aeeb08a,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000006,F03,Parque Centenario - Libros,11,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,bf2154a4e727b2b5,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000007,F03,Parque Centenario - Libros,36,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,14adb9fdc4a76683,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000008,F03,Parque Centenario - Libros,38,COMPRA-VENTA Y/O CANJE DE LIBROS Y REVISTAS USADOS.,TITULAR,47a782e9904079e5,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000009,F03,Plaza Houssay,1,LIBROS Y REVISTAS USADOS,TITULAR,a1133d5d1aa0b524,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
PUESTO000010,F03,Plaza Houssay,3,LIBROS Y REVISTAS USADOS,TITULAR,ec47b3d775583514,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Padron de puestos/personas; grano no comparable con espacios,no,auditoria_interna,Grano puesto/persona. No usar como KPI de ferias/mercados y no exponer datos personales.,
