ruta_relativa_repo,tipo,versión,propósito,requerida,existe,tamaño_bytes,sha256,usada_por,observaciones
docs/infraestructura_agentes_skills_v1/skills/auditar_evidencia_documental/SKILL.md,skill_v1,1,Procedimiento evidencia,sí,sí,3321,b32c9865f79e9d6e5f4cc370e5efd08eeba52a40ea9c79397e027ebc65a39685,investigador_documental,Canónico procedimiento
docs/infraestructura_agentes_skills_v1/skills/transformar_cartografia_a_presentacion/SKILL.md,skill_v1,1,Presentación cartográfica,sí,sí,3451,9e4dd61110d6c994542b9337d54a72be55b91b465ff4f3b6cab62ac29183cb3e,cartografo_territorial,
docs/infraestructura_agentes_skills_v1/skills/integrar_handoffs/SKILL.md,skill_v1,1,Handoffs,sí,sí,3131,7e81b046d1a49f258cb75ba26ce2fe6efc8adf1174da439450dde5278aef678e,integrador,
docs/infraestructura_agentes_skills_v1/skills/auditar_entregable_experimental/SKILL.md,skill_v1,1,Cierre experimental,sí,sí,4003,77524621cc9361dea384b929d1b2a5b562439f1a6e1ac312c6d099f678a7bdec,auditor_qa,
docs/infraestructura_agentes_skills_v1/skills/auditar_git_y_archivos_protegidos/SKILL.md,skill_v1,1,Git y protegidos,sí,sí,3210,69e5621cef3ff064b4c94e138672cbd9dae894a057a48a619dde5382efe4429c,auditor_qa,
docs/infraestructura_agentes_skills_v1/skills/crear_manifest_hashes_metadata/SKILL.md,skill_v1,1,Manifest (concepto),sí,sí,2581,17bf3cba3881ae7d040165cbf3be641040bc60c7f85268101b2456998d0bca60,empaquetado,Esquema actualizado en V1.1 docs
docs/infraestructura_agentes_skills_v1/skills/crear_paquete_revision_sanitizado/SKILL.md,skill_v1,1,Pack sanitizado,sí,sí,3135,2f4ddd79d7d0a4ebbb19daa581187c7d74e8861fae68a5dbe087cfa144ee23b3,auditor_qa,
docs/infraestructura_agentes_skills_v1/skills/validar_metricas_y_kpis/SKILL.md,skill_v1,1,KPIs,sí,sí,2729,a6f35793838c434608a9cfc2a74bb7adcd7d5dec14025b65c44a2c5f4b7023ad,auditor_qa,
docs/infraestructura_agentes_skills_v1/skills/qa_pdf_pagina_por_pagina/SKILL.md,skill_v1,1,QA PDF,sí,sí,3248,ebe55c963e7bb3ab5aeafe16c00cf905d693582a36fed10f13928c96bda17f05,auditor_qa,
docs/infraestructura_agentes_skills_v1/skills/gestionar_decisiones_humanas/SKILL.md,skill_v1,1,Decisiones humanas,sí,sí,3065,25ec678813a938a5a548dee5ce04b8245c6807e5f676b20dd515b18c577e8a6d,integrador,
docs/infraestructura_agentes_skills_v1/agents/investigador_documental.md,agente_v1,1,Definición rol,sí,sí,2137,b7d6064460d7523547621d20d9d38025b4fbb98a471b4c81a556b83536ac7fd7,piloto,
docs/infraestructura_agentes_skills_v1/agents/cartografo_territorial.md,agente_v1,1,Definición rol,sí,sí,2135,0c4d24260763f33c97b8f3f36a7b2642fe5b670af71f66ceee959d4ecd0cd940,piloto,
docs/infraestructura_agentes_skills_v1/agents/integrador_tecnico_editorial.md,agente_v1,1,Definición rol,sí,sí,2323,c7759643ae196e43aef5deb1d8e1d8b4d0d608d5802b55e9947fee5b98122a09,piloto,
docs/infraestructura_agentes_skills_v1/agents/auditor_qa.md,agente_v1,1.1,Definición rol,sí,sí,2163,23ebb5b9efa08b23f66070482e10da2b93a18fb75f0dfcbfb063ebe371f2d59d,piloto,
docs/skills_claude/01_datagastro_guardrails.md,guardrail,canónico,Prioridad 0 seguridad,sí,sí,4362,c5b0873414691f0af0c10fb682ecc62ad76d5ee1ca0c60bcb0783fc6ba081c0b,política,
docs/skills_claude/03_privacidad_datos_sensibles.md,guardrail,canónico,Privacidad,sí,sí,3513,cc6d6a5b62fbb180392ad3b9c98fe3e227cf5dcc3ca2f22ff9a0210edb59d156,política,
.claude/skills/datagastro-guardrails/SKILL.md,skill_productiva,wrapper,Claude runtime,no,sí,1290,287193ccb154f910e433d1b3fc8976a8bbca060a67a0d8aa9917d666a738f848,Claude Code,No duplicar en ZIP
.claude/skills/datagastro-qa-pdf/SKILL.md,skill_productiva,wrapper,QA PDF Claude,no,sí,2207,72a6943576233c39e5cc60988f4eab7e0508311425cb53e669a77b1a2c3d81f3,Claude Code,Ausente en espejos Codex
.claude/skills/datagastro-informes/SKILL.md,skill_productiva,wrapper,Informes,no,sí,2212,2e9519b1a0cf2b48c42023f8b06c1b572b6b7cc7d4b5dd59b1f1bce8bc397048,Claude Code,Puede diverger de espejos
AGENTS.md,entrada_codex,repo,Instrucciones multiagente,sí,sí,12006,9afed6cada77ebad83c4c75755ed2295118ea117cb9030604de7f3c1896ab6a0,Codex/agentes,Puntero V1.1 aplicado
CLAUDE.md,entrada_claude,repo,Instrucciones Claude,sí,sí,6959,fdb067e4b70bf69f0282aa11cf57544cf7a281b5713c5f4f39488fb5a601b064,Claude Code,Puntero V1.1 aplicado
agent_skills/codex/README.md,entrada_codex,repo,Puntero adaptadores Codex,sí,sí,786,bfc89f0e51589b1057a14fd3b30f9ea0813b9988500dfbbc9679ca26de36099d,Codex,
scripts/qa/validate_kpis.py,script_externo,repo,Validación KPIs E2E,sí,sí,1690,8f41dbfebc19ec8d4435dd8a79198119d10bf194fb1372430825f39fe7d48237,caso5/caso4,
scripts/qa/pdf_check.py,script_externo,repo,Render PDF,no,sí,3008,9ee2a53232e7be31010b9062fa559f0b7ba64eba345f249412b0472b94b4f402,qa_pdf skill,No re-ejecutado en hotfix
docs/polos_gastro/PROTECTED_SURFACES.yaml,registro,1,Superficies Polos,sí,sí,6287,d28bce9bf461f3bdc73c7c849f697f18b6be5c56a59c12ad356c05828ede4cec,política V1.1,Fuera del núcleo genérico
docs/infraestructura_agentes_skills_v1_1/POLITICA_OPERATIVA_DATAGASTRO_V1_1.md,politica,1.1,Política piloto,sí,sí,7037,1cd062183eda10b44faafdb69c6873585a628d138eb3b62c28d9d17803414d3b,todo V1.1,Canónico V1.1
docs/infraestructura_agentes_skills_v1_1/CATALOGO_AGENTES_SKILLS.json,catalogo,1.1,Catálogo machine-readable,sí,sí,10593,0c65225623f1848736dc5df8ccdaf83538453d99380c57226f096cca6785a509,adaptadores,
outputs/polos_gastro/REVISION_EVIDENCIA_DOCUMENTAL_POLOS_V1/,insumo_e2e,pack,Caso1 evidencia (directorio),sí,sí,117367,N/A_directorio,caso1,No en ZIP hotfix; en repo
outputs/polos_gastro/experimentos/pipeline_hibrido_integracion_v21/puerto_madero_capa_analitica_v21.geojson,insumo_e2e,v21,Caso2 analítica,sí,sí,11516,ca9309e43a98ad8be01f2cdedbb3da93f5f210d120284f3e09db8a0899916e05,caso2,Baseline solo lectura
