fuente_id,titulo,autor,medio,fecha,url,url_alternativa,estado_acceso,verificada,polos_asociados,observaciones
F-TB-POLOS,Polos gastronomicos,s/d,Turismo BA (GCBA),s/d (contenido estable >=2014),https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,https://web.archive.org/web/20140927100916/http://www.turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,activa,si,Recoleta; Belgrano (marco),Base institucional. 150 restaurantes = San Telmo no Recoleta.
F-TB-GASTRO,Gastronomia en Buenos Aires,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/article/gastronom%C3%ADa-en-buenos-aires,,activa_parcial,parcial,Belgrano (marco),Fetch intermitente; Belgrano no nombrado
F-TB-CN,Costanera Norte,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/costanera-norte,,activa_parcial,si,Costanera Norte,Identidad carritos + restaurantes clasicos
F-TB-PATIO,Patio Costanera Norte,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte,,activa,si,Costanera Norte,Puestos containers Obligado 7010
F-GCBA-PATIO,Patio Costanera Norte,s/d,GCBA Desarrollo Gastronomico,s/d,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/patio-costanera-norte,,activa,si,Costanera Norte,Ficha oficial patio
F-BO-5961,Ley 5961 Distrito Joven Costanera Norte,Legislatura CABA,Boletin Oficial CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,https://documentosboletinoficial.buenosaires.gob.ar/publico/PL-LEY-LCABA-LCBA-5961-18-ANX.pdf,activa,si,Costanera Norte,Concesiones hasta 10 anos; parques; Aeroparque
F-LN-BEL-DISENO,Belgrano: gastronomia y tiendas de diseno en un barrio que no para de crecer,Gisela Carpineta,La Nacion,2019-07-12,https://www.lanacion.com.ar/otros/belgrano-gastronomia-y-tiendas-de-diseno-en-un-barrio-que-no-para-de-crecer-nid12072019/,,activa,si,Belgrano,Existencia polo barrial
F-LN-BC-40,Mas de 40 locales en 4 cuadras. Como es el nuevo polo gastronomico del Barrio Chino,Sebastian A. Rios,La Nacion,2023-05-01,https://www.lanacion.com.ar/sabado/mas-de-40-locales-en-4-cuadras-como-es-el-nuevo-polo-gastronomico-del-barrio-chino-nid01052023/,,activa,si,Belgrano,Centralidad Barrio Chino Via Viva
F-LN-BAJO,El Bajo Belgrano apuesta a grandes bares restaurantes y vida nocturna,s/d,La Nacion,circa 2013,https://www.lanacion.com.ar/lifestyle/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna-nid1578738/,https://carlosfelice.com.ar/blog/2013/06/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna/,paywall,parcial,Belgrano,Titulo y lead verificados; cuerpo paywall
F-LN-COCINAS,Cocinas del mundo: el barrio que ofrece platos de diversos paises en unas pocas cuadras,s/d,La Nacion,2025-01-20,https://www.lanacion.com.ar/sabado/el-nuevo-belgrano-la-gastronomia-del-mundo-se-da-cita-en-unas-pocas-cuadras-nid20012025/,,paywall,parcial,Belgrano,Titulo verificado
F-LN-DESALOJOS,Postergan desalojos en los carritos de la Costanera Norte,s/d,La Nacion,1997-10-08,https://www.lanacion.com.ar/sociedad/postergan-desalojos-en-los-carritos-de-la-costanera-norte-nid78338/,,paywall,parcial,Costanera Norte,Titulo verificado
F-LN-CHORIPAN,Cumplio todos los requisitos y paso a ser el primer choripanero habilitado,s/d,La Nacion,2004-10-04,https://www.lanacion.com.ar/sociedad/cumplio-todos-los-requisitos-y-paso-a-ser-el-primer-choripanero-habilitado-nid641953/,,paywall,parcial,Costanera Norte; marco ciudad,Hito de habilitación del oficio; cuerpo no leido completo
F-LN-RECO,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,Content LAB,La Nacion / Recoleta Urban Mall,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,,activa,si,Recoleta,BRANDED CONTENT; independencia baja
