fuente_id,titulo,autor,medio_u_organismo,fecha,url,url_alternativa,estado_acceso,detalle_acceso,caracter_fuente,detalle_caracter,apta_prueba_principal,polos_asociados,evidencias_asociadas,observaciones
F-TB-POLOS,Polos gastronomicos,s/d,Turismo BA (GCBA),s/d (contenido estable >=2014),https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,https://web.archive.org/web/20140927100916/http://www.turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,activa,con snapshot archivado 2014,publica,institucional turismo,si,Recoleta; Belgrano (marco),BEL-E01 REC-R01 REC-R02,Base institucional. La cifra de 150 restaurantes pertenece a San Telmo no a Recoleta (REC-R02 rechazada)
F-WA-TB-POLOS,Polos gastronomicos (snapshot Wayback 2014),s/d,Internet Archive / Turismo BA,2014-09-27,https://web.archive.org/web/20140927100916/http://www.turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,,archivada,snapshot estable,publica,institucional archivada,si,Recoleta; Belgrano (marco),BEL-E01,Prueba de estabilidad temporal del contenido institucional
F-TB-GASTRO,Gastronomia en Buenos Aires,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/article/gastronom%C3%ADa-en-buenos-aires,,activa,fetch intermitente (parcial),publica,institucional turismo,si,Belgrano (marco),BEL-E02,Belgrano no nombrado; uso solo como marco
F-TB-CN,Costanera Norte,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/costanera-norte,,activa,parcial en algunos fetch,publica,institucional turismo,si,Costanera Norte,CN-01,Identidad carritos + restaurantes clasicos
F-TB-PATIO,Patio Costanera Norte,s/d,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte,,activa,,publica,institucional turismo,si,Costanera Norte,CN-02,Puestos containers Obligado 7010
F-GCBA-PATIO,Patio Costanera Norte,s/d,GCBA Desarrollo Gastronomico,s/d,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/patio-costanera-norte,,activa,CMS historico puede variar,publica,institucional gobierno,si,Costanera Norte,CN-03,Ficha oficial del patio
F-BO-5961,Ley 5961 Distrito Joven Costanera Norte,Legislatura CABA,Boletin Oficial CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,https://documentosboletinoficial.buenosaires.gob.ar/publico/PL-LEY-LCABA-LCBA-5961-18-ANX.pdf,activa,anexos PDF disponibles,publica,legal (norma),si,Costanera Norte,CN-04 CN-05 CN-06,Concesiones hasta 10 anos; parques; Aeroparque
F-CEDOM-5961,Ley 5961 (espejo CEDOM),Legislatura CABA,CEDOM,s/d,http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley5961.html,,rota,DNS resolution failed (auditoria Grok 2026-07-11),publica,legal (espejo),no,Costanera Norte,,NO CITAR; usar Boletin Oficial como fuente canonica (descarte D11)
F-LN-BEL-DISENO,Belgrano: gastronomia y tiendas de diseno en un barrio que no para de crecer,Gisela Carpineta,La Nacion,2019-07-12,https://www.lanacion.com.ar/otros/belgrano-gastronomia-y-tiendas-de-diseno-en-un-barrio-que-no-para-de-crecer-nid12072019/,,activa,,periodistica,diario nacional,si,Belgrano,BEL-E03,Existencia de polo barrial
F-LN-BC-40,Mas de 40 locales en 4 cuadras. Como es el nuevo polo gastronomico del Barrio Chino,Sebastian A. Rios,La Nacion,2023-05-01,https://www.lanacion.com.ar/sabado/mas-de-40-locales-en-4-cuadras-como-es-el-nuevo-polo-gastronomico-del-barrio-chino-nid01052023/,,activa,,periodistica,diario nacional,si,Belgrano,BEL-E04,Centralidad Barrio Chino / Via Viva
