origen,termino_controlado,apariciones,resultado
YAML V2.2,ordena 22 zonas,0,APTO
YAML V2.2,polo Corrientes,0,APTO
YAML V2.2,polo de Corrientes,0,APTO
YAML V2.2,tres centralidades territoriales,0,APTO
YAML V2.2,post hoc,0,APTO
YAML V2.2,containers,0,APTO
YAML V2.2,"92,96",0,APTO
YAML V2.2,DataGastro,0,APTO
YAML V2.2,EXPERIMENTAL,0,APTO
YAML V2.2,NO OFICIAL,0,APTO
YAML V2.2,BEL-A,0,APTO
YAML V2.2,REC-A,0,APTO
YAML V2.2,CN-DEC10,0,APTO
YAML V2.2,Places,0,APTO
YAML V2.2,revisión interna,0,APTO
YAML V2.2,anonymous,0,APTO
YAML V2.2,preliminar,0,APTO
YAML V2.2,borrador,0,APTO
YAML V2.2,prueba,0,APTO
PDF texto,ordena 22 zonas,0,APTO
PDF texto,polo Corrientes,0,APTO
PDF texto,polo de Corrientes,0,APTO
PDF texto,tres centralidades territoriales,0,APTO
PDF texto,post hoc,0,APTO
PDF texto,containers,0,APTO
PDF texto,"92,96",0,APTO
PDF texto,DataGastro,0,APTO
PDF texto,EXPERIMENTAL,0,APTO
PDF texto,NO OFICIAL,0,APTO
PDF texto,BEL-A,0,APTO
PDF texto,REC-A,0,APTO
PDF texto,CN-DEC10,0,APTO
PDF texto,Places,0,APTO
PDF texto,revisión interna,0,APTO
PDF texto,anonymous,0,APTO
PDF texto,preliminar,0,APTO
PDF texto,borrador,0,APTO
PDF texto,prueba,0,APTO
PDF metadatos,ordena 22 zonas,0,APTO
PDF metadatos,polo Corrientes,0,APTO
PDF metadatos,polo de Corrientes,0,APTO
PDF metadatos,tres centralidades territoriales,0,APTO
PDF metadatos,post hoc,0,APTO
PDF metadatos,containers,0,APTO
PDF metadatos,"92,96",0,APTO
PDF metadatos,DataGastro,0,APTO
PDF metadatos,EXPERIMENTAL,0,APTO
PDF metadatos,NO OFICIAL,0,APTO
PDF metadatos,BEL-A,0,APTO
PDF metadatos,REC-A,0,APTO
PDF metadatos,CN-DEC10,0,APTO
PDF metadatos,Places,0,APTO
PDF metadatos,revisión interna,0,APTO
PDF metadatos,anonymous,0,APTO
PDF metadatos,preliminar,0,APTO
PDF metadatos,borrador,0,APTO
PDF metadatos,prueba,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,ordena 22 zonas,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,polo Corrientes,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,polo de Corrientes,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,tres centralidades territoriales,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,post hoc,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,containers,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,"92,96",0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,DataGastro,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,EXPERIMENTAL,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,NO OFICIAL,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,BEL-A,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,REC-A,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,CN-DEC10,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,Places,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,revisión interna,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,anonymous,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,preliminar,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,borrador,0,APTO
SVG costanera_norte_recorte_presentacion_v2_2.svg,prueba,0,APTO
SVG mapa_general_institucional_v3_2.svg,ordena 22 zonas,0,APTO
SVG mapa_general_institucional_v3_2.svg,polo Corrientes,0,APTO
SVG mapa_general_institucional_v3_2.svg,polo de Corrientes,0,APTO
SVG mapa_general_institucional_v3_2.svg,tres centralidades territoriales,0,APTO
SVG mapa_general_institucional_v3_2.svg,post hoc,0,APTO
SVG mapa_general_institucional_v3_2.svg,containers,0,APTO
SVG mapa_general_institucional_v3_2.svg,"92,96",0,APTO
SVG mapa_general_institucional_v3_2.svg,DataGastro,0,APTO
SVG mapa_general_institucional_v3_2.svg,EXPERIMENTAL,0,APTO
SVG mapa_general_institucional_v3_2.svg,NO OFICIAL,0,APTO
SVG mapa_general_institucional_v3_2.svg,BEL-A,0,APTO
SVG mapa_general_institucional_v3_2.svg,REC-A,0,APTO
SVG mapa_general_institucional_v3_2.svg,CN-DEC10,0,APTO
SVG mapa_general_institucional_v3_2.svg,Places,0,APTO
SVG mapa_general_institucional_v3_2.svg,revisión interna,0,APTO
SVG mapa_general_institucional_v3_2.svg,anonymous,0,APTO
SVG mapa_general_institucional_v3_2.svg,preliminar,0,APTO
SVG mapa_general_institucional_v3_2.svg,borrador,0,APTO
SVG mapa_general_institucional_v3_2.svg,prueba,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,ordena 22 zonas,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,polo Corrientes,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,polo de Corrientes,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,tres centralidades territoriales,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,post hoc,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,containers,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,"92,96",0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,DataGastro,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,EXPERIMENTAL,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,NO OFICIAL,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,BEL-A,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,REC-A,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,CN-DEC10,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,Places,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,revisión interna,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,anonymous,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,preliminar,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,borrador,0,APTO
DOC README_MICROAJUSTES_CIERRE_V2_2.md,prueba,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,ordena 22 zonas,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,polo Corrientes,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,polo de Corrientes,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,tres centralidades territoriales,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,post hoc,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,containers,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,"92,96",0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,DataGastro,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,EXPERIMENTAL,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,NO OFICIAL,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,BEL-A,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_1_V2_2.md,REC-A,0,APTO
