polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa,locales_sin_rus,densidad_sin_rus,clase_sin_rus,dist_al_corte,cambio_de_clase
P091,728,92.362,7.882,Palermo,Palermo;Villa Crespo,2,184,GCBA_URBANISMO,0.485,343,False,804,792,0.985,True,14.0,B · concentración media,86.2,,False,2024,98.8,True,2024:719;2023:9,48.5,0.615,17.6,14.5,21,PALERMO,2.53,307.1,True,True,True,True,3,375,4.06,B · concentración media,0.111,False
P078,585,102.609,5.701,Palermo,Palermo;Chacarita;Colegiales,3,147,GCBA_URBANISMO,0.424,313,False,611,601,0.984,True,14.0,B · concentración media,55.0,,False,2024,96.4,True,2024:564;2023:21,42.4,0.551,2.4,22.3,24,PALERMO,2.53,307.1,True,True,True,True,3,337,3.284,C · concentración extendida,0.209,True
P103,342,47.459,7.206,San Telmo,San Telmo;Monserrat;Constitucion,3,72,GCBA_URBANISMO,0.409,179,False,363,357,0.983,True,1.0,B · concentración media,14.4,,True,2024,100.0,False,2024:342,40.9,0.678,30.8,12.2,17,SAN TELMO,2.53,311.8,True,True,True,True,3,202,4.256,B · concentración media,0.238,False
P046,291,114.663,2.538,Villa Urquiza,Villa Urquiza;Parque Chas;Villa Ortuzar,3,65,GCBA_URBANISMO,0.371,142,False,359,353,0.983,True,12.0,C · concentración extendida,99.9,,False,2023,99.0,True,2023:288;2022:3,37.1,0.581,35.8,3.7,21,VILLA URQUIZA,2.48,166.9,True,True,True,True,3,183,1.596,C · concentración extendida,0.383,False
P021,262,77.864,3.365,Liniers,Liniers;Versalles,2,41,OSM,0.366,133,False,302,302,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,98.1,True,2023:257;2022:5,32.1,0.45,25.0,3.4,15,LINIERS,2.64,148.3,True,True,True,True,3,178,2.286,C · concentración extendida,0.228,False
P072-4,212,39.053,5.429,Belgrano,Belgrano,1,50,GCBA_URBANISMO,0.377,108,False,286,281,0.983,True,13.0,B · concentración media,40.5,,False,2023,100.0,False,2023:212,37.7,0.471,20.1,0.0,13,BELGRANO,2.9,275.4,True,True,True,False,3,132,3.38,C · concentración extendida,0.158,True
P056,210,74.344,2.825,Caballito,Caballito,1,39,GCBA_URBANISMO,0.395,106,False,294,290,0.986,True,6.0,C · concentración extendida,54.1,,False,2023,100.0,False,2023:210,39.5,0.482,5.1,0.0,20,CABALLITO,2.39,227.6,True,True,True,True,3,127,1.708,C · concentración extendida,0.329,False
P073,207,39.19,5.282,Palermo,Palermo,1,51,GCBA_URBANISMO,0.377,117,False,224,222,0.991,True,14.0,B · concentración media,0.0,,True,2024,100.0,False,2024:207,37.7,0.532,25.7,0.0,16,PALERMO,2.53,307.1,True,True,True,True,3,129,3.292,C · concentración extendida,0.13,True
P113,200,28.006,7.141,San Nicolas,San Nicolas;Balvanera,2,53,GCBA_URBANISMO,0.42,103,False,240,236,0.983,True,1.0,B · concentración media,74.0,,False,2024,100.0,False,2024:200,42.0,0.506,2.8,5.4,17,SAN NICOLAS,2.7,307.9,True,True,True,True,3,116,4.142,B · concentración media,0.25,False
P106,198,34.213,5.787,Recoleta,Recoleta;Balvanera,2,47,GCBA_URBANISMO,0.338,110,False,260,255,0.981,True,2.0,B · concentración media,30.9,,False,2024,100.0,False,2024:198,33.8,0.569,18.1,3.9,14,RECOLETA,2.75,229.5,True,True,True,True,3,131,3.829,B · concentración media,0.225,False
