polo_id,nombre_polo,decision_para_informe,estado_validacion,resolucion_del_control,umbral_aplicado,territorio_barrios,territorio_calles,envolvente_publicada,aparece_en_relevamiento,nota_sin_resolucion,n_polos_aportantes,n_locales_en_territorio,n_locales_en_polos_aportantes,polos_aportantes,polos_sobre_envolvente,aparece_umbral_20,aparece_umbral_40,aparece_umbral_80
PG001A_PALERMO_SOHO,Palermo Soho,incluir_como_polo_consolidado,validado_fuerte,sin resolución,40,PALERMO,—,R01,sin resolucion,DONDE_ESTA_SOHO.txt lo resolvió directo: Soho es P091 (728 locales).,11,2406,2316,P091 (719); P078 (564); P065 (350); P073 (207); P090+P089 (104); P092 (79); P088 (76); P076 (72); P087 (56); P064 (45); P001 (44),P091; P078; P065; P090+P089,,,
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,incluir_como_polo_consolidado,validado_fuerte,sin resolución,40,PALERMO,—,R01,sin resolucion,DONDE_ESTA_SOHO.txt: Hollywood es P078 (585 locales).,11,2406,2316,P091 (719); P078 (564); P065 (350); P073 (207); P090+P089 (104); P092 (79); P088 (76); P076 (72); P087 (56); P064 (45); P001 (44),P091; P078; P065; P090+P089,,,
PG001C_LAS_CANITAS,Las Canitas,incluir_como_polo_consolidado,validado_fuerte,sin resolución,40,PALERMO,—,R01,sin resolucion,DONDE_ESTA_SOHO.txt: Cañitas está dentro de P065 (Báez 17/17).,11,2406,2316,P091 (719); P078 (564); P065 (350); P073 (207); P090+P089 (104); P092 (79); P088 (76); P076 (72); P087 (56); P064 (45); P001 (44),P091; P078; P065; P090+P089,,,
PG002_VILLA_CRESPO,Villa Crespo,incluir_como_polo_emergente,candidato_con_evidencia,barrio,40,VILLA CRESPO,—,R08,si,,7,407,385,P081 (74); P077 (60); P063 (59); P074 (58); P043 (47); P080 (44); P079 (43),P091; P063; P043; P081; P079; P077; P074; P080,si,si,no
PG003_PUERTO_MADERO,Puerto Madero,incluir_como_polo_consolidado,validado_fuerte,barrio,40,PUERTO MADERO,—,R04,si,,1,117,117,P030 (117),P030,si,si,si
PG004_SAN_TELMO,San Telmo,incluir_como_polo_consolidado,validado_fuerte,barrio,40,SAN TELMO,—,R03,si,,1,313,278,P103 (278),P103,si,si,si
PG005_CHACARITA,Chacarita,incluir_como_polo_relevante,validado_medio,barrio,40,CHACARITA,—,R09,si,,2,221,195,P068 (136); P075 (59),P078; P068; P075,si,si,si
PG006A_BARRIO_CHINO,Barrio Chino,incluir_como_polo_relevante,validado_medio,sin resolución,40,BELGRANO,—,R05,sin resolucion,Subzona de Belgrano sin calle interior declarada en la delimitación.,6,581,553,P072-4 (212); P072-6 (146); P072-7 (68); P007 (45); P069 (42); P072-3 (40),P072-4; P072-6; P072-7; P072-5,,,
PG006B_BAJO_BELGRANO,Bajo Belgrano,no_incluir_aun,requiere_validacion,sin resolución,40,BELGRANO,—,R05,sin resolucion,Subzona de Belgrano sin calle interior declarada en la delimitación.,6,581,553,P072-4 (212); P072-6 (146); P072-7 (68); P007 (45); P069 (42); P072-3 (40),P072-4; P072-6; P072-7; P072-5,,,
PG006C_BELGRANO_R,Belgrano R,mencionar_en_anexo,candidato_con_evidencia,sin resolución,40,BELGRANO,—,R05,sin resolucion,Sub-barrio sin delimitación propia: la sonda de barrio da todo Belgrano.,6,581,553,P072-4 (212); P072-6 (146); P072-7 (68); P007 (45); P069 (42); P072-3 (40),P072-4; P072-6; P072-7; P072-5,,,
PG007_RECOLETA,Recoleta,incluir_como_polo_consolidado,validado_fuerte,barrio,40,RECOLETA,—,R06,si,,9,781,740,P106 (145); P098 (115); P110 (112); P104 (93); P076 (81); P097 (53); P095 (52); P105 (48); P096 (41),P106; P098; P110; P097; P095; P105; P096,si,si,si
PG008_CABALLITO,Caballito,incluir_como_polo_emergente,candidato_con_evidencia,barrio,40,CABALLITO,—,R10,si,,7,716,664,P056 (210); P063 (123); P053 (119); P057 (77); P047 (53); P050 (42); P049 (40),P056; P053; P047; P054; P049,si,si,si
PG009_COSTANERA_NORTE,Costanera Norte,incluir_como_corredor_candidato,candidato_con_evidencia,calle,20,BELGRANO; NUNEZ; PALERMO; RECOLETA,Costanera Rafael Obligado,R07,no,,0,17,0,ninguno,P001,,,
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Barracas,mencionar_en_anexo,requiere_validacion,calle,20,BARRACAS,Caseros,R11,no,,0,2,0,ninguno,P051; P102,,,
PG011_MICROCENTRO_CENTRO_RENOVADO,Microcentro y Centro,incluir_como_polo_relevante,validado_medio,barrio,40,MONSERRAT; RETIRO; SAN NICOLAS,—,R12,si,,12,1392,1333,P116 (187); P111 (170); P113 (164); P118 (136); P117 (131); P108 (129); P100 (116); P115 (65); P114 (64); P103 (62); P112 (58); P094 (51),P113; P116; P111; P118; P117; P108; P100; P112; P115; P114,si,si,si
PG012_AVENIDA_CORRIENTES,Avenida Corrientes,incluir_como_corredor_candidato,candidato_con_evidencia,calle,20,ALMAGRO; BALVANERA; SAN NICOLAS,Corrientes,R02,si,,2,87,47,P113 (27); P093 (20),P113; P116; P112; P114,,,
PG013_ABASTO,Abasto,mencionar_en_anexo,candidato_con_evidencia,barrio,40,BALVANERA,—,R13,si,,6,568,493,P093 (169); P101+P099 (100); P107 (67); P084 (64); P106 (53); P055 (40),P093; P082,si,si,si
PG014_AVENIDA_BOEDO,Avenida Boedo,no_incluir_aun,requiere_validacion,calle,20,BOEDO,Boedo,R14,no,,0,17,0,ninguno,P027; P062; P029,,,
PG015_DEVOTO,Devoto,incluir_como_polo_emergente,candidato_con_evidencia,barrio,40,VILLA DEVOTO,—,R15,si,,3,267,207,P016 (105); P018-1 (62); P038 (40),P016; P018-2; P018-1; P035,si,si,si
PG016_CORREDOR_DOHO_DONADO_HOLMBERG,DoHo / Donado-Holmberg,incluir_como_corredor_candidato,candidato_con_evidencia,calle,20,BELGRANO; VILLA URQUIZA,Donado; Holmberg; Echeverria; Virrey del Pino,R16,no,,0,38,0,ninguno,P045; P039,,,
PG017_VILLA_URQUIZA,Villa Urquiza,incluir_como_polo_emergente,candidato_con_evidencia,barrio,40,VILLA URQUIZA,—,R17,si,,2,357,327,P046 (286); P039 (41),P046; P045,si,si,si
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,mencionar_en_anexo,requiere_validacion,calle,20,RETIRO,Esmeralda; Paraguay,R18,si,,1,24,20,P118 (20),P116; P118; P117; P115,,,
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,no_incluir_aun,requiere_validacion,calle,20,BELGRANO; COLEGIALES,Federico Lacroze,R19,no,,0,26,0,ninguno,P065; P068; P072-2; P071,,,
PG020_PARQUE_SAAVEDRA_AVENIDA_GARCIA_DEL_RIO,Parque Saavedra / Garcia del Rio,no_incluir_aun,requiere_validacion,calle,20,SAAVEDRA,Garcia del Rio,R20,no,,0,2,0,ninguno,P072-1,,,
PG021_CIRCUITO_GASTRONOMICO_DE_PATERNAL,Paternal,incluir_como_corredor_candidato,candidato_con_evidencia,barrio,40,PATERNAL,—,R21,no,,0,37,0,ninguno,P043,si,no,no
PG022_VILLA_PUEYRREDON_AVENIDA_SAN_MARTIN,Villa Pueyrredon / Av. San Martin,no_incluir_aun,requiere_validacion,calle,20,VILLA PUEYRREDON,San Martin,R22,no,,0,0,0,ninguno,P038; P028; P023; P035,,,
PGF2_COLEGIALES,Colegiales,incluir_como_polo_emergente,candidato_con_evidencia,barrio,40,COLEGIALES,—,—,si,,2,264,178,P048 (134); P071 (44),—,si,si,si
PGF2_MONTSERRAT,Monserrat,incluir_como_polo_relevante,validado_medio,barrio,40,MONSERRAT,—,—,si,,5,533,488,P111 (154); P108 (129); P100 (92); P103 (62); P094 (51),—,si,si,si
PGF2_RETIRO,Retiro,incluir_como_polo_relevante,validado_medio,barrio,40,RETIRO,—,—,si,,2,184,179,P118 (114); P115 (65),—,si,si,si
PGF2_FLORES,Flores,mencionar_en_anexo,candidato_con_evidencia,barrio,40,FLORES,—,—,si,,6,346,293,P052 (56); P061 (54); P014 (49); P059 (48); P058 (43); P060 (43),—,si,si,no
PGF2_FLORESTA,Floresta,mencionar_en_anexo,candidato_con_evidencia,barrio,40,FLORESTA,—,—,si,,2,190,114,P052 (61); P041 (53),—,si,si,no
PGF2_PARQUE_PATRICIOS,Parque Patricios,mencionar_en_anexo,candidato_con_evidencia,barrio,40,PARQUE PATRICIOS,—,—,si,,1,187,130,P027 (130),—,si,si,si
