polo_id,rol,locales,umbral_m,componentes,componentes_de_40_o_mas,tamanos,pct_en_la_mayor
P046,entero,291,40,97,0,13;9;9;8;8,4.5
P046,entero,291,55,55,1,53;18;16;15;13,18.2
P046,entero,291,70,35,1,102;25;14;14;13,35.1
P046,entero,291,80,23,1,127;22;17;16;14,43.6
P046,entero,291,120,1,1,291,100.0
P046,entero,291,160,1,1,291,100.0
P046,entero,291,200,1,1,291,100.0
P046,entero,291,250,1,1,291,100.0
P046,entero,291,300,1,1,291,100.0
P021,entero,262,40,63,0,28;23;21;17;14,10.7
P021,entero,262,55,34,1,162;10;9;8;8,61.8
P021,entero,262,70,18,1,188;22;14;9;8,71.8
P021,entero,262,80,16,1,188;23;14;10;8,71.8
P021,entero,262,120,2,1,234;28,89.3
P021,entero,262,160,1,1,262,100.0
P021,entero,262,200,1,1,262,100.0
P021,entero,262,250,1,1,262,100.0
P021,entero,262,300,1,1,262,100.0
P027,entero,189,40,71,0,9;8;7;7;7,4.8
P027,entero,189,55,50,0,22;20;11;8;8,11.6
P027,entero,189,70,34,0,39;20;13;10;10,20.6
P027,entero,189,80,28,0,39;20;18;16;15,20.6
P027,entero,189,120,9,1,122;34;24;4;1,64.6
P027,entero,189,160,2,1,188;1,99.5
P027,entero,189,200,1,1,189,100.0
P027,entero,189,250,1,1,189,100.0
P027,entero,189,300,1,1,189,100.0
P043,entero,161,40,59,0,11;9;9;8;8,6.8
P043,entero,161,55,39,0,28;18;13;11;10,17.4
P043,entero,161,70,26,0,28;24;19;15;12,17.4
P043,entero,161,80,20,1,48;28;16;13;12,29.8
P043,entero,161,120,3,1,143;17;1,88.8
P043,entero,161,160,1,1,161,100.0
P043,entero,161,200,1,1,161,100.0
P043,entero,161,250,1,1,161,100.0
P043,entero,161,300,1,1,161,100.0
P004,entero,141,40,74,0,7;6;5;5;4,5.0
P004,entero,141,55,54,0,18;8;8;7;7,12.8
P004,entero,141,70,48,0,24;8;8;7;7,17.0
P004,entero,141,80,41,0,30;9;8;7;7,21.3
P004,entero,141,120,19,1,52;15;13;12;11,36.9
P004,entero,141,160,6,1,89;33;14;2;2,63.1
P004,entero,141,200,2,1,107;34,75.9
P004,entero,141,250,2,1,107;34,75.9
P004,entero,141,300,1,1,141,100.0
P005,entero,100,40,51,0,9;9;5;4;4,9.0
P005,entero,100,55,40,0,14;10;9;6;4,14.0
P005,entero,100,70,35,0,15;10;9;6;6,15.0
P005,entero,100,80,30,0,15;13;12;6;6,15.0
P005,entero,100,120,18,1,41;15;11;8;4,41.0
P005,entero,100,160,9,1,48;18;13;12;3,48.0
P005,entero,100,200,3,1,85;13;2,85.0
P005,entero,100,250,2,1,98;2,98.0
P005,entero,100,300,1,1,100,100.0
P072,control positivo (se partió),1314,40,269,2,133;66;35;27;24,10.1
P072,control positivo (se partió),1314,55,117,5,310;250;54;45;41,23.6
P072,control positivo (se partió),1314,70,48,2,644;422;29;25;23,49.0
P072,control positivo (se partió),1314,80,29,2,1132;59;23;15;13,86.1
P072,control positivo (se partió),1314,120,1,1,1314,100.0
P072,control positivo (se partió),1314,160,1,1,1314,100.0
P072,control positivo (se partió),1314,200,1,1,1314,100.0
P072,control positivo (se partió),1314,250,1,1,1314,100.0
P072,control positivo (se partió),1314,300,1,1,1314,100.0
P065,control positivo (se partió),361,40,70,2,44;41;22;17;12,12.2
P065,control positivo (se partió),361,55,30,2,104;89;26;24;17,28.8
P065,control positivo (se partió),361,70,11,1,312;22;7;7;4,86.4
P065,control positivo (se partió),361,80,7,1,331;22;2;2;2,91.7
P065,control positivo (se partió),361,120,1,1,361,100.0
P065,control positivo (se partió),361,160,1,1,361,100.0
P065,control positivo (se partió),361,200,1,1,361,100.0
P065,control positivo (se partió),361,250,1,1,361,100.0
P065,control positivo (se partió),361,300,1,1,361,100.0
P018,control positivo (se partió),244,40,84,0,16;16;15;11;11,6.6
P018,control positivo (se partió),244,55,58,0,33;19;18;16;14,13.5
P018,control positivo (se partió),244,70,41,1,59;36;19;14;11,24.2
P018,control positivo (se partió),244,80,32,2,60;41;34;16;11,24.6
P018,control positivo (se partió),244,120,12,2,104;83;14;12;10,42.6
P018,control positivo (se partió),244,160,3,1,221;13;10,90.6
P018,control positivo (se partió),244,200,2,1,234;10,95.9
P018,control positivo (se partió),244,250,1,1,244,100.0
P018,control positivo (se partió),244,300,1,1,244,100.0
P025,control positivo (se partió),162,40,50,0,22;12;9;7;6,13.6
P025,control positivo (se partió),162,55,33,0,35;17;9;8;7,21.6
P025,control positivo (se partió),162,70,27,1,48;23;13;9;7,29.6
P025,control positivo (se partió),162,80,22,1,52;23;19;18;8,32.1
P025,control positivo (se partió),162,120,10,2,70;56;23;4;2,43.2
P025,control positivo (se partió),162,160,3,1,132;28;2,81.5
P025,control positivo (se partió),162,200,1,1,162,100.0
P025,control positivo (se partió),162,250,1,1,162,100.0
P025,control positivo (se partió),162,300,1,1,162,100.0
