polo_id,umbral_m,componentes,partes_nombrables,pct_locales_en_esas_componentes,cumple_cobertura,tamanos
P091,20,294,0,0.0,False,27;18;16;14;11;10
P091,25,202,1,5.6,False,41;25;23;18;17;16
P091,30,129,3,27.3,False,101;57;41;30;25;25
P091,35,75,2,48.8,False,315;40;30;27;22;16
P091,40,53,2,62.9,False,398;60;23;20;16;15
P091,55,10,1,91.1,True,663;35;14;8;2;2
P091,70,3,1,99.6,True,725;2;1
P091,80,1,1,100.0,True,728
P091,120,1,1,100.0,True,728
P091,160,1,1,100.0,True,728
P091,200,1,1,100.0,True,728
P091,250,1,1,100.0,True,728
P091,300,1,1,100.0,True,728
P078,20,300,0,0.0,False,23;9;8;8;7;7
P078,25,242,0,0.0,False,23;17;17;15;14;13
P078,30,166,1,14.0,False,82;24;21;20;18;15
P078,35,126,1,18.3,False,107;25;24;24;22;19
P078,40,80,3,46.2,False,183;46;41;28;26;25
P078,55,28,3,79.0,False,333;88;41;35;23;12
P078,70,8,2,94.9,True,508;47;24;2;1;1
P078,80,4,1,95.4,True,558;24;2;1
P078,120,1,1,100.0,True,585
P078,160,1,1,100.0,True,585
P078,200,1,1,100.0,True,585
P078,250,1,1,100.0,True,585
P078,300,1,1,100.0,True,585
P065,20,186,0,0.0,False,15;14;7;7;7;7
P065,25,144,0,0.0,False,38;11;9;7;7;6
P065,30,109,1,11.9,False,43;14;12;11;11;10
P065,35,84,1,11.9,False,43;22;21;16;11;11
P065,40,70,2,23.5,False,44;41;22;17;12;12
P065,55,30,2,53.5,False,104;89;26;24;17;17
P065,70,11,1,86.4,True,312;22;7;7;4;2
P065,80,7,1,91.7,True,331;22;2;2;2;1
P065,120,1,1,100.0,True,361
P065,160,1,1,100.0,True,361
P065,200,1,1,100.0,True,361
P065,250,1,1,100.0,True,361
P065,300,1,1,100.0,True,361
P103,20,147,0,0.0,False,20;20;13;11;8;8
P103,25,111,0,0.0,False,39;20;16;14;11;8
P103,30,85,1,13.7,False,47;20;18;16;15;14
P103,35,56,1,18.7,False,64;20;20;15;15;15
P103,40,36,1,23.4,False,80;28;25;20;20;16
P103,55,11,2,84.2,True,228;60;22;10;9;7
P103,70,4,2,97.7,True,290;44;7;1
P103,80,1,1,100.0,True,342
P103,120,1,1,100.0,True,342
P103,160,1,1,100.0,True,342
P103,200,1,1,100.0,True,342
P103,250,1,1,100.0,True,342
P103,300,1,1,100.0,True,342
