tipo,clave,direcciones,n_formas,formas
sobre_plegado,RIVADAVIA,320,6,RIVADAVIA AV. (194) · Avenida Rivadavia (101) · Av. Rivadavia (11) · RIVADAVIA (10) · Rivadavia (3) · Av Rivadavia (1)
sobre_plegado,CORRIENTES,211,9,"CORRIENTES AV. (105) · Avenida Corrientes (86) · Av. Corrientes (10) · Corrientes (3) · Av Corrientes (3) · Corrientes, (1) · Avenida Corrientes, (1) · Avda Corrientes y (1) · AV. CORRIENTES (1)"
sobre_plegado,CORDOBA,159,9,CORDOBA AV. (90) · Avenida Córdoba (57) · Av. Córdoba (4) · Córdoba (2) · CORDOBA (2) · Av. Cordoba (1) · Av Córdoba (1) · Av Cordoba (1) · AV. Córdoba (1)
sobre_plegado,CABILDO,146,5,CABILDO AV. (70) · Avenida Cabildo (63) · Av. Cabildo (11) · Av Cabildo (1) · AV CABILDO (1)
sobre_plegado,SAN MARTIN,144,11,Avenida San Martín (57) · SAN MARTIN AV. (52) · SAN MARTIN (15) · San Martín (13) · San Martin (1) · Av. San Martín (1) · Av. San Martin (1) · Av San Martín y (1) · Av San Martín (1) · AV.SAN MARTIN (1)
sobre_plegado,SANTA FE,127,8,"SANTA FE AV. (72) · Avenida Santa Fe (42) · Av. Santa Fe (4) · Av. Santa Fé (3) · Av santa fé (3) · Av. Santa fé (1) · Av. Santa Fe, (1) · Av Santa Fe (1)"
sobre_plegado,JUAN BAUTISTA ALBERDI,119,4,"ALBERDI, JUAN BAUTISTA AV. (67) · Avenida Juan Bautista Alberdi (50) · C1406GRL, Av. Juan Bautista Alberdi (1) · Av. Juan Bautista Alberdi (1)"
sobre_plegado,DEL LIBERTADOR,105,7,DEL LIBERTADOR AV. (49) · Avenida del Libertador (31) · Avenida Del Libertador (18) · Av. del Libertador (4) · Av. Del Libertador (1) · Av del Libertador (1) · AV DEL LIBERTADOR (1)
sobre_plegado,SARMIENTO,102,6,"SARMIENTO (66) · Sarmiento (31) · Avenida Sarmiento (2) · SARMIENTO AV. (1) · Presidente Sarmiento (1) · Avenida Sarmiento, (1)"
sobre_plegado,DIRECTORIO,101,2,DIRECTORIO AV. (60) · Avenida Directorio (41)
sobre_plegado,SAN JUAN,98,3,Avenida San Juan (49) · SAN JUAN AV. (47) · Av. San Juan (2)
sobre_plegado,EVA PERON,93,4,"PERON, EVA AV. (45) · Avenida Eva Perón (44) · Av. Eva Perón (3) · Av Eva Peron (1)"
sobre_plegado,MONROE,92,5,MONROE (43) · Monroe (31) · MONROE AV. (9) · Avenida Monroe (7) · Av. Monroe (2)
sobre_plegado,PARAGUAY,91,2,PARAGUAY (59) · Paraguay (32)
sobre_plegado,NAZCA,90,5,NAZCA AV. (40) · Avenida Nazca (27) · NAZCA (12) · Nazca (9) · Av. Nazca (2)
