umbral_m,n_componentes,n_partes,tamanos,tamanos_partes,pct_locales
20,300,0,23; 9; 8; 8; 7; 7; 7; 6,,0.0
25,242,0,23; 17; 17; 15; 14; 13; 13; 9,,0.0
30,166,1,82; 24; 21; 20; 18; 15; 14; 13,82,14.0
35,126,1,107; 25; 24; 24; 22; 19; 15; 15,107,18.3
40,80,3,183; 46; 41; 28; 26; 25; 13; 13,183; 46; 41,46.2
45,58,3,291; 41; 40; 32; 18; 14; 13; 10,291; 41; 40,63.6
50,40,3,325; 46; 40; 35; 23; 19; 14; 8,325; 46; 40,70.3
55,28,3,333; 88; 41; 35; 23; 12; 6; 6,333; 88; 41,79.0
60,21,3,379; 92; 43; 23; 15; 6; 5; 4,379; 92; 43,87.9
65,14,2,491; 47; 23; 7; 5; 3; 2; 1,491; 47,92.0
70,8,2,508; 47; 24; 2; 1; 1; 1; 1,508; 47,94.9
75,7,1,555; 24; 2; 1; 1; 1; 1,555,94.9
80,4,1,558; 24; 2; 1,558,95.4
85,2,1,583; 2,583,99.7
90,1,1,585,585,100.0
95,1,1,585,585,100.0
100,1,1,585,585,100.0
105,1,1,585,585,100.0
110,1,1,585,585,100.0
115,1,1,585,585,100.0
120,1,1,585,585,100.0
125,1,1,585,585,100.0
130,1,1,585,585,100.0
135,1,1,585,585,100.0
140,1,1,585,585,100.0
145,1,1,585,585,100.0
150,1,1,585,585,100.0
155,1,1,585,585,100.0
160,1,1,585,585,100.0
165,1,1,585,585,100.0
170,1,1,585,585,100.0
175,1,1,585,585,100.0
180,1,1,585,585,100.0
185,1,1,585,585,100.0
190,1,1,585,585,100.0
195,1,1,585,585,100.0
200,1,1,585,585,100.0
205,1,1,585,585,100.0
210,1,1,585,585,100.0
215,1,1,585,585,100.0
220,1,1,585,585,100.0
225,1,1,585,585,100.0
230,1,1,585,585,100.0
235,1,1,585,585,100.0
240,1,1,585,585,100.0
245,1,1,585,585,100.0
250,1,1,585,585,100.0
255,1,1,585,585,100.0
260,1,1,585,585,100.0
265,1,1,585,585,100.0
270,1,1,585,585,100.0
275,1,1,585,585,100.0
280,1,1,585,585,100.0
285,1,1,585,585,100.0
290,1,1,585,585,100.0
295,1,1,585,585,100.0
300,1,1,585,585,100.0
