polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa
P021,262,77.864,3.365,Liniers,Liniers;Versalles,2,41,OSM,0.366,133,False,302,302,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,98.1,True,2023:257;2022:5,32.1,0.45,25.0,3.4,15,LINIERS,2.64,148.3,True,True,True,True,3
P004,141,144.021,0.979,Villa Lugano,Villa Lugano;Parque Avellaneda;Mataderos,3,22,GCBA_URBANISMO,0.411,57,False,152,152,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,54.6,True,2023:77;2024:64,41.1,0.421,10.8,5.6,23,VILLA LUGANO,2.59,112.0,True,True,True,True,3
P017,108,69.798,1.547,Liniers,Liniers;Mataderos,2,15,GCBA_URBANISMO,0.472,45,False,116,114,0.983,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:108,47.2,0.419,25.8,3.4,16,LINIERS,2.64,148.3,True,True,True,True,3
P005,100,100.94,0.991,Villa Lugano,Villa Lugano,1,6,GCBA_URBANISMO,0.51,37,False,103,102,0.99,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:100,51.0,0.459,18.5,0.0,18,VILLA LUGANO,2.59,112.0,True,True,True,True,3
P003,91,39.823,2.285,Villa Riachuelo,Villa Riachuelo;Villa Lugano,2,10,GCBA_URBANISMO,0.462,39,False,94,94,1.0,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:91,46.2,0.433,27.9,4.2,11,VILLA RIACHUELO,2.02,90.7,True,True,False,False,2
P012,90,32.805,2.743,Mataderos,Mataderos,1,13,GCBA_URBANISMO,0.433,42,False,90,88,0.978,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:90,43.3,0.297,5.0,0.0,17,MATADEROS,2.45,108.9,True,True,True,True,3
P002,68,63.365,1.073,Villa Soldati,Villa Soldati,1,5,GCBA_URBANISMO,0.368,33,False,82,82,1.0,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:68,36.8,0.459,19.3,0.0,18,VILLA SOLDATI,2.8,129.1,True,True,True,False,3
P009,50,24.647,2.029,Parque Avellaneda,Parque Avellaneda;Velez Sarsfield;Floresta,3,5,GCBA_URBANISMO,0.34,21,False,41,40,0.976,True,9.0,C · concentración extendida,0.0,,True,2023,72.0,True,2023:36;2022:14,34.0,0.385,0.0,27.6,17,PARQUE AVELLANEDA,2.52,88.6,True,True,True,True,3
P006,48,28.178,1.703,Mataderos,Mataderos,1,6,OVERTURE_FSQ_ATP,0.396,28,False,40,40,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:48,35.4,0.42,0.0,0.0,14,MATADEROS,2.45,108.9,True,True,True,True,3
P013,42,10.787,3.893,Mataderos,Mataderos,1,7,GCBA_URBANISMO,0.405,17,False,35,35,1.0,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:42,40.5,0.299,0.0,0.0,12,MATADEROS,2.45,108.9,True,True,True,True,3
