lote,partida_matriz,smp,direccion,barrio,registros_en_esa_direccion
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 501,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 509,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 515,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 521,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 525,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 529,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 541,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 545,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 547,San Nicolas,120
L01,223955 / 220602,1-32-2B / 1-32-8,VIAMONTE 549,San Nicolas,120
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7115",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7119",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7121",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7123",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7129",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7131",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7135",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7137",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7139",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7145",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7147",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7151",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7155",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7159",Liniers,65
L02,94035,72-40B-4F,"FALCON, RAMON L.,CNEL. 7165",Liniers,65
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 727,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 729,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 753,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 755,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 771,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 777,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 783,San Nicolas,120
L03,223955 / 220602,1-32-2B / 1-32-8,FLORIDA 785,San Nicolas,120
L04,223955 / 220602,1-32-2B / 1-32-8,CORDOBA AV. 532,Retiro,120
L04,223955 / 220602,1-32-2B / 1-32-8,CORDOBA AV. 550,Retiro,120
L04,223955 / 220602,1-32-2B / 1-32-8,CORDOBA AV. 552,Retiro,120
L04,223955 / 220602,1-32-2B / 1-32-8,CORDOBA AV. 570,Retiro,120
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 52",Liniers,65
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 54",Liniers,65
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 56",Liniers,65
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 58",Liniers,65
