wikidata_id,nombre,declaratoria,direccion_declarada,direccion_consultada,direccion_normalizada,tipo_normalizacion,lon,lat,fundacion,sitio_web,barrio_declarado_en_wikidata,clase_en_wikidata,geocodificacion,listado_no_exhaustivo,la_declaratoria_no_es_calidad,fuente,barrio,comuna
Q1025674,Café Tortoni,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina,Avenida de Mayo 825,"DE MAYO AV. 825, CABA",calle_altura,-58.37813,-34.608824,1858-01-01,https://cafetortoni.com.ar,Buenos Aires,cafetería,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monserrat,1.0
Q16535985,Bar Británico,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Brasil 399,Brasil 399,"BRASIL AV. 399, CABA",calle_altura,-58.370839,-34.625306,,,San Telmo,bar · cafetería,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Telmo,1.0
Q16540035,Café San Bernardo,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Corrientes 5436,Corrientes 5436,"CORRIENTES AV. 5436, CABA",calle_altura,-58.441098,-34.597863,,,Villa Crespo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Villa Crespo,15.0
Q16540045,Café de los Angelitos,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. Rivadavia 2064,Av. Rivadavia 2064,"RIVADAVIA AV. 2064, CABA",calle_altura,-58.396007,-34.609527,,,Balvanera,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Balvanera,3.0
Q17631101,Esquina Homero Manzi,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),San Juan y Boedo,San Juan y Boedo,"SAN JUAN AV. y BOEDO, CABA",calle_y_calle,-58.416104,-34.625435,,,Boedo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Boedo,5.0
Q18643936,Café El Estaño 1880,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Aristóbulo del Valle 1100,Aristóbulo del Valle 1100,"VALLE, ARISTOBULO DEL 1100, CABA",calle_altura,-58.36821,-34.635408,,,La Boca,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),La Boca,4.0
Q5017245,La Biela,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Quintana 600,Quintana 600,"QUINTANA, MANUEL, PRES. AV. 600, CABA",calle_altura,-58.390761,-34.587834,,,Buenos Aires,cafetería,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Recoleta,2.0
Q56826220,American Bar,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Diagonal Norte 632,Diagonal Norte 632,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 632, CABA",calle_altura,-58.375366,-34.607122,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826280,Café Margot,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Boedo 857,Boedo 857,"BOEDO AV. 857, CABA",calle_altura,-58.416375,-34.623266,,http://www.losnotables.com.ar,Boedo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Boedo,5.0
Q56826290,Bar de Cao,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Independencia 2400,Independencia 2400,"INDEPENDENCIA AV. 2400, CABA",calle_altura,-58.399898,-34.618679,,http://www.losnotables.com.ar,San Cristóbal,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Cristobal,3.0
