polo_id,polo,familia,familia_origen,ha_vieja,ha_nueva,loc_vieja,loc_nueva,dens_vieja,dens_nueva,manzanas,piezas_descartadas,loc_descartados,borde_cubierto_pct,perimetro_m,eje,desde,hasta,limites
R01,Palermo,piezas,declarada,385.5,378.1,1916,2004,4.97,5.3,277,1,6,98.0,14999,,,,Av. Juan B. Justo · Concepcion Arenal · Godoy Cruz · Dorrego · Av. Cordoba · Paraguay · Castillo · Guemes
R02,Avenida Corrientes,corredor,declarada,49.7,50.5,354,353,7.13,6.98,31,0,0,100.0,3963,Av. Corrientes,Av. 9 de Julio,Ayacucho,"Tucuman · Ayacucho · Cerrito · Juan Domingo, Tte. General Peron · Lavalle · Juan Domingo, Tte. General Peron · Sarmiento · Lavalle"
R03,San Telmo,nucleo,declarada,25.4,41.7,71,169,2.8,4.06,23,0,0,99.0,3526,,,,Av. Juan de Garay · Estados Unidos · Av. San Juan · Balcarce · Defensa · Piedras · Tacuari · Carlos Calvo
R04,Puerto Madero,piezas,declarada,314.5,174.7,354,341,1.13,1.95,65,1,13,89.4,2620,,,,Av. De los Italianos · Av. Alicia Moreau de Justo · Azucena Villaflor · Macacha Guemes · Macacha Guemes · Azucena Villaflor · Manso Juana
R05,Belgrano,nucleo,declarada,39.6,34.6,343,271,8.65,7.84,26,1,142,100.0,4228,,,,"Av. Del Libertador · Av. Del Libertador · Arribeños · Av. Vertiz Virrey · Arcos · Montañeses · Antonio Jose de, Mcal. Sucre · Echeverria"
R06,Recoleta,nucleo,declarada,140.5,176.3,714,862,5.08,4.89,112,0,0,94.7,8320,,,,"Marcelo T. de Alvear · Uruguay · Junin · Paraguay · Tomas Manuel de, Dr. Anchorena · Luis Dr. Agote · Av. Callao · Rodriguez Peña"
R07,Costanera Norte,piezas,declarada,38.5,44.6,67,55,1.74,1.23,4,0,0,57.4,2282,,,,Av. Costanera Obligado Rafael · Int. Cantilo
R08,Villa Crespo,nucleo,declarada,293.8,245.2,746,745,2.54,3.04,177,4,52,94.5,10942,,,,"Lavalleja · Av. Angel Gallardo · Av. Warnes · Av. Honorio, Dr. Pueyrredon · Niceto, Cnel. Vega · Eustoquio, Tte. General Frias · Camargo · Leopoldo Marechal"
R09+R19+Z43,Chacagiales,piezas,declarada,495.8,336.0,891,925,1.8,2.75,231,1,9,97.8,17612,,,,Av. De los Incas · Olleros · Av. Dorrego · Av. Corrientes · Av. Guzman · Av. Forest · Fraga · Cramer
R10,Caballito,piezas,declarada,225.4,218.5,508,539,2.25,2.47,145,1,13,96.8,11535,,,,Zuviria · Av. Directorio · Av. Rivadavia · Pumacahua · Av. Rivadavia · Av. Juan Bautista Alberdi · Av. Jose Maria Moreno · San Jose de Calasanz
R11,Boulevard Caseros,corredor,declarada,50.0,21.9,60,65,1.2,2.96,13,2,22,100.0,2673,,,,Defensa · Piedras · Av. Juan de Garay · Uspallata · Brasil · Brasil · Av. Juan de Garay · Balcarce
R12,Centro y Microcentro,piezas,declarada,153.7,177.9,875,1224,5.69,6.88,118,1,7,99.6,8174,,,,"Carlos Pellegrini · Reconquista · Rivadavia · Juan Domingo, Tte. General Peron · Carlos Pellegrini · Av. Del Libertador · 25 de Mayo · Av. Leandro N. Alem"
R13,Abasto,nucleo,declarada,107.1,114.9,365,418,3.41,3.64,76,0,0,100.0,5871,,,,"Tucuman · Juan Domingo, Tte. General Peron · Av. Medrano · Juan Domingo, Tte. General Peron · Lavalle · Larrea · Jeronimo Salguero · Sarmiento"
R14,Avenida Boedo,corredor,declarada,179.5,79.5,245,159,1.37,2.0,50,0,0,100.0,6811,Av. Boedo,Republica Bolivariana de Venezuela,Av. Caseros,Maza · Colombres · Castro Barros · Colombres · Liniers Virrey · Castro Barros · Gregorio Tte. Cnel. Pomar · Colombres
R15,Devoto,nucleo,declarada,478.7,99.3,422,232,0.88,2.34,82,15,179,99.3,15644,,,,Gualeguaychu · Navarro · Navarro · Cervantes · Simbron · Av. Francisco Beiro · Av. Segurola · Av. Lastra
R16,Donado-Holmberg,corredor,declarada,119.0,35.2,121,84,1.02,2.39,29,3,33,98.8,2003,,,,"Roosevelt Franklin D. · Holmberg · Miller · Plaza · Blanco Encalada · Donado · Av. Olazabal · Mariano, Gral. Acha"
R17,Villa Urquiza,piezas,declarada,446.6,237.7,528,507,1.18,2.13,170,6,25,98.8,15088,,,,La Pampa · Pacheco · Mendoza · Emilio Civit · Av. Roosevelt Franklin D. · Av. De los Constituyentes · Av. Roosevelt Franklin D. · Rufino
R20,Garcia del Rio,corredor,declarada,61.0,28.2,102,90,1.67,3.19,25,1,28,100.0,3197,,,,Av. Garcia del Rio · Manzanares · Conesa · Superi · Vidal · Manzanares · Av. Crisologo Larralde · Moldes
R21,La Paternal,piezas,declarada,377.3,165.1,293,291,0.78,1.76,105,4,20,93.7,13678,,,,"Tres Arroyos · Nicolas, Dr. Repetto · A. Magariños Cervantes · Linneo · Sanchez · Manuel A., General Rodriguez · Maturin · Nicolas, Dr. Repetto"
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,nucleo,declarada,39.5,46.3,107,134,2.71,2.89,31,0,0,99.1,3942,,,,Bogota · Terrada · Moron · Condarco · Helguera · Concordia · Paez · Cuenca
Z27,Villa Santa Rita,piezas,declarada,215.5,107.6,182,177,0.84,1.65,73,0,0,99.7,8006,,,,Av. Gaona · Galicia · Av. Alvarez Jonte · Concordia · Av. Juan B. Justo · Cuenca · Camarones · Terrada
Z28,Monte Castro,corredor,declarada,28.7,29.4,69,69,2.4,2.35,26,0,0,98.9,3333,Av. Alvarez Jonte,Av. Segurola,Av. Lope de Vega,Alcaraz · Lascano · Lascano · Av. Lope de Vega · Sanabria · Canada · Albania · Alcaraz
Z31,Villa Luro,nucleo,declarada,13.7,12.6,41,46,2.99,3.64,11,0,0,100.0,2355,,,,"Yerbal · Acassuso · Corvalan · Av. Rivadavia · Araujo · Av. Rivadavia · Av. Ramon L.,cnel. Falcon · Av. Rivadavia"
Z32,Liniers · Mercado Andino,nucleo,declarada,7.0,7.1,63,63,9.0,8.82,4,0,0,100.0,1072,,,,"Montiel · Av. Gral. Paz · Ventura Bosch · Ramon L.,cnel. Falcon"
Z33,Mataderos,piezas,declarada,44.0,10.5,17,17,0.39,1.62,4,0,0,55.6,1493,,,,Timoteo Gordillo · Av. Lisandro de la Torre · Av. Lisandro de la Torre · Garzon Eugenio General · Tandil · San Pedro
Z35,Balvanera · Once,nucleo,declarada,19.2,19.6,74,74,3.86,3.78,14,0,0,100.0,2123,,,,Lavalle · Boulogne Sur Mer · Av. Pueyrredon · Pasteur · Viamonte · Larrea · Av. Cordoba · Viamonte
Z37,Almagro,piezas,declarada,37.4,35.3,114,110,3.05,3.11,16,1,7,100.0,2494,,,,Don Bosco · Bartolome Mitre · Lezica · Gascon · Yapeyu · Sanchez de Bustamante · Av. Rivadavia · Sanchez de Loria
Z39,Parque Avellaneda,nucleo,declarada,75.3,7.0,11,7,0.15,1.0,3,1,4,100.0,830,,,,Jose E. Rodo · Av. Directorio · Lacarra · Fernandez
Z39b,Baek-ku · Barrio Coreano,corredor,declarada,34.9,11.9,38,26,1.09,2.18,7,0,0,99.3,1688,Av. Carabobo,Avelino Diaz,Saraza,Pumacahua · Lautaro · Av. Corea · Avelino Diaz · Curapaligue · Av. Castañares
