avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
CORRIENTES AV.,6900,460,6.67,9 DE JULIO AV.,"NEWBERY, JORGE AV.",SAN NICOLAS,5648414.387361957,6170143.527409867,5642159.44818285,6171884.1838837825,Av. Corrientes,Av. 9 de Julio,Av. Jorge Newbery,True
CORDOBA AV.,7650,412,5.39,"ALEM, LEANDRO N. AV.","NEWBERY, JORGE AV.",RETIRO,5649374.499276488,6170716.638464668,5642344.056753827,6172554.817221276,Av. Córdoba,Av. Leandro N. Alem,Av. Jorge Newbery,False
SANTA FE AV.,5300,323,6.09,FLORIDA,GODOY CRUZ,RETIRO,5649037.3999619875,6170985.827011079,5644499.841729315,6172976.363812416,Av. Santa Fe,Florida,Godoy Cruz,True
CABILDO AV.,5400,322,5.96,"ARENAL, CONCEPCION",SAN ISIDRO LABRADOR AV.,PALERMO,5643483.167233817,6173464.667159059,5639952.1463625645,6177416.950890362,Av. Cabildo,Concepción Arenal,Av. San Isidro Labrador,False
RIVADAVIA AV.,5600,310,5.54,DE MAYO AV.,ESPINOSA,SAN NICOLAS,5647841.8800655,6169570.830093997,5642540.866806283,6168169.152543234,Av. Rivadavia,Av. De Mayo,Espinosa,False
"SCALABRINI ORTIZ, RAUL AV.",3050,211,6.92,WARNES AV.,SANTA FE AV.,VILLA CRESPO,5642873.34613306,6170399.086497683,5645309.119650421,6172234.073742739,Av. Raúl Scalabrini Ortiz,Av. Warnes,Av. Santa Fe,True
PUEYRREDON AV.,3100,202,6.52,RIVADAVIA AV.,AZCUENAGA,BALVANERA,5646208.673761707,6169520.192709142,5647426.25559236,6172186.064006097,Av. Pueyrredón,Av. Rivadavia,Azcuénaga,True
SAN JUAN AV.,5200,195,3.75,BALCARCE,LA PLATA AV.,SAN TELMO,5649457.825217621,6168123.5675123,5644288.217938549,6167629.937700364,Av. San Juan,Balcarce,Av. La Plata,False
RIVADAVIA AV.,3650,186,5.1,"MARTINEZ, VICTOR",SEGUROLA AV.,CABALLITO,5642536.175340824,6168164.15645304,5639113.454306501,6166922.322480363,Av. Rivadavia,Víctor Martínez,Av. Segurola,False
"BEIRO, FRANCISCO AV.",4000,182,4.55,ARGERICH,"PAZ, GRAL. AV.",AGRONOMIA,5637992.520360625,6171166.387624141,5634797.498810476,6168766.966707099,Av. Francisco Beiró,Argerich,Av. Gral. Paz,False
DE MAYO AV.,1350,169,12.52,RIVADAVIA AV.,RIVADAVIA AV.,MONSERRAT,5649190.457265823,6169601.0511303935,5647851.519826027,6169545.2526928,Av. De Mayo,Av. Rivadavia,Av. Rivadavia,True
CALLAO AV.,2800,163,5.82,ENTRE RIOS AV.,DEL LIBERTADOR AV.,BALVANERA,5647496.5922755655,6169548.0701683415,5648112.830704466,6172064.936304828,Av. Callao,Av. Entre Ríos,Av. Del Libertador,True
INDEPENDENCIA AV.,3800,162,4.26,PASEO COLON AV.,URIBURU,SAN TELMO,5649564.123912228,6168643.118088824,5645785.941074825,6168351.833769577,Av. Independencia,Av. Paseo Colón,Uriburu,False
"LACROZE, FEDERICO AV.",2500,155,6.2,VILLANUEVA,CORRIENTES AV.,PALERMO,5642969.797350749,6174296.317733257,5641749.878624457,6172124.402658009,Av. Federico Lacroze,Villanueva,Av. Corrientes,False
NAZCA AV.,3450,150,4.35,SAN PEDRITO AV.,"SASTRE, MARCOS",FLORES,5640334.633104159,6167276.692295795,5638703.031221455,6170289.335713183,Av. Nazca,Av. San Pedrito,Marcos Sastre,False
RIVADAVIA AV.,3000,136,4.53,DONIZETTI,"PAZ, GRAL. AV.",VILLA LURO,5637855.770898533,6166611.776497329,5634882.601549918,6166405.664647805,Av. Rivadavia,Donizetti,Av. Gral. Paz,False
ALVAREZ THOMAS AV.,3550,135,3.8,"NEWBERY, JORGE AV.",CULLEN,CHACARITA,5642294.211966432,6172741.9279150795,5639124.898384352,6173920.336985115,Av. Álvarez Thomas,Av. Jorge Newbery,Cullen,True
BELGRANO AV.,2300,132,5.74,PASEO COLON AV.,COMBATE DE LOS POZOS,MONSERRAT,5649619.257211204,6169175.6971763475,5647324.208971396,6169025.751871966,Av. Belgrano,Av. Paseo Colón,Combate de los Pozos,False
ENTRE RIOS AV.,2750,129,4.69,RIVADAVIA AV.,CASEROS AV.,BALVANERA,5647496.5922755655,6169548.0701683415,5647598.157377565,6166801.610032615,Av. Entre Ríos,Av. Rivadavia,Av. Caseros,False
"GOYENA, PEDRO AV.",2500,128,5.12,"CALVO, CARLOS AV.","ALBERDI, JUAN BAUTISTA AV.",CABALLITO,5644238.372965864,6167834.98787339,5641771.174989541,6167458.828017704,Av. Pedro Goyena,Av. Carlos Calvo,Av. Juan Bautista Alberdi,True
LAS HERAS GENERAL AV.,2550,128,5.02,CALLAO AV.,LAFINUR,RECOLETA,5647533.432375891,6171486.299028795,5645417.296761544,6172637.78262849,Av. Las Heras General,Av. Callao,Lafinur,False
CASEROS AV.,3350,121,3.61,"CEVALLOS, VIRREY",LA PLATA AV.,CONSTITUCION,5647854.620411462,6166856.158685942,5644578.4614926055,6166163.896293027,Av. Caseros,Virrey Cevallos,Av. La Plata,False
SAN MARTIN AV.,2350,114,4.85,GAONA AV.,12 DE OCTUBRE,VILLA CRESPO,5642519.265077447,6169805.782865002,5640282.132044627,6170524.988639848,Av. San Martín,Av. Gaona,12 de Octubre,False
LA PLATA AV.,2050,113,5.51,RIVADAVIA AV.,SANTANDER,ALMAGRO,5644065.275578307,6168950.655526751,5644397.158161696,6166927.905312375,Av. La Plata,Av. Rivadavia,Santander,False
CORRIENTES AV.,1150,109,9.48,"ALEM, LEANDRO N. AV.",9 DE JULIO AV.,SAN NICOLAS,5649590.81576493,6170214.179744816,5648445.692407406,6170157.322131173,Av. Corrientes,Av. Leandro N. Alem,Av. 9 de Julio,True
LOPE DE VEGA AV.,2400,96,4.0,"JUSTO, JUAN B. AV.","LOZANO, PEDRO",VELEZ SARSFIELD,5637452.426538599,6167153.452746739,5635705.071787965,6168798.502182104,Av. Lope de Vega,Av. Juan B. Justo,Pedro Lozano,False
"CASTRO, EMILIO AV.",2950,94,3.19,ESCALADA AV.,"PAZ, GRAL. AV.",VILLA LURO,5637748.1058117645,6165881.321001664,5635162.766294059,6164461.65081687,Av. Emilio Castro,Av. Escalada,Av. Gral. Paz,False
ALVAREZ JONTE AV.,2250,92,4.09,"LAMARCA, EMILIO",VIRGILIO,VILLA DEL PARQUE,5638193.434104497,6169252.395853753,5636386.668150344,6167938.10698299,Av. Álvarez Jonte,Emilio Lamarca,Virgilio,False
