polo_id,nombre_en_ficha,nivel_del_nombre,marca,n_locales,barrios,comunas,polo_del_atlas,pct_del_P_dentro,otros_polos_que_toca
P026,Av. Caseros · tramo Parque Patricios°,4,°,67,Parque Patricios (31); Constitucion (20); Barracas (15); San Cristobal (1),1; 3; 4,Z40 Nueva Pompeya y Parque Patricios,49.9,Z48 (0.3 %)
P030,Puerto Madero · diques 2 y 3,2,,117,Puerto Madero (117),1,R04 Puerto Madero,98.1,-
P051,Constitución°,4,°,123,Constitucion (123),1,R11 Boulevard Caseros,6.0,-
P085,Balvanera · Av. Entre Ríos e Independencia°,4,°,53,Balvanera (21); Monserrat (15); Constitucion (10); San Cristobal (7),1; 3,Z35 Balvanera · Once,43.0,Z47 (23.0 %); Z48 (16.5 %)
P094,Monserrat · Lima y México°,4,°,51,Monserrat (51),1,Z47 Monserrat + Congreso,100.0,-
P100,Avenida de Mayo · tramo Congreso,3,,116,Monserrat (92); San Nicolas (24),1,R12 Centro / Microcentro segmentado,95.8,Z47 (74.4 %)
P101+P099,Congreso,3,,130,Balvanera (100); Monserrat (30),1; 3,Z35 Balvanera · Once,84.4,Z47 (15.6 %)
P102,Bulevar Caseros,3,,42,San Telmo (35); Barracas (7),1; 4,R11 Boulevard Caseros,21.3,R03 (0.0 %)
P103,San Telmo,3,,342,San Telmo (278); Monserrat (62); Constitucion (2),1,Z47 Monserrat + Congreso,20.5,R03 (13.8 %); R04 (0.7 %)
P108,Monserrat · Av. Belgrano y Perú°,4,°,129,Monserrat (129),1,Z47 Monserrat + Congreso,100.0,R12 (27.0 %)
P109,Av. Callao entre Córdoba y Paraguay°,4,°,41,San Nicolas (14); Recoleta (14); Balvanera (13),1; 2; 3,Z35 Balvanera · Once,23.6,-
P111,Avenida de Mayo · tramo Plaza de Mayo,3,,170,Monserrat (154); San Nicolas (16),1,Z47 Monserrat + Congreso,83.5,R12 (37.0 %)
P112,San Nicolás · Uruguay y Paraná°,4,°,66,San Nicolas (53); Recoleta (8); Retiro (5),1; 2,R12 Centro / Microcentro segmentado,73.3,R02 (6.0 %); Z46 (4.5 %)
P113,Av. Corrientes · tramo teatral,3,,200,San Nicolas (164); Balvanera (36),1; 3,R02 Avenida Corrientes,73.9,Z35 (22.2 %); R12 (6.8 %)
P114,Tribunales,3,,64,San Nicolas (64),1,R02 Avenida Corrientes,100.0,R12 (100.0 %)
P115,Retiro · Reconquista y San Martín°,4,°,65,Retiro (65),1,Z46 Retiro,100.0,R12 (50.9 %)
P116,Microcentro,3,,187,San Nicolas (187),1,R12 Centro / Microcentro segmentado,61.5,R02 (21.2 %); Z46 (7.3 %)
P117,Microcentro · Florida y Galerías Pacífico,3,,131,San Nicolas (131),1,R12 Centro / Microcentro segmentado,89.7,Z46 (32.7 %)
P118,Retiro · Esmeralda y Paraguay°,4,°,136,Retiro (114); San Nicolas (22),1,Z46 Retiro,100.0,R12 (67.2 %)
P076,Palermo · Bustamante y Mario Bravo°,4,°,156,Recoleta (81); Palermo (72); Almagro (3),2; 5; 14,Z37 Almagro,1.6,-
P095,Recoleta · Av. Las Heras y Av. Callao°,4,°,52,Recoleta (52),2,R06 Recoleta,70.5,-
P096,La Isla (Recoleta),3,,41,Recoleta (41),2,R06 Recoleta,100.0,-
P097,Recoleta · Av. Pueyrredón y Junín°,4,°,53,Recoleta (53),2,R06 Recoleta,67.8,-
