orden,establecimiento,direccion,barrio,estado,verificado_por,detalle
1,ALMACEN Y BAR LAVALLE,Lavalle 1693,San Nicolas,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
2,BARBARO BAR,Tres Sargentos 415,Retiro,ABIERTO,relevamiento documental,probablemente_abierto v4 12/04/2026 · CONTRADICCION DE HORARIO
3,BAR BIDOU,Av. Roque Saenz Pena 858,San Nicolas,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
4,BAR BRITANICO,Brasil 399,San Telmo,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
5,BAR CONDE,Av. Federico Lacroze 3193,Colegiales,ABIERTO,relevamiento documental,verificado abierto 29/07/2026 · desde 1902
6,BAR DE CAO,Av. Independencia 2400,San Cristobal,ABIERTO,relevamiento documental,verificado_abierto v2 07/08/2026
7,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Recoleta,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
8,BAR EL COLONIAL,Av. Belgrano 599,Monserrat,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
9,BAR DEL GLORIAS,Andalgala 1982,Mataderos,ABIERTO,relevamiento documental,probablemente_abierto v4 06/04/2026
10,BAR IBERIA,Av. de Mayo 1196,Monserrat,ABIERTO,relevamiento documental,probablemente_abierto v4 · reabrio junio 2024
11,BAR 9 DE JULIO,Larrazabal 1276,Mataderos,ABIERTO,relevamiento documental,DUDOSO · ya cerro una vez en 2019 y reabrio en 2021
12,BAR OLIMPO,Irigoyen 1491,Villa Luro,ABIERTO,relevamiento documental,verificado_abierto v2 07/08/2026
13,BAR OVIEDO,Av. Lisandro de la Torre 2407,Mataderos,ABIERTO,relevamiento documental,probablemente_abierto v5 22/04/2026
14,BAR PORTUARIO,Pinzon 102,La Boca,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
15,BAR PLAZA DORREGO,Defensa 1098,San Telmo,ABIERTO,"Diego (DGDGAS), 08/08/2026",Verificacion humana directa: redes sociales y Google Maps.
