establecimiento,direccion,barrio,veredicto,nivel,verificado_por,fecha_verificacion,evidencia,se_cita_en_el_documento,falta,nota
London City,Av. de Mayo 599,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
La Puerto Rico,Alsina 420,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
El Querandi,Peru 302,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Bar El Colonial,Av. Belgrano 599,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Bar Seddon,Defensa 695,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Cabildo de Buenos Aires,Peru 86,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,"NO ES EL MUSEO. Es un bar propio en planta baja, sobre Peru entre Av. de Mayo e H. Yrigoyen. Cafeteria desde 1936, de la misma familia desde los anos setenta. ES EL CAFE DONDE SE FUNDO CLUB ATLETICO INDEPENDIENTE. Sitio de Interes Cultural 2019, Bar Notable desde 2022. Instagram propio: @cabildobuenosaires. EL NOMBRE ES LA TRAMPA: en el catalogo figura como 'CABILDO DE BUENOS AIRES' y se lee como el edificio historico vecino. Diego paso por el local."
La Giralda,Av. Corrientes 1453,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Plaza Asturias,Av. de Mayo 1199,Monserrat/San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",SI — lamina 5,"SI — hace falta la fecha individual de la evidencia, porque va citado en una lamina y un tercero tiene que poder auditarlo",
El Globo,H. Yrigoyen 1199,Monserrat,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",SI — lamina 5,"SI — hace falta la fecha individual de la evidencia, porque va citado en una lamina y un tercero tiene que poder auditarlo",
Confiteria La Ideal,Suipacha 384,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
El Gato Negro,Av. Corrientes 1669,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
La Opera,Av. Corrientes 1799,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Claridge's Bar,Tucuman 535,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Boston City,Florida 165 local 3,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Bar Bidou,Av. Roque Saenz Pena 858,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Le Caravelle,Lavalle 726,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Almacen y Bar Lavalle,Lavalle 1693,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
Bar Via 71,Viamonte 1771,San Nicolas,verificado_abierto,"v2/v3 — verificacion humana directa, sin fecha individual",Diego (DGDGAS),2026-08-08,"Actividad en redes sociales del local y resenas de Google recientes, revisadas una por una el 08/08/2026. En el Bar Cabildo, ademas, paso por el local.",no,no — el nivel de tanda alcanza para resolver la fila,
