hito_id,clave_dedup,nombre,direccion,barrio,tipo,distincion,anio,posicion,fuente,fuente_url,confianza,licencia,nota
H001,9_de_julio,9 de Julio,Larrazabal 1276,Mataderos,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H002,bar_o,Bar Bar O,Tres Sargentos 415,Retiro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",figura como 'Bar O Bar' en listados de turismo
H003,bidou,Bar Bidou,Av. Roque Saenz Pena 858,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada","listado 2015: 'Bar Vidou', Diagonal Norte 858"
H004,boca_a_boca,Bar Boca a Boca,Av. Benito Perez Galdos 201,La Boca,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",prensa consigna altura 207
H005,de_cao,Bar de Cao,Av. Independencia 2400,San Cristobal,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H006,del_alvear_palace_hotel,Bar del Alvear Palace Hotel,Av. Alvear 1891,Recoleta,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H007,del_glorias,Bar del Glorias,Andalgala 1982,Mataderos,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H008,el_colonial,Bar El Colonial,Av. Belgrano 599,Monserrat,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H009,el_federal,Bar El Federal,Carlos Calvo 595,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H010,conde,Bar Conde,Federico Lacroze 3193,Colegiales,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
