local_id,nombre,direccion_norm,manzana,mz_dist_m,barrio_geo
LOC000012,,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 942",014-033,3.184148111422199,CONSTITUCION
LOC000063,,"MORENO, JOSE MARIA AV. 386",002-051,1.6046966303310632,MONSERRAT
LOC000086,,"VARELA, JOSE PEDRO 3215",052-091,5.988950638211327,VILLA SOLDATI
LOC000111,,SAN MARTIN AV. 2368,067-099,5.129878658590137,VILLA GRAL. MITRE
LOC000168,,"MARTINEZ, VICTOR 5;RIVADAVIA AV. 5702",033-086C,6.776385341353066,COLEGIALES
LOC000183,,"GOYENA, PEDRO AV. 263",047-082,3.314367514312337,VILLA CRESPO
LOC000221,,"DIAZ, CNEL. AV. 2043",044-088,4.980105472065794,PARQUE CHACABUCO
LOC000344,,SAN MARTIN AV. 2247,067-111,4.313742227263461,VILLA GRAL. MITRE
LOC000379,,"SUAREZ, JOSE LEON 119;SUAREZ, JOSE LEON 121",006-068,1.6390517691851991,BOCA
LOC000381,,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 1126;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 1132",014-031,3.205948390988645,CONSTITUCION
LOC000412,La Gran Esquina,SAN MARTIN AV. 2510,067-077,5.047503062203973,VILLA GRAL. MITRE
LOC000468,CAFE MARTINEZ,DEL LIBERTADOR AV. 3598,021-093,9.80983477765895,PALERMO
LOC000480,,"MORENO, JOSE MARIA AV. 305",002-052,1.8216625217687576,MONSERRAT
LOC000606,,"MARTINEZ, VICTOR 197",033-088A,6.395920602641191,COLEGIALES
LOC000651,,"PERON, EVA AV. 4301;PERON, EVA AV. 4309;MEDINA 1797;MEDINA 1799",017-030,3.234709602195064,ALMAGRO
LOC000660,,"MARTINEZ, ENRIQUE, GRAL. 1425",056-137A,4.566879751248458,PARQUE AVELLANEDA
LOC000698,,"ALVEAR, MARCELO T. De 1586",007-051,1.5753559146427445,RETIRO
LOC000706,,DIRECTORIO AV. 2083,072-087,4.576077601281143,LINIERS
LOC000744,,"GARCIA, MANUEL 411",045-009,3.3210104215791065,CABALLITO
LOC000751,,"MORENO, JOSE MARIA AV. 601;GOYENA, PEDRO AV. 508",002-024A,1.0490009755927394,MONSERRAT
LOC000755,,"ALVEAR, MARCELO T. De 2199",015-174,12.714607307046997,RECOLETA
LOC000807,,SAN MARTIN AV. 2834;SAN MARTIN AV. 2838,067-042,3.237916008443927,VILLA SANTA RITA
LOC000827,,"MORENO, JOSE MARIA AV. 735",002-015,1.37609035235446,MONSERRAT
LOC000968,,"MORENO, JOSE MARIA AV. 627",002-024A,1.1275555253608274,MONSERRAT
LOC001004,,"PAZ, MARCOS 2006",039-090,2.724598906246452,BELGRANO
LOC001032,,"ALVAREZ, JULIAN 2538",049-006,6.177094832264741,PATERNAL
LOC001081,,"RAMIREZ DE VELASCO, JUAN 290",045-075,5.060673885098821,CABALLITO
LOC001099,Remember,"PUEYRREDON, HONORIO, DR. AV. 784",013-101,3.0712203597530703,BALVANERA
LOC001112,,"PERON, EVA AV. 2589",009-018,2.363585553401183,BALVANERA
LOC001129,PARRILLA CORDOBA,CORDOBA AV. 1768,005-008,16.221534998424953,SAN NICOLAS
LOC001201,,"ALVAREZ, CRISOSTOMO 4807",073-016A,1.4715457929672795,VILLA PUEYRREDON
LOC001223,,"PERON, EVA AV. 2601",009-013,2.7053078542490336,BALVANERA
LOC001233,,"GARCIA, TEODORO 1725",059-056,4.431760617515063,VILLA GRAL. MITRE
LOC001236,,"RIVERA, PEDRO I., Dr. 2935",052-051,4.313354568155446,VILLA SOLDATI
LOC001259,Dos escudos,"ALVEAR, MARCELO T. De 1491",007-053,1.145981065301577,RETIRO
LOC001284,,"IRIGOYEN, BERNARDO de 580",091-038,2.8938557985212703,VERSALLES
LOC001318,,RODRIGUEZ PEÑA 1714,081-163,3.969190283086932,VILLA DEL PARQUE
LOC001360,,"BASUALDO 2308;PERON, EVA AV. 5100",001-009,1.153749073451095,SAN NICOLAS
LOC001364,,"ALVEAR, MARCELO T. De 2177",011-041,9.680249603290251,RECOLETA
LOC001410,,"GALLARDO, ANGEL AV. 271",095-023,2.7813802410072817,LINIERS
LOC001411,,"SUAREZ, JOSE LEON 276;SUAREZ, JOSE LEON 274",006-052,3.1468109945894267,BOCA
LOC001416,,CHILE 1854,073-018,3.4085571032335062,VILLA PUEYRREDON
LOC001439,,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 901",014-024,8.433807207929105,CONSTITUCION
LOC001450,,"GALLARDO, ANGEL AV. 1036",093-042A,4.413388199920844,VILLA REAL
LOC001452,,CUENCA 2301,074-024,2.921889021409808,MATADEROS
LOC001454,,"CABEZON, JOSE LEON 3725",031-082,3.353515084032939,VILLA CRESPO
LOC001485,,"JUSTO, JUAN B. AV. 6765",076-101,3.5618238876705464,MATADEROS
LOC001547,,MAIPU 2,011-051,3.1277129835877107,RECOLETA
LOC001560,,SAN JUAN AV. 2009,062-158A,4.29605036843773,PARQUE AVELLANEDA
LOC001571,,"PERON, EVA AV. 1201",005-045,1.0462663313676313,SAN NICOLAS
LOC001593,,"IRIGOYEN, BERNARDO de 1518",093-203,3.269079395965407,VERSALLES
LOC001673,,"ALVAREZ, JULIAN 2765",050-105,4.528102023581308,FLORES
LOC001684,,SAN MARTIN AV. 2218,067-110A,4.433657066248876,VILLA GRAL. MITRE
LOC001726,,"LOPEZ, VICENTE 2180",061-137,4.404121886062605,AGRONOMIA
LOC001731,,"MITRE, EMILIO 1002",005-058A,5.336590110234009,SAN NICOLAS
LOC001732,,"IRIGOYEN, BERNARDO de 1034",091-051,3.175662374330587,VERSALLES
LOC001765,,RONDEAU 3226;RONDEAU 3228;RONDEAU 3236,013-003,2.8109967528849955,ALMAGRO
