nro_registro,rubro,establecimiento,domicilio_completo,barrio,comuna,accesibilidad
RL-2017-25630894- -DGCCO,Restaurante,1893,SCALABRINI ORTIZ 701,VILLA CRESPO,15,
16/G/2015,Restaurante,AL CARBÓN,RECONQUISTA 875,SAN NICOLAS,1,
RL-2017-04167920- -DGDYCOF,Restaurante,ALAMEDA RESTAURANTE,AV. DE MAYO 1201,MONSERRAT,1,
RL-2018-18305233- -DGCCO,Restaurante,ALDO'S RESTORAN VINOTECA,MORENO 372,MONSERRAT,1,
RL-2017-26691981,Restaurante,ANASAGASTI,ANASAGASTI 2067,PALERMO,14,
RL-2018-25706633--DGCCO,Restaurante,ANGUS,AVALOS 2184,VILLA URQUIZA,12,
RL-2018-30008795--DGCCO,Restaurante,ANGUS,BAEZ 444,PALERMO,14,
RL-2017-22305599- -DGCCO,Heladería,ANTA HELADOS,JUAN B. JUSTO 6357,VILLA SANTA RITA,11,
01/G/2015,Restaurante,ANTIGUA TASCA DE CUCHILLEROS,CARLOS CALVO 319,SAN TELMO,1,
01-G-2011,Restaurante,ASADOR CRIOLLO LA ESTANCIA,LAVALLE 941,SAN NICOLÁS,1,
RL-2018-02363267- -DGCCO,Restaurante,BAR BRITANICO,BRASIL 399,SAN TELMO,1,
RL-2019-33405635- -DGTALET,Bar Notable,BAR DE CAO,INDEPENDENCIA 2400,SAN CRISTOBAL,3,
RL-2019-23719394- -DGTALET,Bar Notable,BAR EL COLONIAL,AV. BELGRANO 599,MONSERRAT,1,
RL-2019-33432279- -DGTALET,Bar Notable,EL FEDERAL,CARLOS CALVO 599,SAN TELMO,1,
12/G/2015,Bar Notable,BAR LA ACADEMIA,AV. CALLAO 368,BALVANERA,3,
RL-2017-26540593- -DGCCO,Bar Notable,BAR LAVALLE,LAVALLE 1693,SAN NICOLÁS,1,
RL-2017-24098157- -DGCCO,Bar Notable,BAR PALACIO / Museo Fotográfico SIMIK,FRAGA 702,CHACARITA,15,
RL-2017-26335463- -DGCCO,Bar Notable,BAR QUINTINO,CARLOS CALVO 4002,BOEDO,5,
RL-2018-22506566- -DGCCO,Bar Notable,BAR SEDDON,DEFENSA 695,SAN TELMO,1,
RL-2019-27629085--DGTALET,Bar Notable,BAR SUR,ESTADOS UNIDOS 299,SAN TELMO,1,
RL-2018-02974844- -DGCCO,Restaurante,BARBARO BAR,TRES SARGENTOS 415,RETIRO,1,
RL-2017-18858898-DGCCO,Bar Temático,BARBERÍA LA ÉPOCA,GUAYAQUIL 877,CABALLITO,6,
RL-2018-28680385- -DGCCO,Restaurante,BAUM SAN TELMO,PASAJE 5 DE JULIO 412,MONSERRAT,1,
RL-2018-18305233- -DGCCO,Restaurante,BEBOP CLUB,MORENO 364,MONSERRAT,1,
RL-2019-20222420--DGTALET,Restaurante,BIO SOLO ORGÁNICO,HUMBOLDT 2192,PALERMO,14,
RL-2017-21361710-DGCCO,Restaurante,BLONDA,ANDRÉS ARGUIBEL 2822,PALERMO,14,
07-G-2011,Restaurante,BROCCOLINO RISTORANTE ITALIANO,ESMERALDA 776,SAN NICOLAS,1,
12/G/2014,Bar Temático / Restaurante Temático,BULLER,PTE. ROBERTO M. ORTIZ 1827,RECOLETA,2,
03/G/2015,Restaurante,CABAÑA LAS LILAS,ALICIA M. DE JUSTO 516,PUERTO MADERO,1,
RL-2019-33366369- -DGTALET,Restaurante / Bar Temático,CAFÉ CORTAZAR,JOSÉ ANTONIO CABRERA 3799,PALERMO,14,
RL-2017-25034751- -DGCCO,Bar Notable,CAFÉ DE GARCIA,SANABRIA 3302,VILLA DEVOTO,11,
RL-2017-23702268- -DGCCO,Bar Notable,CAFÉ DE LA ESQUINA,AV. DEL LIBERTADOR 6196,BELGRANO,13,
05/G/2015,Bar Notable,CAFÉ DE LA U,AV. TRIUNVIRATO 4801,VILLA URQUIZA,12,
RL-2019-33514513- -DGTALET,Bar Notable,LA POESÍA,CHILE 502,SAN TELMO,1,
RL-2019-33093794- -DGTALET,Bar Notable,CAFE MARGOT,BOEDO 857,BOEDO,5,
15/G/2015,Bar Notable,CAFÉ MAR AZUL,TUCUMÁN 1700,SAN NICOLÁS,1,
RL-2017-24687205- -DGCCO,Bar Notable,CAFÉ NOSTALGIA BAR,SOLER 3599,PALERMO,14,
RL-2017-24685618-DGCCO,Bar Notable,CAFÉ VICTORIA,AV. ENTRE RÍOS 114,MONSERRAT,1,
RL-2019-23718097- -DGTALET,Restaurante,CAMPOBRAVO,BAEZ 292,PALERMO,14,
RL-2019-27625034--DGTALET,Restaurante,CAMPOBRAVO HONDURAS,HONDURAS 5600,PALERMO,14,
RL-2017-12046664-DGDYCOF,Bar Notable,CASTELAR HOTEL & SPA,AV. DE MAYO 1152,MONSERRAT,1,
11/G/2014,Restaurante Tangueria,CÁTULO TANGO,ZELAYA 3080,BALVANERA,3,
RL-2019-33437550- -DGTALET,Bar Notable,CELTA BAR,SARMIENTO 1702,SAN NICOLÁS,1,
RL-2017-24096639- -DGCCO,Restaurante,CERVECERÍA LÓPEZ,ÁLVAREZ THOMAS 2136,VILLA ORTUZAR,15,
08-G-2011,Restaurante,CHIQUILÍN,MONTEVIDEO 321,SAN NICOLÁS,1,
RPT-149-2008,Tanguería,COMPLEJO TANGO,AV. BELGRANO 2608,BALVANERA,3,
RL-2017-24097947- -DGCCO,Bar Notable,CONFITERÍA LONDON CITY,AV. DE MAYO 599,MONSERRAT,1,
RL-2017-04148937- -DGDYCOF,Restaurante,DARIO GUALTIERI BISTRO,ARMENIA 1378,PALERMO,14,
RL-2019-20194795--DGTALET,Restaurante,DELICIOUS,LAPRIDA 2015,RECOLETA,2,
RL-2017-24620129- -DGCCO,Restaurante,DESNIVEL,DEFENSA 855,SAN TELMO,1,
RL-2018-03055516- -DGCCO,Restaurante,DESPACHO DE SABORES,BONPLAND 1617,PALERMO,14,
RL-2018-28680744- -DGCCO,Heladería,DIECCI HELADOS,GUALEGUAYCHÚ 3405,VILLA DEVOTO,11,
RPT-023-2005,Gastronomía,DON CARLOS,BILLINGHURST 450,ALMAGRO,5,
14/G/2015,Restaurante,DON ERNESTO,CARLOS CALVO 375,SAN TELMO,1,
