,atp_nucleo,atp_ampliado,dir_nucleo,osm_nucleo,ovt_nucleo
PALERMO,55,55,928,1128,2231
SAN NICOLAS,33,33,433,357,845
RECOLETA,28,28,429,553,823
BALVANERA,23,23,468,242,559
BELGRANO,19,19,336,631,626
CABALLITO,12,12,367,266,530
MONSERRAT,11,11,286,243,522
FLORES,9,9,248,101,321
RETIRO,9,9,174,216,397
VILLA DEVOTO,8,8,156,118,237
COLEGIALES,7,7,139,134,210
ALMAGRO,7,7,302,159,411
SAAVEDRA,6,6,77,90,141
VILLA CRESPO,6,6,236,186,421
VILLA URQUIZA,6,6,206,174,275
LINIERS,5,5,114,115,149
PUERTO MADERO,4,4,39,128,194
NUNEZ,4,4,121,160,227
CONSTITUCION,3,3,109,60,115
NUEVA POMPEYA,3,3,52,42,93
VILLA DEL PARQUE,3,3,107,55,147
PARQUE PATRICIOS,3,3,87,44,111
VILLA LUGANO,3,3,51,40,116
MATADEROS,3,3,92,67,149
VILLA PUEYRREDON,3,3,64,45,88
SAN TELMO,2,2,112,172,298
LA BOCA,2,2,55,45,149
VILLA GRAL. MITRE,2,2,55,47,60
CHACARITA,1,1,83,110,165
BARRACAS,1,1,103,76,165
SAN CRISTOBAL,1,1,60,46,101
BOEDO,0,0,99,74,120
FLORESTA,0,0,81,45,94
COGHLAN,0,0,26,28,47
AGRONOMIA,0,0,21,25,32
PATERNAL,0,0,31,17,48
MONTE CASTRO,0,0,65,39,68
PARQUE AVELLANEDA,0,0,50,23,58
PARQUE CHACABUCO,0,0,72,45,120
PARQUE CHAS,0,0,24,26,36
VELEZ SARSFIELD,0,0,60,30,68
VERSALLES,0,0,19,21,26
VILLA ORTUZAR,0,0,56,44,77
VILLA LURO,0,0,42,44,79
VILLA REAL,0,0,38,29,31
VILLA RIACHUELO,0,0,25,8,37
VILLA SANTA RITA,0,0,52,42,69
VILLA SOLDATI,0,0,11,35,35
