,dir_nucleo,dir_ampliado,habilitaciones,f01_locales,dir_outlier
R01 · Palermo,406,417,2510,200,19
R02 · Avenida Corrientes,132,134,762,88,2
R03 · San Telmo,18,18,91,18,1
R04 · Puerto Madero,62,64,652,72,7
R05 · Belgrano,100,105,1096,21,2
R06 · Recoleta,198,209,1353,146,17
R07 · Costanera Norte,3,3,13,2,0
R08 · Villa Crespo,233,260,1093,49,11
R09 · Chacarita,55,64,263,15,2
R10 · Caballito,177,196,650,68,5
R11 · Boulevard Caseros,5,8,19,6,0
R12 · Centro / Microcentro segmentado,327,342,3457,244,28
R13 · Abasto,180,193,760,7,3
R14 · Avenida Boedo,74,84,324,9,4
R15 · Devoto,139,147,601,24,1
R16 · Donado-Holmberg,32,35,129,5,0
R17 · Villa Urquiza,173,192,780,17,2
R18 · Esmeralda-Paraguay,30,31,1464,40,12
R19 · Federico Lacroze por tramos,54,57,166,16,0
R20 · Garcia del Rio,16,16,42,4,0
R21 · La Paternal,41,55,130,9,0
R22 · Villa Pueyrredon,48,52,201,10,2
