,dir_nucleo,dir_ampliado,habilitaciones,f01_locales,dir_outlier
Palermo,928,984,7946,467,70
Balvanera,468,505,1823,215,4
San Nicolas,433,447,5167,454,38
Recoleta,429,464,2376,327,23
Caballito,367,405,1550,125,10
Belgrano,336,365,2374,71,11
Almagro,302,332,960,63,2
Monserrat,286,305,1941,149,17
Flores,248,277,1277,85,10
Villa Crespo,236,267,1137,44,11
Villa Urquiza,206,229,899,28,2
Retiro,174,182,1436,109,12
Villa Devoto,156,166,674,32,2
Colegiales,139,147,819,41,10
Nuñez,121,129,1504,28,16
Liniers,114,130,2204,20,31
San Telmo,112,115,625,80,4
Constitucion,109,123,389,30,2
Villa Del Parque,107,120,1003,9,5
Barracas,103,115,619,49,4
Boedo,99,115,380,14,4
Mataderos,92,106,325,34,2
Parque Patricios,87,94,318,37,2
Chacarita,83,98,383,18,3
Floresta,81,87,263,13,1
Saavedra,77,85,231,25,0
Parque Chacabuco,72,86,335,15,3
Monte Castro,65,68,247,15,2
Villa Pueyrredon,64,69,256,12,2
Velez Sarsfield,60,68,177,13,0
San Cristobal,60,68,198,9,0
Villa Ortuzar,56,62,172,20,0
La Boca,55,60,239,44,2
Villa Gral. Mitre,55,66,200,5,0
Nueva Pompeya,52,67,154,12,0
Villa Santa Rita,52,61,175,4,0
Villa Lugano,51,56,250,10,4
Parque Avellaneda,50,60,147,14,0
Villa Luro,42,50,287,3,2
Puerto Madero,39,40,513,47,6
Villa Real,38,40,122,4,0
Paternal,31,39,85,2,0
Coghlan,26,28,91,5,0
Villa Riachuelo,25,26,113,6,2
Parque Chas,24,33,166,0,2
Agronomia,21,24,205,3,3
Versalles,19,24,59,10,0
Villa Soldati,11,15,22,2,0
