rid,zona,hectareas,parcelas_relevadas,parcelas_por_ha,cobertura_rus,rus_nucleo,rus_ampliado,rus_inactivo,anios,mezcla_anadas,anada_dominante_pct,barrios_tocados
R01,Palermo,271.1,4906,18.09,si,611,645,8,2023/2024,2023:0.6% 2024:99.4%,99.4,2
R02,Avenida Corrientes,49.6,711,14.32,si,148,157,3,2024,2024:100%,100.0,2
R03,San Telmo,25.4,436,17.2,si,21,26,2,2024,2024:100%,100.0,1
R04,Puerto Madero,314.4,466,1.48,cobertura parcial,60,63,0,2024,2024:100%,100.0,6
R05,Belgrano,39.6,687,17.34,si,133,150,1,2023,2023:100%,100.0,1
R06,Recoleta,140.4,2442,17.39,si,261,297,2,2024,2024:100%,100.0,1
R07,Costanera Norte,38.5,1,0.03,sin cobertura,0,0,0,,,,0
R08,Villa Crespo,335.3,7424,22.14,si,339,413,9,2022/2023/2024,2022:0.3% 2023:92.5% 2024:7.2%,92.5,6
R09,Chacarita,94.8,1402,14.79,si,81,94,1,2023/2024,2023:96.6% 2024:3.4%,96.6,4
R10,Caballito,225.2,4588,20.37,si,203,252,2,2023/2024,2023:94.5% 2024:5.5%,94.5,4
R11,Boulevard Caseros,50.0,649,12.98,si,22,30,1,2024,2024:100%,100.0,3
R12,Centro / Microcentro segmentado,162.3,1856,11.44,si,358,383,2,2024,2024:100%,100.0,3
R13,Abasto,108.9,2090,19.18,si,152,178,3,2023/2024,2023:45.9% 2024:54.1%,54.1,2
R14,Avenida Boedo,179.4,4320,24.08,si,92,126,2,2023/2024,2023:91.9% 2024:8.1%,91.9,3
R15,Devoto,478.5,10668,22.29,si,166,219,9,2022,2022:100%,100.0,3
R16,Donado-Holmberg,118.9,2704,22.73,si,45,53,3,2023,2023:100%,100.0,4
R17,Villa Urquiza,446.4,10644,23.84,si,202,265,5,2022/2023,2022:2.2% 2023:97.8%,97.8,4
R18,Esmeralda-Paraguay,17.2,186,10.81,si,36,39,1,2024,2024:100%,100.0,2
R19,Federico Lacroze por tramos,89.4,1584,17.71,si,73,86,0,2023/2024,2023:54.2% 2024:45.8%,54.2,3
R20,Garcia del Rio,28.4,662,23.34,si,21,28,0,2023,2023:100%,100.0,2
R21,La Paternal,320.9,4803,14.97,si,87,110,0,2022/2023,2022:24.2% 2023:75.8%,75.8,6
R22,Villa Pueyrredon,305.4,7008,22.95,si,83,106,4,2023,2023:100%,100.0,1
