barrio,calle,tramo,padron,rus,total,en_el_perimetro
Nuñez,AV. CRAMER,3000,4,2,6,True
Nuñez,AV. CABILDO,3500,2,3,5,True
Nuñez,CRISOLOGO LARRALDE,1500,2,3,5,True
Nuñez,MANUELA PEDRAZA,2100,3,2,5,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3600,2,2,4,True
Nuñez,ARCOS,3100,1,3,4,True
Nuñez,ARRIBEÑOS,2900,1,3,4,True
Nuñez,AV. CABILDO,2900,3,1,4,True
Nuñez,AV. CABILDO,3000,1,3,4,True
Nuñez,AV. CABILDO,3300,2,2,4,True
Nuñez,IBERA,1600,3,1,4,True
Nuñez,MANUELA PEDRAZA,2200,2,2,4,True
Nuñez,RAMALLO,1700,1,3,4,True
Nuñez,ARIAS,2300,2,1,3,False
Nuñez,AV. CABILDO,3400,1,2,3,True
Nuñez,AV. CRAMER,3400,1,2,3,True
Nuñez,AV. DEL LIBERTADOR,7500,2,1,3,False
Nuñez,GRECIA,3500,1,2,3,False
Nuñez,MANUELA PEDRAZA,2000,2,1,3,True
Nuñez,MOLDES,3100,2,1,3,False
Nuñez,MONTAÑESES,2900,2,1,3,False
Nuñez,NUÑEZ,1600,2,1,3,False
Nuñez,O' HIGGINS,3200,1,2,3,False
Nuñez,PAROISSIEN,1800,1,2,3,False
Nuñez,11 DE SEPTIEMBRE DE 1888,2800,0,2,2,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3700,1,1,2,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4200,1,1,2,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4500,0,2,2,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4600,1,1,2,True
Nuñez,3 DE FEBRERO,2800,1,1,2,True
Nuñez,3 DE FEBRERO,3000,1,1,2,True
Nuñez,3 DE FEBRERO,3800,1,1,2,True
Nuñez,3 DE FEBRERO,4400,1,1,2,True
Nuñez,AMENABAR,3000,0,2,2,False
Nuñez,ARCOS,2800,1,1,2,True
Nuñez,ARRIBEÑOS,3100,1,1,2,True
Nuñez,ARRIBEÑOS,3300,1,1,2,True
Nuñez,ARRIBEÑOS,3500,1,1,2,True
Nuñez,ARRIBEÑOS,3600,1,1,2,True
Nuñez,AV. CABILDO,3100,1,1,2,True
Nuñez,AV. CABILDO,3600,1,1,2,True
Nuñez,AV. CABILDO,3700,1,1,2,True
Nuñez,AV. CABILDO,4400,1,1,2,True
Nuñez,AV. COMODORO MARTIN RIVADAVIA,2000,1,1,2,False
Nuñez,AV. CRAMER,2900,2,0,2,True
Nuñez,AV. CRAMER,3100,1,1,2,True
Nuñez,AV. DEL LIBERTADOR,6800,1,1,2,False
Nuñez,BESARES,1700,1,1,2,False
Nuñez,BESARES,2200,1,1,2,False
Nuñez,CAMPOS SALLES,2100,0,2,2,False
Nuñez,CAMPOS SALLES,2300,1,1,2,False
Nuñez,CIUDAD DE LA PAZ,3200,1,1,2,False
Nuñez,CONGRESO,1800,1,1,2,True
Nuñez,CONGRESO,1900,1,1,2,True
Nuñez,CONGRESO,2000,1,1,2,True
Nuñez,CONGRESO,2100,1,1,2,True
Nuñez,CONGRESO,2900,1,1,2,True
Nuñez,CRISOLOGO LARRALDE,1600,1,1,2,True
Nuñez,CRISOLOGO LARRALDE,1800,2,0,2,True
Nuñez,CRISOLOGO LARRALDE,2300,1,1,2,True
Nuñez,CRISOLOGO LARRALDE,2400,1,1,2,True
Nuñez,CRISOLOGO LARRALDE,2800,1,1,2,True
Nuñez,CUBA,3200,2,0,2,False
Nuñez,CUBA,3300,1,1,2,False
Nuñez,IBERA,1500,1,1,2,True
Nuñez,IBERA,2100,0,2,2,True
Nuñez,IBERA,2400,0,2,2,True
Nuñez,JARAMILLO,1700,1,1,2,False
Nuñez,JARAMILLO,2200,1,1,2,False
Nuñez,JOSE P. TAMBORINI,2700,0,2,2,False
Nuñez,MANUELA PEDRAZA,1800,1,1,2,True
Nuñez,NUÑEZ,2300,0,2,2,False
Nuñez,NUÑEZ,2700,1,1,2,False
Nuñez,O' HIGGINS,3500,1,1,2,False
Nuñez,QUESADA,1800,2,0,2,False
Nuñez,QUESADA,2300,0,2,2,False
Nuñez,QUESADA,2800,1,1,2,False
Nuñez,RAMALLO,2100,0,2,2,True
Nuñez,RAMALLO,2300,1,1,2,True
Nuñez,VUELTA DE OBLIGADO,3100,1,1,2,False
Nuñez,11 DE SEPTIEMBRE DE 1888,2900,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3000,1,0,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3100,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3200,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,3900,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4000,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4100,0,1,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4300,1,0,1,True
Nuñez,11 DE SEPTIEMBRE DE 1888,4400,1,0,1,True
Nuñez,3 DE FEBRERO,3300,0,1,1,True
Nuñez,3 DE FEBRERO,3500,0,1,1,True
Nuñez,3 DE FEBRERO,3600,0,1,1,True
Nuñez,AMENABAR,2900,0,1,1,False
Nuñez,AMENABAR,3300,0,1,1,False
Nuñez,ARCOS,3200,0,1,1,True
Nuñez,ARCOS,3400,0,1,1,True
Nuñez,ARCOS,3500,0,1,1,True
Nuñez,ARCOS,3600,0,1,1,True
Nuñez,ARIAS,1600,0,1,1,False
Nuñez,ARIAS,1700,1,0,1,False
Nuñez,ARRIBEÑOS,3400,0,1,1,True
Nuñez,AV. CABILDO,3200,0,1,1,True
Nuñez,AV. CABILDO,3900,1,0,1,True
Nuñez,AV. CABILDO,4100,1,0,1,True
Nuñez,AV. CABILDO,4500,0,1,1,True
Nuñez,AV. CABILDO,4600,0,1,1,True
Nuñez,AV. CABILDO,4800,1,0,1,True
Nuñez,AV. CABILDO,4900,0,1,1,True
Nuñez,AV. COMODORO MARTIN RIVADAVIA,1200,0,1,1,False
Nuñez,AV. COMODORO MARTIN RIVADAVIA,1500,0,1,1,False
Nuñez,AV. COMODORO MARTIN RIVADAVIA,1600,0,1,1,False
Nuñez,AV. COMODORO MARTIN RIVADAVIA,2300,0,1,1,False
Nuñez,AV. CRAMER,2800,0,1,1,True
Nuñez,AV. CRAMER,3200,1,0,1,True
Nuñez,AV. CRAMER,3300,0,1,1,True
Nuñez,AV. CRAMER,3500,1,0,1,True
Nuñez,AV. DEL LIBERTADOR,7100,0,1,1,False
Nuñez,AV. DEL LIBERTADOR,8300,0,1,1,False
Nuñez,AV. DEL LIBERTADOR,8500,1,0,1,False
Nuñez,AV. DEL LIBERTADOR,8600,0,1,1,False
Nuñez,BESARES,1800,1,0,1,False
Nuñez,CIUDAD DE LA PAZ,3100,0,1,1,False
Nuñez,CIUDAD DE LA PAZ,3400,0,1,1,False
Nuñez,CIUDAD DE LA PAZ,3500,0,1,1,False
Nuñez,CONESA,2800,0,1,1,False
Nuñez,CONESA,3500,1,0,1,False
Nuñez,CONGRESO,1500,0,1,1,True
