rid,zona_publicada,metodo,naturaleza,relevado,hab_nucleo,captura_hab_%,rus_nucleo,parcelas_relevadas,parcelas_por_ha,cobertura_rus,mezcla_anadas,anada_dominante_pct,barrios_tocados,captura_rus_%,rus_sobre_hab
R01,Palermo,sin conteo,no_localizada,,406,,611,4906,18.09,si,2023:0.6% 2024:99.4%,99.4,2,,1.5
R02,Avenida Corrientes,sin conteo,no_localizada,,132,,148,711,14.32,si,2024:100%,100.0,2,,1.12
R03,San Telmo,sin conteo,no_localizada,,18,,21,436,17.2,si,2024:100%,100.0,1,,1.17
R04,Puerto Madero,sin conteo,no_localizada,,62,,60,466,1.48,cobertura parcial,2024:100%,100.0,6,,0.97
R05,Belgrano,relevamiento anterior,historica_metodologica,697.0,100,14.3,133,687,17.34,si,2023:100%,100.0,1,19.1,1.33
R06,Recoleta,sin conteo,historica_metodologica,,198,,261,2442,17.39,si,2024:100%,100.0,1,,1.32
R07,Costanera Norte,relevamiento anterior,historica_metodologica,72.0,3,4.2,0,1,0.03,sin cobertura,,,0,,
R08,Villa Crespo,relevamiento propio,exacta,646.0,233,36.1,339,7424,22.14,si,2022:0.3% 2023:92.5% 2024:7.2%,92.5,6,52.5,1.45
R09,Chacarita,relevamiento propio,exacta,327.0,55,16.8,81,1402,14.79,si,2023:96.6% 2024:3.4%,96.6,4,24.8,1.47
R10,Caballito,relevamiento propio,exacta,907.0,177,19.5,203,4588,20.37,si,2023:94.5% 2024:5.5%,94.5,4,22.4,1.15
R11,Boulevard Caseros,relevamiento propio,exacta,66.0,5,7.6,22,649,12.98,si,2024:100%,100.0,3,33.3,4.4
R12,Centro/Microcentro segmentado,minimo relevado,cota_inferior,797.0,327,41.0,358,1856,11.44,si,2024:100%,100.0,3,44.9,1.09
R13,Abasto,minimo relevado,cota_inferior,314.0,180,57.3,152,2090,19.18,si,2023:45.9% 2024:54.1%,54.1,2,48.4,0.84
R14,Avenida Boedo,directorio comercial,exacta,79.0,74,93.7,92,4320,24.08,si,2023:91.9% 2024:8.1%,91.9,3,116.5,1.24
R15,Devoto,directorio comercial,exacta,119.0,139,116.8,166,10668,22.29,si,2022:100%,100.0,3,139.5,1.19
R16,Donado–Holmberg,directorio comercial,exacta,40.0,32,80.0,45,2704,22.73,si,2023:100%,100.0,4,112.5,1.41
R17,Villa Urquiza,directorio comercial,exacta,189.0,173,91.5,202,10644,23.84,si,2022:2.2% 2023:97.8%,97.8,4,106.9,1.17
R18,Esmeralda–Paraguay,minimo relevado,cota_inferior,216.0,30,13.9,36,186,10.81,si,2024:100%,100.0,2,16.7,1.2
R19,Federico Lacroze por tramos,minimo relevado,cota_inferior,211.0,54,25.6,73,1584,17.71,si,2023:54.2% 2024:45.8%,54.2,3,34.6,1.35
R20,García del Río,minimo relevado,cota_inferior,40.0,16,40.0,21,662,23.34,si,2023:100%,100.0,2,52.5,1.31
R21,La Paternal,minimo relevado,cota_inferior,254.0,41,16.1,87,4803,14.97,si,2022:24.2% 2023:75.8%,75.8,6,34.3,2.12
R22,Villa Pueyrredón,minimo relevado,cota_inferior,158.0,48,30.4,83,7008,22.95,si,2023:100%,100.0,1,52.5,1.73
