,dir_nucleo,dir_ampliado,habilitaciones,f01_locales,dir_outlier,rus_nucleo,rus_ampliado,rus_inactivo,anio_relevamiento,lotes_detectados,direcciones_en_lotes,habilitaciones_en_lotes,grupo
FLORES,248,277,1277,85,10,329,410,4,2024,1,2,100,oeste
LINIERS,114,130,2204,20,31,169,200,3,2023,3,26,1690,oeste
VILLA DEL PARQUE,107,120,1003,9,5,147,188,9,2022,2,4,480,oeste
BARRACAS,103,115,619,49,4,152,181,5,2024,0,0,0,sur
MATADEROS,92,106,325,34,2,143,193,2,2023,0,0,0,oeste
PARQUE PATRICIOS,87,94,318,37,2,112,139,0,2023,0,0,0,sur
FLORESTA,81,87,263,13,1,122,137,10,2023,0,0,0,oeste
PARQUE CHACABUCO,72,86,335,15,3,111,143,2,2024,1,2,48,sur
MONTE CASTRO,65,68,247,15,2,86,116,0,2022,1,2,78,oeste
VELEZ SARSFIELD,60,68,177,13,0,62,89,11,2022,0,0,0,oeste
LA BOCA,55,60,239,44,2,117,143,4,2024,0,0,0,sur
NUEVA POMPEYA,52,67,154,12,0,104,133,2,2024,0,0,0,sur
VILLA SANTA RITA,52,61,175,4,0,76,97,3,2022,0,0,0,oeste
VILLA LUGANO,51,56,250,10,4,93,120,0,2024,2,4,156,sur
PARQUE AVELLANEDA,50,60,147,14,0,62,92,0,2023,0,0,0,oeste
VILLA LURO,42,50,287,3,2,83,107,3,2022,1,2,160,oeste
VILLA REAL,38,40,122,4,0,42,54,2,2022,0,0,0,oeste
VILLA RIACHUELO,25,26,113,6,2,51,64,0,2024,1,2,64,sur
VERSALLES,19,24,59,10,0,19,25,2,2022,0,0,0,oeste
VILLA SOLDATI,11,15,22,2,0,32,55,3,2024,0,0,0,sur
