,permisos_gastro_registros,venta_alimentos_registros,bailables_registros,espacios_culturales_registros,ciclistas_registros,decks_registros,dir_nucleo
PALERMO,88.0,12.0,83.0,291,53.0,1032,928
CABALLITO,36.0,5.0,4.0,102,3.0,898,367
BELGRANO,32.0,,27.0,103,3.0,827,336
VILLA CRESPO,31.0,,2.0,106,3.0,534,236
SAN NICOLAS,25.0,,22.0,368,,2,433
RECOLETA,24.0,,36.0,322,9.0,267,429
BALVANERA,22.0,24.0,22.0,224,3.0,130,468
VILLA URQUIZA,22.0,,,31,3.0,889,206
VILLA DEVOTO,20.0,,2.0,21,,1253,156
SAAVEDRA,17.0,,2.0,28,7.0,792,77
COLEGIALES,15.0,,2.0,27,3.0,362,139
ALMAGRO,14.0,,6.0,148,3.0,223,302
SAN TELMO,12.0,1.0,2.0,116,1.0,43,112
RETIRO,12.0,,10.0,156,4.0,26,174
FLORES,11.0,2.0,18.0,53,,1082,248
NUNEZ,10.0,6.0,4.0,33,1.0,647,121
CHACARITA,10.0,1.0,2.0,66,1.0,271,83
VILLA PUEYRREDON,7.0,,2.0,10,1.0,579,64
BOEDO,7.0,,,50,,315,99
BARRACAS,6.0,,,54,6.0,779,103
PUERTO MADERO,6.0,11.0,12.0,18,,146,39
VILLA DEL PARQUE,6.0,,4.0,16,,554,107
MATADEROS,5.0,,,31,1.0,1356,92
SAN CRISTOBAL,5.0,,,27,,83,60
LA BOCA,5.0,,,69,,378,55
PARQUE CHACABUCO,5.0,,,21,,677,72
VILLA ORTUZAR,4.0,,2.0,16,,319,56
FLORESTA,4.0,2.0,4.0,14,,382,81
MONTE CASTRO,4.0,,,12,1.0,518,65
LINIERS,4.0,,5.0,14,,814,114
VERSALLES,3.0,,,3,,289,19
NUEVA POMPEYA,3.0,,2.0,21,,855,52
COGHLAN,3.0,,,8,,248,26
PARQUE PATRICIOS,3.0,1.0,,39,,332,87
VELEZ SARSFIELD,2.0,,2.0,11,,471,60
CONSTITUCION,2.0,5.0,8.0,30,,78,109
PARQUE CHAS,2.0,,,5,,371,24
VILLA GRAL. MITRE,2.0,,,21,,259,55
VILLA RIACHUELO,2.0,,,3,,187,25
VILLA SANTA RITA,2.0,,,9,,465,52
VILLA LUGANO,1.0,,,18,,1121,51
VILLA SOLDATI,1.0,1.0,,5,,446,11
VILLA LURO,1.0,,,9,,496,42
VILLA REAL,1.0,,,5,1.0,348,38
AGRONOMIA,,,2.0,9,,259,21
MONSERRAT,,,32.0,246,,25,286
PARQUE AVELLANEDA,,,,19,,655,50
PATERNAL,,,,22,,225,31
