,osm_nucleo,osm_ampliado,osm_con_direccion,osm_con_nombre,dir_nucleo,dir_ampliado,f01_locales,rus_nucleo,anio_relevamiento,osm_sobre_padron,osm_sobre_rus
PUERTO MADERO,128,129,50,119,39,40,47,38,2024,3.28,3.37
VILLA SOLDATI,35,50,24,38,11,15,2,32,2024,3.18,1.09
BELGRANO,631,714,338,701,336,365,71,449,2023,1.88,1.41
SAN TELMO,172,187,92,172,112,115,80,168,2024,1.54,1.02
CHACARITA,110,120,88,118,83,98,18,133,2023,1.33,0.83
NUNEZ,160,187,76,182,121,129,28,177,2023,1.32,0.9
RECOLETA,553,632,290,611,429,464,327,549,2024,1.29,1.01
RETIRO,216,229,140,214,174,182,109,202,2024,1.24,1.07
PALERMO,1128,1250,780,1199,928,984,467,1313,2024,1.22,0.86
AGRONOMIA,25,29,8,27,21,24,3,31,2022,1.19,0.81
SAAVEDRA,90,104,52,98,77,85,25,117,2023,1.17,0.77
VERSALLES,21,27,12,27,19,24,10,19,2022,1.11,1.11
PARQUE CHAS,26,33,9,33,24,33,0,43,2022,1.08,0.6
COGHLAN,28,29,11,27,26,28,5,37,2023,1.08,0.76
VILLA LURO,44,51,29,46,42,50,3,83,2022,1.05,0.53
LINIERS,115,146,27,131,114,130,20,169,2023,1.01,0.68
COLEGIALES,134,146,96,145,139,147,41,176,2023,0.96,0.76
VILLA GRAL. MITRE,47,50,27,47,55,66,5,82,2022,0.85,0.57
MONSERRAT,243,259,132,245,286,305,149,324,2024,0.85,0.75
VILLA URQUIZA,174,195,112,189,206,229,28,239,2023,0.84,0.73
SAN NICOLAS,357,385,225,368,433,447,454,480,2024,0.82,0.74
LA BOCA,45,54,33,45,55,60,44,117,2024,0.82,0.38
VILLA SANTA RITA,42,53,32,52,52,61,4,76,2022,0.81,0.55
NUEVA POMPEYA,42,50,39,46,52,67,12,104,2024,0.81,0.4
VILLA ORTUZAR,44,52,27,50,56,62,20,85,2023,0.79,0.52
VILLA CRESPO,186,205,132,202,236,267,44,340,2023,0.79,0.55
VILLA LUGANO,40,43,35,40,51,56,10,93,2024,0.78,0.43
SAN CRISTOBAL,46,54,25,51,60,68,9,101,2024,0.77,0.46
VILLA REAL,29,39,17,39,38,40,4,42,2022,0.76,0.69
VILLA DEVOTO,118,133,65,128,156,166,32,195,2022,0.76,0.61
BOEDO,74,89,56,86,99,115,14,124,2023,0.75,0.6
BARRACAS,76,85,60,73,103,115,49,152,2024,0.74,0.5
MATADEROS,67,81,64,79,92,106,34,143,2023,0.73,0.47
CABALLITO,266,313,182,298,367,405,125,483,2023,0.72,0.55
VILLA PUEYRREDON,45,52,23,51,64,69,12,93,2023,0.7,0.48
PARQUE CHACABUCO,45,55,37,52,72,86,15,111,2024,0.62,0.41
MONTE CASTRO,39,49,39,47,65,68,15,86,2022,0.6,0.45
FLORESTA,45,52,31,48,81,87,13,122,2023,0.56,0.37
PATERNAL,17,20,5,20,31,39,2,53,2023,0.55,0.32
CONSTITUCION,60,64,40,57,109,123,30,132,2024,0.55,0.45
ALMAGRO,159,179,113,170,302,332,63,358,2023,0.53,0.44
BALVANERA,242,281,122,267,468,505,215,474,2024,0.52,0.51
VILLA DEL PARQUE,55,66,33,64,107,120,9,147,2022,0.51,0.37
PARQUE PATRICIOS,44,49,26,47,87,94,37,112,2023,0.51,0.39
VELEZ SARSFIELD,30,42,27,35,60,68,13,62,2022,0.5,0.48
PARQUE AVELLANEDA,23,29,20,24,50,60,14,62,2023,0.46,0.37
FLORES,101,119,61,114,248,277,85,329,2024,0.41,0.31
VILLA RIACHUELO,8,8,7,8,25,26,6,51,2024,0.32,0.16
