,ovt_nucleo,ovt_ampliado,ovt_conf_alta,ovt_con_direccion,dir_nucleo,dir_ampliado,f01_locales,rus_nucleo,anio_relevamiento,osm_nucleo,ovt_sobre_padron,ovt_sobre_rus
PUERTO MADERO,194,200,152,197,39,40,47,38,2024,128,4.97,5.11
VILLA SOLDATI,35,42,23,40,11,15,2,32,2024,35,3.18,1.09
LA BOCA,149,164,120,157,55,60,44,117,2024,45,2.71,1.27
SAN TELMO,298,313,233,307,112,115,80,168,2024,172,2.66,1.77
PALERMO,2231,2388,1608,2327,928,984,467,1313,2024,1128,2.4,1.7
RETIRO,397,430,317,423,174,182,109,202,2024,216,2.28,1.97
VILLA LUGANO,116,133,84,125,51,56,10,93,2024,40,2.27,1.25
CHACARITA,165,178,133,172,83,98,18,133,2023,110,1.99,1.24
SAN NICOLAS,845,900,656,880,433,447,454,480,2024,357,1.95,1.76
RECOLETA,823,913,636,894,429,464,327,549,2024,553,1.92,1.5
NUNEZ,227,248,172,242,121,129,28,177,2023,160,1.88,1.28
VILLA LURO,79,89,66,89,42,50,3,83,2022,44,1.88,0.95
BELGRANO,626,720,514,702,336,365,71,449,2023,631,1.86,1.39
MONSERRAT,522,557,367,542,286,305,149,324,2024,243,1.83,1.61
SAAVEDRA,141,160,115,156,77,85,25,117,2023,90,1.83,1.21
COGHLAN,47,53,37,53,26,28,5,37,2023,28,1.81,1.27
NUEVA POMPEYA,93,108,70,108,52,67,12,104,2024,42,1.79,0.89
VILLA CRESPO,421,465,324,454,236,267,44,340,2023,186,1.78,1.24
SAN CRISTOBAL,101,122,81,119,60,68,9,101,2024,46,1.68,1.0
PARQUE CHACABUCO,120,146,91,143,72,86,15,111,2024,45,1.67,1.08
MATADEROS,149,179,124,173,92,106,34,143,2023,67,1.62,1.04
BARRACAS,165,194,140,189,103,115,49,152,2024,76,1.6,1.09
PATERNAL,48,52,36,51,31,39,2,53,2023,17,1.55,0.91
VILLA DEVOTO,237,266,183,262,156,166,32,195,2022,118,1.52,1.22
AGRONOMIA,32,36,23,34,21,24,3,31,2022,25,1.52,1.03
COLEGIALES,210,235,159,229,139,147,41,176,2023,134,1.51,1.19
PARQUE CHAS,36,42,26,42,24,33,0,43,2022,26,1.5,0.84
VILLA RIACHUELO,37,45,28,45,25,26,6,51,2024,8,1.48,0.73
CABALLITO,530,603,420,594,367,405,125,483,2023,266,1.44,1.1
VILLA PUEYRREDON,88,96,67,95,64,69,12,93,2023,45,1.38,0.95
VILLA ORTUZAR,77,90,64,88,56,62,20,85,2023,44,1.38,0.91
VERSALLES,26,31,24,30,19,24,10,19,2022,21,1.37,1.37
VILLA DEL PARQUE,147,173,116,168,107,120,9,147,2022,55,1.37,1.0
ALMAGRO,411,468,313,452,302,332,63,358,2023,159,1.36,1.15
VILLA URQUIZA,275,310,223,303,206,229,28,239,2023,174,1.33,1.15
VILLA SANTA RITA,69,82,50,80,52,61,4,76,2022,42,1.33,0.91
LINIERS,149,174,117,170,114,130,20,169,2023,115,1.31,0.88
FLORES,321,369,242,359,248,277,85,329,2024,101,1.29,0.98
PARQUE PATRICIOS,111,127,88,127,87,94,37,112,2023,44,1.28,0.99
BOEDO,120,142,93,135,99,115,14,124,2023,74,1.21,0.97
BALVANERA,559,601,447,582,468,505,215,474,2024,242,1.19,1.18
FLORESTA,94,110,69,109,81,87,13,122,2023,45,1.16,0.77
PARQUE AVELLANEDA,58,80,42,79,50,60,14,62,2023,23,1.16,0.94
VELEZ SARSFIELD,68,82,51,76,60,68,13,62,2022,30,1.13,1.1
VILLA GRAL. MITRE,60,76,43,72,55,66,5,82,2022,47,1.09,0.73
CONSTITUCION,115,130,85,127,109,123,30,132,2024,60,1.06,0.87
MONTE CASTRO,68,82,55,82,65,68,15,86,2022,39,1.05,0.79
VILLA REAL,31,39,23,39,38,40,4,42,2022,29,0.82,0.74
