barrio_k,comercial,comercial_con_multi,rus_gastro,rus_nucleo,anio_relevamiento,base_total,base_nucleo,base_aptos,base_con_rus,base_sin_rus,base_sobre_comercial,rus_sobre_comercial,cobertura,aporte_otras_fuentes
PUERTO MADERO,52,52,38,38,2024,283,277,275,38,245,5442.307692307692,730.7692307692307,7.447368421052632,6.447368421052632
VERSALLES,230,230,25,19,2022,104,84,104,25,79,452.17391304347825,108.69565217391305,4.16,3.16
RETIRO,865,877,223,202,2024,649,610,637,223,426,750.2890173410404,257.80346820809245,2.9103139013452917,1.9103139013452914
BELGRANO,1968,1974,542,449,2023,1572,1372,1552,542,1030,798.7804878048781,275.4065040650406,2.9003690036900367,1.900369003690037
VILLA SOLDATI,426,426,55,32,2024,154,106,154,55,99,361.5023474178404,129.10798122065728,2.8,1.8
SAAVEDRA,838,839,143,117,2023,397,342,394,143,254,473.7470167064439,170.64439140811456,2.7762237762237763,1.7762237762237763
RECOLETA,2771,2782,636,549,2024,1750,1573,1727,636,1114,631.5409599422591,229.52002887044387,2.751572327044025,1.751572327044025
MONSERRAT,1202,1203,363,324,2024,994,923,984,363,631,826.9550748752081,301.99667221297835,2.7382920110192837,1.7382920110192837
COGHLAN,282,282,45,37,2023,123,108,123,45,78,436.17021276595744,159.5744680851064,2.7333333333333334,1.7333333333333334
NUNEZ,826,826,205,177,2023,557,499,552,205,352,674.3341404358354,248.18401937046005,2.7170731707317075,1.7170731707317073
SAN NICOLAS,1702,1721,524,480,2024,1415,1316,1391,524,891,831.3748531139835,307.8730904817861,2.700381679389313,1.700381679389313
BARRACAS,1122,1131,181,152,2024,481,413,478,181,300,428.698752228164,161.31907308377896,2.657458563535912,1.6574585635359116
LINIERS,1349,1355,200,169,2023,529,447,529,200,329,392.1423276501112,148.25796886582654,2.645,1.645
VILLA LUGANO,1071,1073,120,93,2024,311,264,310,120,191,290.3828197945845,112.04481792717087,2.591666666666667,1.5916666666666666
BALVANERA,3705,3720,548,474,2024,1420,1263,1410,548,872,383.2658569500675,147.90823211875843,2.591240875912409,1.5912408759124088
VELEZ SARSFIELD,756,756,89,62,2022,230,178,229,89,141,304.23280423280426,117.72486772486772,2.5842696629213484,1.5842696629213484
CHACARITA,848,848,153,133,2023,395,354,390,153,242,465.8018867924528,180.4245283018868,2.581699346405229,1.5816993464052287
SAN TELMO,587,588,183,168,2024,463,432,455,183,280,788.7563884156729,311.75468483816013,2.530054644808743,1.530054644808743
PALERMO,4709,4716,1446,1313,2024,3653,3376,3598,1446,2207,775.7485665746443,307.0715650881291,2.5262793914246195,1.5262793914246195
PARQUE AVELLANEDA,1038,1038,92,62,2023,232,175,230,92,140,223.5067437379576,88.63198458574182,2.5217391304347827,1.5217391304347827
CONSTITUCION,805,810,158,132,2024,396,350,393,158,238,491.9254658385093,196.27329192546583,2.5063291139240507,1.5063291139240507
VILLA URQUIZA,1869,1873,312,239,2023,775,652,768,312,463,414.6602461209203,166.93418940609953,2.483974358974359,1.483974358974359
VILLA REAL,355,356,54,42,2022,134,113,134,54,80,377.46478873239437,152.11267605633802,2.4814814814814814,1.4814814814814814
NUEVA POMPEYA,1031,1032,133,104,2024,329,268,329,133,196,319.10766246362755,129.00096993210474,2.473684210526316,1.4736842105263157
AGRONOMIA,320,320,44,31,2022,108,89,107,44,64,337.5,137.5,2.4545454545454546,1.4545454545454546
PARQUE CHACABUCO,1214,1216,143,111,2024,351,285,347,143,208,289.12685337726526,117.79242174629324,2.4545454545454546,1.4545454545454546
VILLA DEVOTO,1348,1350,248,195,2022,608,508,602,250,358,451.0385756676558,183.97626112759644,2.4516129032258065,1.4435483870967742
LA BOCA,623,641,143,117,2024,350,297,348,143,207,561.7977528089888,229.53451043338686,2.4475524475524475,1.4475524475524475
MATADEROS,1773,1774,193,143,2023,472,380,467,193,279,266.2154540327129,108.85504794134236,2.4455958549222796,1.4455958549222798
PARQUE CHAS,379,379,52,43,2022,126,99,126,52,74,332.4538258575198,137.2031662269129,2.423076923076923,1.4230769230769231
COLEGIALES,816,817,205,176,2023,491,445,487,205,286,601.7156862745097,251.22549019607843,2.395121951219512,1.395121951219512
BOEDO,1180,1182,163,124,2023,390,319,388,163,227,330.50847457627117,138.13559322033896,2.392638036809816,1.392638036809816
CABALLITO,2606,2617,593,483,2023,1417,1214,1406,593,824,543.7452033768227,227.55180353031466,2.3895446880269815,1.3895446880269815
VILLA CRESPO,2589,2592,411,340,2023,981,852,969,411,570,378.91077636152954,158.74855156431056,2.386861313868613,1.3868613138686132
FLORESTA,1319,1395,137,122,2023,324,284,322,137,187,245.64063684609553,103.86656557998484,2.3649635036496353,1.364963503649635
VILLA GRAL. MITRE,717,718,107,82,2022,253,208,251,107,146,352.8591352859135,149.2329149232915,2.364485981308411,1.3644859813084111
VILLA SANTA RITA,762,762,97,76,2022,229,186,225,97,132,300.5249343832021,127.29658792650919,2.3608247422680413,1.3608247422680413
ALMAGRO,2243,2243,442,358,2023,1025,880,1013,442,583,456.9772625947392,197.05751226036557,2.319004524886878,1.3190045248868778
VILLA LURO,679,680,107,83,2022,248,207,247,107,141,365.2430044182621,157.58468335787924,2.317757009345794,1.3177570093457944
VILLA ORTUZAR,587,587,101,85,2023,234,203,232,101,133,398.6371379897785,172.06132879045995,2.3168316831683167,1.316831683168317
SAN CRISTOBAL,1025,1026,134,101,2024,309,250,308,134,175,301.4634146341463,130.7317073170732,2.3059701492537314,1.3059701492537314
PARQUE PATRICIOS,772,775,139,112,2023,320,279,319,139,181,414.5077720207254,180.05181347150258,2.302158273381295,1.3021582733812949
VILLA PUEYRREDON,835,837,116,93,2023,267,229,267,116,151,319.7604790419162,138.92215568862275,2.3017241379310347,1.3017241379310345
PATERNAL,481,481,67,53,2023,154,126,154,67,87,320.1663201663202,139.2931392931393,2.298507462686567,1.2985074626865671
FLORES,2843,2949,410,329,2024,937,783,927,410,527,329.58142806894125,144.21385860007035,2.2853658536585364,1.2853658536585366
VILLA DEL PARQUE,1107,1111,188,147,2022,408,337,403,188,220,368.56368563685635,169.82836495031617,2.1702127659574466,1.1702127659574468
MONTE CASTRO,941,941,116,86,2022,250,203,249,116,134,265.67481402763013,123.2731137088204,2.1551724137931036,1.1551724137931034
VILLA RIACHUELO,706,707,64,51,2024,129,111,129,64,65,182.71954674220964,90.6515580736544,2.015625,1.015625
