barrio_k,base_total,base_nucleo,poblacion,comuna,locales_x_mil,nucleo_x_mil
SAN NICOLAS,1415,1316,36435,1,38.84,36.12
PUERTO MADERO,283,277,10942,1,25.86,25.32
MONSERRAT,994,923,41422,1,24.0,22.28
SAN TELMO,463,432,21208,1,21.83,20.37
PALERMO,3653,3376,247216,14,14.78,13.66
CHACARITA,395,354,31292,15,12.62,11.31
LINIERS,529,447,47099,9,11.23,9.49
VILLA CRESPO,981,852,87883,15,11.16,9.69
BELGRANO,1572,1372,142139,13,11.06,9.65
RECOLETA,1750,1573,160673,2,10.89,9.79
VILLA ORTUZAR,234,203,22472,15,10.41,9.03
BALVANERA,1420,1263,143647,3,9.89,8.79
VILLA REAL,134,113,13749,10,9.75,8.22
RETIRO,649,610,67134,1,9.67,9.09
CONSTITUCION,396,350,43826,1,9.04,7.99
COLEGIALES,491,445,55247,13,8.89,8.05
FLORESTA,324,284,36843,10,8.79,7.71
NUNEZ,557,499,64962,13,8.57,7.68
VILLA DEVOTO,608,508,71606,11,8.49,7.09
VILLA RIACHUELO,129,111,15588,8,8.28,7.12
LA BOCA,350,297,44224,4,7.91,6.72
PARQUE PATRICIOS,320,279,40675,4,7.87,6.86
BOEDO,390,319,49677,5,7.85,6.42
AGRONOMIA,108,89,13760,15,7.85,6.47
NUEVA POMPEYA,329,268,44178,4,7.45,6.07
SAAVEDRA,397,342,53667,12,7.4,6.37
VILLA GRAL. MITRE,253,208,34248,11,7.39,6.07
PATERNAL,154,126,21090,15,7.3,5.97
ALMAGRO,1025,880,142777,5,7.18,6.16
VILLA LURO,248,207,34660,10,7.16,5.97
CABALLITO,1417,1214,201749,6,7.02,6.02
MATADEROS,472,380,67457,9,7.0,5.63
MONTE CASTRO,250,203,35824,10,6.98,5.67
VILLA URQUIZA,775,652,114287,12,6.78,5.7
PARQUE CHAS,126,99,18755,15,6.72,5.28
VILLA DEL PARQUE,408,337,61220,11,6.66,5.5
VELEZ SARSFIELD,230,178,34786,10,6.61,5.12
VILLA SANTA RITA,229,186,34816,11,6.58,5.34
VERSALLES,104,84,16025,10,6.49,5.24
FLORES,937,783,151434,7,6.19,5.17
SAN CRISTOBAL,309,250,49882,3,6.19,5.01
COGHLAN,123,108,20801,12,5.91,5.19
VILLA PUEYRREDON,267,229,46603,12,5.73,4.91
PARQUE CHACABUCO,351,285,61825,7,5.68,4.61
BARRACAS,481,413,97973,4,4.91,4.22
PARQUE AVELLANEDA,232,175,53370,9,4.35,3.28
VILLA SOLDATI,154,106,51571,8,2.99,2.06
VILLA LUGANO,311,264,136738,8,2.27,1.93
