lote,partida_matriz,barrio,direcciones_2025,registros_2015_2024,parcelas_smp,smp,puertas_en_el_crudo,estrato
L01,223955,San Nicolas,10,282,1,1-32-2B,75,11+
L01,220602,San Nicolas,10,64,1,1-32-8,67,11+
L02,94035,Liniers,15,159,1,72-40B-4F,32,11+
L03,223955,San Nicolas,8,282,1,1-32-2B,75,11+
L03,220602,San Nicolas,8,64,1,1-32-8,67,11+
L04,223955,Retiro,4,282,1,1-32-2B,75,11+
L04,220602,Retiro,4,64,1,1-32-8,67,11+
L05,94035,Liniers,7,159,1,72-40B-4F,32,11+
L06,378417,Nuñez,4,6,1,29-104-1J,8,6-10
L07,369649,Villa Urquiza,2,4,1,51-41-3F,2,2
L08,255074,Villa Del Parque,2,4,1,69-6-7,2,2
L09,378417,Nuñez,3,6,1,29-104-1J,8,6-10
L10,94035,Liniers,4,159,1,72-40B-4F,32,11+
L11,448542,Palermo,3,39,1,15-14C-1G,29,11+
L12,448542,Palermo,3,39,1,15-14C-1G,29,11+
L13,263878,Villa Del Parque,2,4,1,81-163-1,3,3-5
L14,378482,Belgrano,2,4,1,27-47A-11,2,2
L15,403261,Palermo,3,3,1,35-73-1,3,3-5
L16,448542,Palermo,2,39,1,15-14C-1G,29,11+
L17,448274,Recoleta,6,42,1,11-40-1,11,11+
L18,448542,Palermo,2,39,1,15-14C-1G,29,11+
L19,88105,Villa Luro,2,7,1,77-16-1A,3,3-5
L20,430315,Palermo,2,5,1,21-79-5,2,2
L21,451321,Retiro,2,5,1,7-46-8A,2,2
L22,428851,Palermo,2,5,1,19-54-12,2,2
L23,338516,Nuñez,2,2,1,27-31-16,2,2
L24,425492,Palermo,2,4,1,19-28-1,3,3-5
L25,218460,Monserrat,2,5,1,12-2-13,2,2
L26,426750,Palermo,2,8,1,19-49-28,2,2
L27,429067,Palermo,2,16,1,19-176-1,3,3-5
L28,257819,Agronomia,3,3,1,71-12-9,3,3-5
L29,801076,Retiro,2,5,1,3-16Z-PLT1,2,2
L30,338783,Nuñez,2,6,1,27-77-13,2,2
L31,88595,Villa Lugano,2,6,1,80-126-29,2,2
L32,50143,Flores,2,20,1,44-13D-19,3,3-5
L33,440078,Recoleta,2,15,1,11-76-1,5,3-5
L34,279450,Monte Castro,2,14,1,87-59A-15,2,2
L35,402423,Palermo,2,4,1,35-57-1C,2,2
L36,69484,Villa Riachuelo,2,6,1,82-39-19,2,2
L37,220932,San Nicolas,2,15,1,1-14-17,3,3-5
L38,421584,Villa Crespo,2,12,1,31-40-34,2,2
L39,448274,Recoleta,2,42,1,11-40-1,11,11+
L40,414816,Colegiales,2,29,1,37-149-35A,3,3-5
L41,104419,Boedo,2,9,1,32-32-12,2,2
L42,422734,Villa Crespo,2,5,1,31-79-16,2,2
L43,159568,Parque Chacabuco,2,6,1,40-7B-16,3,3-5
L44,66389,Villa Lugano,2,4,1,80-111-20,2,2
L45,422220,Villa Crespo,2,2,1,31-18-2,2,2
