barrio,km2,dir_nucleo,univ_est,celdas
Palermo,15.93,928,5099,128
Balvanera,4.34,468,2571,65
San Nicolas,2.29,433,2379,60
Recoleta,6.44,429,2357,59
Caballito,6.85,367,2016,51
Belgrano,8.06,336,1846,47
Almagro,4.05,302,1659,42
Monserrat,2.2,286,1571,40
Villa Lugano,9.3,51,280,38
Flores,8.59,248,1363,35
Villa Soldati,8.69,11,60,35
Villa Crespo,3.62,236,1297,33
Barracas,7.96,103,566,32
Mataderos,7.4,92,505,30
Villa Urquiza,5.45,206,1132,29
Villa Devoto,6.41,156,857,26
Retiro,4.52,174,956,24
Saavedra,5.54,77,423,23
La Boca,5.04,55,302,21
Puerto Madero,5.05,39,214,21
Colegiales,2.29,139,764,20
Nueva Pompeya,4.96,52,286,20
Parque Avellaneda,4.73,50,275,19
Nuñez,4.5,121,665,18
Liniers,4.38,114,626,18
Villa Riachuelo,4.24,25,137,17
Parque Chacabuco,3.83,72,396,16
San Telmo,1.23,112,615,16
Villa Del Parque,3.4,107,588,15
Parque Patricios,3.75,87,478,15
Constitucion,2.1,109,599,15
Villa Pueyrredon,3.3,64,352,14
Boedo,2.61,99,544,14
Chacarita,3.12,83,456,13
Floresta,2.32,81,445,12
Monte Castro,2.63,65,357,11
Villa Luro,2.57,42,231,11
Velez Sarsfield,2.4,60,330,10
Villa Gral. Mitre,2.16,55,302,9
San Cristobal,2.04,60,330,9
Agronomia,2.12,21,115,9
Villa Santa Rita,2.15,52,286,9
Paternal,2.23,31,170,9
Villa Ortuzar,1.85,56,308,8
Coghlan,1.28,26,143,6
Villa Real,1.33,38,209,6
Parque Chas,1.39,24,132,6
Versalles,1.41,19,104,6
