nombre,tipo,referencia,estado
Bar Lisandro,bar notable,1908,cierre confirmado
El Malevo,bar,—,cierre confirmado
Banchero · sucursal Once,pizzería,—,cierre de la sucursal; la casa de La Boca sigue
Saverio · local fundacional,heladería,Av. San Juan 2727,ya no opera
Gino,heladería,Liniers,cierre confirmado
Venus,heladería,Liniers,cierre confirmado
Vecchio,heladería,Liniers,cierre confirmado
Fratelli,heladería,Liniers,cierre confirmado
La Veneciana,heladería,Liniers,cierre confirmado
Sandro,heladería,Liniers,cierre confirmado
