bar,nombres_vistos,direcciones_vistas,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por
36 BILLARES,36 BILLARES | Los 36 Billares,"Av. de Mayo 1265 | Avenida de Mayo 1262 | DE MAYO AV. 1265, CABA",si,si,si,3,domicilio+nombre+calle
8 ESQUINAS,8 ESQUINAS | Ocho Esquinas,"Av. Forest 1186 | FOREST AV. 1186, CABA",si,si,si,3,domicilio
9 de Julio,9 DE JULIO | 9 de Julio | 9 de julio,"LARRAZABAL AV. 1276, CABA | Larrazabal 1276",si,si,si,3,domicilio
BAR DEL ALVEAR PALACE HOTEL,BAR DEL ALVEAR PALACE HOTEL | Bar del Alvear Palace Hotel,"ALVEAR AV. 1891, CABA | Av. Alvear 1891",si,si,si,3,domicilio
BAR OVIEDO,BAR OVIEDO | Bar Oviedo,"Av. Lisandro de la Torre 2407 | DE LA TORRE, LISANDRO AV. 2407, CABA | Lisandro de la Torre 2407",si,si,si,3,domicilio
BAR PLAZA DORREGO,BAR PLAZA DORREGO | Bar Plaza Dorrego,"DEFENSA 1096, CABA | Defensa 1098",si,si,si,3,nombre+calle
BAR SUR,BAR SUR | Bar Sur,"ESTADOS UNIDOS 299, CABA | Estados Unidos 299",si,si,si,3,domicilio
BOSTON CITY,BOSTON CITY | Bar Boston City | Boston City,"FLORIDA 165, CABA | Florida 165 | Florida 165 local 3",si,si,si,3,domicilio
Bar El Federal,BAR EL FEDERAL | Bar El Federal,"CALVO, CARLOS 595, CABA | Carlos Calvo 595 | Carlos Calvo 599",si,si,si,3,domicilio+nombre+calle
Bar Imperio,Bar Imperio | HOTEL SAVOY / BAR IMPERIO | Hotel Savoy / Bar Imperio,"Av. Callao 181 | CALLAO AV. 181, CABA",si,si,si,3,domicilio
Bar Quintino,BAR QUINTINO | Bar Quintino,"CALVO, CARLOS AV. 4002, CABA | Carlos Calvo 4002",si,si,si,3,domicilio
Bar Seddon,BAR SEDDON | Bar Seddon,"DEFENSA 695, CABA | Defensa 695",si,si,si,3,domicilio
Bar de Cao,BAR DE CAO | Bar de Cao,"Av. Independencia 2400 | INDEPENDENCIA AV. 2400, CABA | Independencia 2400",si,si,si,3,domicilio
Bar del Glorias,Bar del Glorias | CLUB GLORIAS ARGENTINAS,"ANDALGALA 1982, CABA | Andalgala 1982",si,si,si,3,domicilio
Barbaro,BARBARO - BAR O BAR | Bar Bar O | Barbaro,"TRES SARGENTOS 415, CABA | Tres Sargentos 415",si,si,si,3,domicilio
Britanico,BAR BRITANICO | Bar Británico | Britanico,"BRASIL AV. 399, CABA | Brasil 399",si,si,si,3,domicilio
CAFE TORTORI,CAFE TORTORI | Cafe Tortoni | Café Tortoni,"Av. de Mayo 825 | Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina | DE MAYO AV. 825, CABA",si,si,si,3,domicilio
CAFETABAC,CAFETABAC | Caffe Tabac,"Av. Del Libertador 2300 | Av. del Libertador 2300 | DEL LIBERTADOR AV. 2300, CABA",si,si,si,3,domicilio
Cafe Montecarlo,CAFE MONTECARLO | Cafe Montecarlo | Café Montecarlo,"PARAGUAY 5491, CABA | Paraguay 5491",si,si,si,3,domicilio
Café Margot,CAFE MARGOT | Cafe Margot | Café Margot,"Av. Boedo 857 | BOEDO AV. 857, CABA | Boedo 857",si,si,si,3,domicilio
Café Roma,CAFE ROMA | Café Roma | Roma del Abasto,"SAN LUIS 3101, CABA | San Luis 3101",si,si,si,3,domicilio
Café Roma,CAFE ROMA | Cafe Roma | Café Roma,"OLAVARRIA 409, CABA | Olavarria 409",si,si,si,3,domicilio
Café Thibon,CAFE THIBON | Cafe Thibon | Café Thibon,"MONTEVIDEO 723, CABA | Montevideo 723",si,si,si,3,domicilio
Café de García,CAFE DE GARCIA | Cafe de Garcia | Café de García,"SANABRIA 3302, CABA | Sanabria 3302",si,si,si,3,domicilio
Café de la U,CAFE DE LA U | Cafe de la U | Café de la U,"Av. Triunvirato 4801 | TRIUNVIRATO AV. 4801, CABA | Triunvirato 4801",si,si,si,3,domicilio
Café de los Angelitos,CAFE DE LOS ANGELITOS | Cafe de los Angelitos | Café de los Angelitos,"Av. Rivadavia 2064 | Av. Rivadavia 2100 | RIVADAVIA AV. 2100, CABA",si,si,si,3,domicilio+nombre+calle
Casa Watson,CASA WATSON | Casa Watson,"VUELTA DE OBLIGADO 2072, CABA | Vuelta De Obligado 2072 | Vuelta de Obligado 2072",si,si,si,3,domicilio
Celta Bar,CELTA BAR | Celta Bar,"SARMIENTO 1702, CABA | Sarmiento 1701 | Sarmiento 1702",si,si,si,3,domicilio+nombre+calle
Claridge's,CLARIDGE BAR | Claridge's,"TUCUMAN 535, CABA | Tucuman 535",si,si,si,3,domicilio
Confitería Ideal,CONFITERIA IDEAL | Confiteria La Ideal | Confitería Ideal,"SUIPACHA 384, CABA | Suipacha 384",si,si,si,3,domicilio
Confitería Saint Moritz,CONFITERIA SAINT MORITZ | Confiteria Saint Moritz | Confitería Saint Moritz,"ESMERALDA 894, CABA | Esmeralda 894",si,si,si,3,domicilio
DON JUAN,Cafe Don Juan | Café Don Juan | DON JUAN,"CAMARONES 2702, CABA | Camarones 2702",si,si,si,3,domicilio
EL COLECCIONISTA,EL COLECCIONISTA | El Coleccionista,"Av. Rivadavia 4929 | RIVADAVIA AV. 4929, CABA | Rivadavia 4929",si,si,si,3,domicilio
EL COLONIAL,Bar El Colonial | EL COLONIAL,"Av. Belgrano 599 | BELGRANO AV. 599, CABA",si,si,si,3,domicilio
EL PROGRESO,EL PROGRESO | El Progreso,"Av. Montes de Oca 1700 | Av. Montes de Oca 1702 | MONTES DE OCA, MANUEL AV. 1700, CABA",si,si,si,3,domicilio+nombre+calle
EL QUERANDI,EL QUERANDI | El Querandi,"PERU 302, CABA | Peru 302",si,si,si,3,domicilio
EL SIMBOLO,EL SIMBOLO | El Simbolo | El Símbolo,"Av. Corrientes 3787 | CORRIENTES AV. 3787, CABA",si,si,si,3,domicilio
El Banderín,CAFE EL BANDERIN | El Banderin | El Banderín,"GUARDIA VIEJA 3601, CABA | Guardia Vieja 3601",si,si,si,3,domicilio
El Buzón,EL BUZON | El Buzon | El Buzón,"ESQUIU 1393, CABA | Esquiu 1393",si,si,si,3,domicilio
El Estano 1880,BAR EL ESTAÑO 1880 | Café El Estaño 1880 | El Estano 1880,"Aristobulo del Valle 1100 | Aristóbulo del Valle 1100 | VALLE, ARISTOBULO DEL 1100, CABA",si,si,si,3,domicilio
El Faro,EL FARO | El Faro,"Av. de los Constituyentes 4099 | DE LOS CONSTITUYENTES AV. 4099, CABA",si,si,si,3,domicilio
El Gato Negro,EL GATO NEGRO / DON VITORIANO | El Gato Negro,"Av. Corrientes 1669 | CORRIENTES AV. 1669, CABA",si,si,si,3,domicilio+solo nombre
El Tokio,EL TOKIO | El Tokio,"ALVAREZ JONTE AV. 3550, CABA | Alvarez Jonte 3550 | Av. Alvarez Jonte 3550",si,si,si,3,domicilio
El Viejo Buzón,EL VIEJO BUZON | El Viejo Buzon | El Viejo Buzón,"NEUQUEN 1100, CABA | Neuquen 1100",si,si,si,3,domicilio
Esquina Homero Manzi,ESQUINA HOMERO MANZI | Esquina Homero Manzi,"Av. San Juan 3601 | SAN JUAN AV. 3601, CABA | San Juan y Boedo",si,si,si,3,domicilio+solo nombre
FLORIDA GARDEN,FLORIDA GARDEN | Florida Garden,"FLORIDA 899, CABA | Florida 899",si,si,si,3,domicilio
HIPOPOTAMO,El Hipopotamo | HIPOPOTAMO,"BRASIL 401, CABA | Brasil 401",si,si,si,3,domicilio
LA ACADEMIA,LA ACADEMIA | La Academia,"Av. Callao 368 | CALLAO AV. 368, CABA",si,si,si,3,domicilio
LA BUENA MEDIDA,LA BUENA MEDIDA | La Buena Medida,"SUAREZ 101, CABA | Suarez 101",si,si,si,3,domicilio
LA FARMACIA,LA FARMACIA | La Farmacia,"Av. Directorio 2400 | DIRECTORIO AV. 2400, CABA",si,si,si,3,domicilio
LA FLOR DE BARRACAS,LA FLOR DE BARRACAS | La Flor de Barracas,"Av. Suárez 2095 | SUAREZ AV. 2095, CABA | Suarez 2095",si,si,si,3,domicilio
LA POESIA,Cafe La Poesia | Café La Poesía | LA POESIA,"CHILE 502, CABA | Chile 502",si,si,si,3,domicilio
LOS LAURELES,LOS LAURELES | Los Laureles,"Av. Iriarte 2290 | IRIARTE, GRAL. AV. 2290, CABA | Iriarte 2290",si,si,si,3,domicilio
La Biela,LA BIELA | La Biela,"Av. Quintana 600 | QUINTANA, MANUEL, PRES. AV. 600, CABA | Quintana 600",si,si,si,3,domicilio
La Esquina de Aníbal Troilo,LA ESQUINA DE ANIBAL TROILO | La Esquina de Anibal Troilo | La Esquina de Aníbal Troilo,"PARAGUAY 1500, CABA | Paraguay 1500",si,si,si,3,domicilio
La Giralda,LA GIRALDA | La Giralda,"Av. Corrientes 1453 | CORRIENTES AV. 1453, CABA",si,si,si,3,domicilio
