nombre,direccion,fuente,barrio,latitud,longitud
La Americana,Av. Callao 83,sitio oficial · Comuna 3,Balvanera,-34.608247,-58.391925
La Mezzetta,Av. Alvarez Thomas 1321,prensa (Cronista),Villa Ortuzar,-34.578231,-58.460815
La Mezzetta,Av. Alvarez Thomas 1311,GCBA,Chacarita,-34.578231,-58.460685
Banchero,Suarez 396,GCBA,La Boca,-34.635258,-58.358632
Banchero,Av. Almirante Brown 1220,canal26,La Boca,-34.635507,-58.358669
San Carlos,Av. Rivadavia 4548,dos fuentes,Caballito,-34.615514,-58.429977
San Carlos,Av. Rivadavia y Av. La Plata,prensa (descripcion),Caballito,-34.615104,-58.429256
Saverio Helados,Av. San Juan 2809,oficial,San Cristobal,-34.623952,-58.404263
Saverio Helados,Av. San Juan 2816,La Nacion,San Cristobal,-34.62407,-58.40387
Saverio Helados,Av. San Juan 2727,fundacional (YA NO OPERA),San Cristobal,-34.623772,-58.402796
