"Locales relevados, ocupados, densidad comercial, tasa de ocupación y variación respecto del relevamiento previo e interanual por eje comercial. 48 ejes comerciales. Ciudad de Buenos Aires. 1er. cuatrimestre de 2025",,,,,,
Eje,Locales Relevados,Locales Ocupados,Tasa de ocupación       (%),Variación interrelevamiento (p.p.),Variación interanual           (p.p.),Densidad comercial (relevados por frente)
Total,12936,11843,91.55071119356833,.,.,13.850107066381156
Alberdi,117,108,92.3076923076923,.,.,11.7
Almagro,198,189,95.45454545454545,.,.,14.142857142857142
Av. Belgrano,207,194,93.71980676328504,.,.,10.35
Av. Patricios,147,128,87.07482993197279,.,.,10.5
Av. San Martín,224,192,85.71428571428571,.,.,11.2
Avellaneda,1081,1025,94.81961147086031,.,.,23.5
Boedo,229,213,93.01310043668121,.,.,14.3125
Caballito,365,354,96.98630136986301,.,.,13.035714285714286
Cabildo,681,651,95.59471365638767,.,.,14.804347826086957
Chacarita,136,127,93.38235294117648,.,.,9.714285714285714
Chilavert,309,281,90.93851132686083,.,.,14.045454545454545
Colegiales,238,218,91.59663865546219,.,.,11.9
Constitución,138,122,88.40579710144928,.,.,11.5
Córdoba Facultad,96,90,93.75,.,.,9.6
Córdoba Tribunales,137,117,85.40145985401459,.,.,11.416666666666666
Córdoba y Scalabrini Ortiz,191,166,86.91099476439791,.,.,13.642857142857142
Corrientes y Callao,170,158,92.94117647058823,.,.,12.142857142857142
Corrientes y Medrano,339,315,92.92035398230088,.,.,14.125
Corrientes y Pueyrredón,303,292,96.36963696369637,.,.,18.9375
Corrientes y Scalabrini Ortiz,342,307,89.76608187134502,.,.,15.545454545454545
Cuenca,277,259,93.50180505415162,.,.,17.3125
Defensa,190,156,82.10526315789474,.,.,13.571428571428571
Devoto,319,287,89.96865203761756,.,.,15.95
Entre Ríos,308,280,90.9090909090909,.,.,15.4
Flores,525,488,92.95238095238095,.,.,15.441176470588236
Flores Sur,121,108,89.25619834710744,.,.,20.166666666666668
Florida,310,279,90,.,.,15.5
Lavalle,328,274,83.53658536585365,.,.,13.666666666666666
Libertad,230,197,85.65217391304348,.,.,23
Liniers,181,168,92.81767955801105,.,.,18.1
Mataderos,222,208,93.69369369369369,.,.,13.875
Monserrat,139,125,89.92805755395683,.,.,9.928571428571429
Monte Castro,335,308,91.94029850746269,.,.,18.61111111111111
Montes de Oca,156,143,91.66666666666666,.,.,11.142857142857142
Once,512,480,93.75,.,.,15.058823529411764
Palermo Soho,337,299,88.72403560830861,.,.,10.53125
Parque Avellaneda,154,116,75.32467532467533,.,.,12.833333333333334
Parque Patricios,205,180,87.8048780487805,.,.,14.642857142857142
Puerto Madero,88,76,86.36363636363636,.,.,2.2
Recoleta,95,88,92.63157894736842,.,.,5.9375
Riestra,202,173,85.64356435643565,.,.,14.428571428571429
Sáenz,214,190,88.78504672897196,.,.,17.833333333333332
Santa Fe y Callao,419,400,95.4653937947494,.,.,14.964285714285714
Santa Fe y Coronel Díaz,292,277,94.86301369863014,.,.,18.25
Santa Fe y Scalabrini Ortiz,152,142,93.42105263157895,.,.,10.857142857142858
Triunvirato,561,524,93.40463458110517,.,.,16.5
Villa Crespo,162,144,88.88888888888889,.,.,11.571428571428571
Warnes,254,227,89.37007874015748,.,.,10.583333333333334
. Dato no registrado,,,,,,
"Fuente: Instituto de Estadística y Censos de la Ciudad Autónoma de Buenos Aires (Jefatura de Gabinete de Ministros - GCBA), datos provisorios. ",,,,,,
