"Locales relevados, ocupados, densidad comercial, tasa de ocupación y variación respecto del relevamiento previo e interanual por eje comercial. 48 ejes comerciales. Ciudad de Buenos Aires. 2do. cuatrimestre de 2025",,,,,,
Eje,Locales Relevados,Locales Ocupados,Tasa de ocupación       (%),Variación interrelevamiento (p.p.),Variación interanual           (p.p.),Densidad comercial (relevados por frente)
Total,12919,11819,91.48540908739066,-0.0653021061776684,.,13.831905781584583
Alberdi,117,108,92.3076923076923,0,.,11.7
Almagro,199,181,90.95477386934674,-4.499771585198715,.,14.214285714285714
Av. Belgrano,208,196,94.23076923076923,0.510962467484191,.,10.4
Av. Patricios,148,129,87.16216216216216,0.08733223018937508,.,10.571428571428571
Av. San Martín,224,192,85.71428571428571,0,.,11.2
Avellaneda,1070,1028,96.07476635514018,1.2551548842798752,.,23.26086956521739
Boedo,229,215,93.88646288209607,0.8733624454148554,.,14.3125
Caballito,365,354,96.98630136986301,0,.,13.035714285714286
Cabildo,682,646,94.72140762463343,-0.8733060317542396,.,14.826086956521738
Chacarita,136,126,92.64705882352942,-0.735294117647058,.,9.714285714285714
Chilavert,310,277,89.35483870967742,-1.5836726171834101,.,14.090909090909092
Colegiales,238,217,91.17647058823529,-0.42016806722689637,.,11.9
Constitución,139,128,92.08633093525181,3.680533833802528,.,11.583333333333334
Córdoba Facultad,96,88,91.66666666666666,-2.083333333333343,.,9.6
Córdoba Tribunales,136,120,88.23529411764706,2.8338342636324683,.,11.333333333333334
Córdoba y Scalabrini Ortiz,192,162,84.375,-2.5359947643979126,.,13.714285714285714
Corrientes y Callao,170,157,92.3529411764706,-0.5882352941176379,.,12.142857142857142
Corrientes y Medrano,340,319,93.82352941176471,0.903175429463829,.,14.166666666666666
Corrientes y Pueyrredón,304,293,96.38157894736842,0.011941983672059564,.,19
Corrientes y Scalabrini Ortiz,339,299,88.20058997050147,-1.5654919008435542,.,15.409090909090908
Cuenca,275,259,94.18181818181817,0.6800131276665553,.,17.1875
Defensa,191,158,82.72251308900523,0.6172499311104929,.,13.642857142857142
Devoto,318,285,89.62264150943396,-0.3460105281835979,.,15.9
Entre Ríos,310,280,90.32258064516128,-0.5865102639296254,.,15.5
Flores,519,483,93.0635838150289,0.11120286264795709,.,15.264705882352942
Flores Sur,121,107,88.42975206611571,-0.8264462809917319,.,20.166666666666668
Florida,310,282,90.96774193548387,0.9677419354838719,.,15.5
Lavalle,334,287,85.92814371257485,2.3915583467211974,.,13.916666666666666
Libertad,230,203,88.26086956521739,2.608695652173907,.,23
Liniers,181,167,92.26519337016575,-0.5524861878453038,.,18.1
Mataderos,222,210,94.5945945945946,0.9009009009009077,.,13.875
Monserrat,140,123,87.85714285714286,-2.070914696813972,.,10
Monte Castro,335,302,90.14925373134328,-1.7910447761194064,.,18.61111111111111
Montes de Oca,153,141,92.15686274509804,0.49019607843138147,.,10.928571428571429
Once,512,481,93.9453125,0.1953125,.,15.058823529411764
Palermo Soho,334,294,88.02395209580838,-0.7000835125002283,.,10.4375
Parque Avellaneda,154,114,74.02597402597402,-1.2987012987013031,.,12.833333333333334
Parque Patricios,205,182,88.78048780487805,0.9756097560975547,.,14.642857142857142
Puerto Madero,89,81,91.01123595505618,4.647599591419819,.,2.225
Recoleta,95,85,89.47368421052632,-3.1578947368421098,.,5.9375
Riestra,202,169,83.66336633663366,-1.980198019801989,.,14.428571428571429
Sáenz,212,188,88.67924528301887,-0.10580144595309093,.,17.666666666666668
Santa Fe y Callao,417,391,93.76498800959233,-1.7004057851570735,.,14.892857142857142
Santa Fe y Coronel Díaz,291,278,95.53264604810997,0.6696323494798264,.,18.1875
Santa Fe y Scalabrini Ortiz,152,145,95.39473684210526,1.973684210526315,.,10.857142857142858
Triunvirato,560,523,93.39285714285714,-0.011777438248032013,.,16.470588235294116
Villa Crespo,161,142,88.19875776397515,-0.6901311249137336,.,11.5
Warnes,254,224,88.18897637795276,-1.1811023622047259,.,10.583333333333334
. Dato no registrado,,,,,,
"Fuente: Instituto de Estadística y Censos de la Ciudad Autónoma de Buenos Aires (Jefatura de Gabinete de Ministros - GCBA), datos provisorios. ",,,,,,
