Ejes Comerciales. Calle y altura. 48 ejes comerciales. Ciudad de Buenos Aires. Año 2025,,,
Eje,,Calle,Altura
1,Alberdi,Alberdi,3601-4099
2,Almagro,Av. Rivadavia,3401-4099
3,Av. Belgrano,Av. Belgrano,1801-2799
4,Av. Patricios,Av. Reg. de los Patricios,301-999
5,Av. San Martín,Av. San Martín,1801-2799
6,Avellaneda,Avellaneda,2701-3799
,,Bogotá,2901-3499
,,Aranguren,2901-3499
7,Boedo,Av. Boedo,701-1099
,,Av. San Juan,3501-3699
,,Independencia,3501-3699
8,Caballito,Acoyte,1-199
,,Av. Rivadavia,4401-5499
,,José Maria Moreno,1-99
9,Cabildo,Av. Cabildo ,1501-3799
10,Chacarita,Lacroze,3501-4199
11,Chilavert,Chilavert,6101-6999
,,Guaminí,4801-4999
12,Colegiales,Av. Cabildo ,501-899
,,Lacroze,2301-2899
13,Constitución,Brasil,1101-1299
,,Lima,1601-1799
,,Salta,1601-1799
14,Córdoba Facultad,Av. Córdoba,2201-2699
15,Córdoba Tribunales,Av. Córdoba,1301-1899
16,Córdoba y Scalabrini Ortiz,Av. Córdoba,4301-4999
17,Corrientes y Callao,Av. Corrientes,1101-1799
18,Corrientes y Medrano,Av. Corrientes,3601-4799
19,Corrientes y Pueyrredón,Av. Corrientes,2101-2899
20,Corrientes y Scalabrini Ortiz,Av. Corrientes,5201-5699
,,Scalabrini Ortiz,201-799
21,Cuenca,Av. Cuenca,2701-3499
22,Defensa,Defensa,801-1499
23,Devoto,Lope de Vega,2801-3499
,,Francisco Beiró,5201-5499
24,Entre Ríos,Av. Entre Ríos,201-1199
25,Flores,Av. Rivadavia,6201-7399
,,Av. Nazca,1-499
26,Flores Sur,Varela,1101-1399
27,Florida,Florida,1-999
28,Lavalle,Corrientes,501-999
,,Lavalle,501-999
,,Esmeralda,401-599
29,Libertad,Libertad,1-499
30,Liniers,Ramón Falcón,6801-7299
31,Mataderos,Av. Alberdi,5501-6299
32,Monserrat,Av. Belgrano,1101-1799
33,Monte Castro,Álvarez Jonte,4501-5399
34,Montes de Oca,Montes de Oca,501-1199
35,Once,Av. Rivadavia,2101-3199
,,Pueyrredón ,1-599
36,Palermo Soho,El Salvador,4601-4799
,,Honduras,4701-4999
,,Serrano / Borges,1501-1799
,,Gurruchaga,1601-1899
,,Armenia,1501-1799
,,Malabia,1601-1799
37,Parque Avellaneda,Av. Alberdi,4301-4899
38,Parque Patricios,Av. Caseros ,2601-2999
,,La Rioja,1901-2199
39,Puerto Madero,A. M. De Justo,101-2099
40,Recoleta,Av. Alvear,1801-1999
,,Junín ,1701-1799
,,Ortiz,1801-1899
,,Quintana ,401-599
,,Vicente López ,2001-2199
41,Riestra,Murguiondo,4001-4399
,,Riestra,5501-5799
42,Sáenz,Sáenz,801-1399
43,Santa Fe y Callao,Av. Santa Fe,1101-2499
44,Santa Fe y Coronel Díaz,Av. Santa Fe,2501-3299
45,Santa Fe y Scalabrini Ortiz,Av. Santa Fe,3301-3699
,,Scalabrini Ortiz,2301-2599
46,Triunvirato,Av. Triunvirato,3601-4699
,,Monroe,4801-5399
47,Villa Crespo,Aguirre,701-899
,,Gurruchaga,701-999
,,Loyola,601-799
48,Warnes,Dorrego,1-299
,,Warnes ,701-1599
Fuente: Instituto de Estadística y Censos de la Ciudad Autónoma de Buenos Aires (Jefatura de Gabinete de Ministros - GCBA).,,,
