eje,locales_relevados,locales_ocupados,tasa_de_ocupación,variación_interrelevamiento,variación_interanual,densidad_comercial
Total,12896.0,11605.0,89.98914392059554,-1.3505986751557515,-1.5615672729727947,13.807280513918629
Alberdi,117.0,112.0,95.72649572649573,2.564102564102569,3.418803418803421,11.7
Almagro,199.0,188.0,94.47236180904522,1.005025125628137,-0.9821836455002284,14.214285714285714
Av. Belgrano,211.0,191.0,90.52132701421802,-2.301639492959012,-3.198479749067019,10.55
Av. Patricios,144.0,127.0,88.19444444444444,1.1196145124716566,1.1196145124716566,10.285714285714286
Av. San Martín,225.0,200.0,88.88888888888889,2.2817460317460245,3.1746031746031775,11.25
Avellaneda,1073.0,1015.0,94.5945945945946,-1.7502976265862884,-0.22501687626571254,23.32608695652174
Boedo,227.0,207.0,91.18942731277532,-2.6970355693207466,-1.8236731239058912,14.1875
Caballito,366.0,354.0,96.72131147540983,-0.2732240437158424,-0.2649898944531799,13.071428571428571
Cabildo,679.0,623.0,91.75257731958763,-1.7958097771865624,-3.8421363368000385,14.76086956521739
Chacarita,134.0,123.0,91.7910447761194,-0.12071992976294155,-1.5913081650570717,9.571428571428571
Chilavert,306.0,271.0,88.56209150326796,-1.6659215260479954,-2.376419823592869,13.909090909090908
Colegiales,239.0,218.0,91.21338912133892,0.0,-0.3832495341232658,11.95
Constitución,139.0,125.0,89.92805755395683,-0.786228160328875,1.5222604525075525,11.583333333333334
Córdoba Facultad,98.0,84.0,85.71428571428571,-5.864661654135347,-8.035714285714292,9.8
Córdoba Tribunales,136.0,122.0,89.70588235294117,0.8169934640522882,4.304422498926584,11.333333333333334
Córdoba y Scalabrini Ortiz,192.0,158.0,82.29166666666666,-2.5250872600349084,-4.619328097731255,13.714285714285714
Corrientes y Callao,168.0,158.0,94.04761904761905,4.047619047619051,1.106442577030819,12.0
Corrientes y Medrano,339.0,306.0,90.2654867256637,-3.8521603331598158,-2.654867256637175,14.125
Corrientes y Pueyrredón,299.0,290.0,96.98996655518395,2.0066889632107063,0.6203295914875895,18.6875
Corrientes y Scalabrini Ortiz,338.0,296.0,87.57396449704143,-1.4468070163116806,-2.192117374303592,15.363636363636363
Cuenca,274.0,258.0,94.16058394160584,1.0948905109489004,0.6587788874542184,17.125
Defensa,191.0,162.0,84.81675392670157,3.1413612565444993,2.7114907688068257,13.642857142857142
Devoto,320.0,282.0,88.125,0.03722570532914915,-1.8436520376175594,16.0
Entre Ríos,311.0,281.0,90.35369774919614,-0.6140441862877282,-0.5553931598947628,15.55
Flores,518.0,469.0,90.54054054054053,-3.317424910515129,-2.4118404118404158,15.235294117647058
Flores Sur,121.0,112.0,92.56198347107438,0.0,3.305785123966942,20.166666666666668
Florida,310.0,269.0,86.7741935483871,-2.5806451612903203,-3.225806451612897,15.5
Lavalle,340.0,273.0,80.29411764705883,-5.504698920988517,-3.2424677187948276,14.166666666666666
Libertad,228.0,201.0,88.1578947368421,-0.9725400457665927,2.5057208237986117,22.8
Liniers,182.0,169.0,92.85714285714286,1.144435674822418,0.03946329913181046,18.2
Mataderos,221.0,204.0,92.3076923076923,0.0,-1.3860013860013822,13.8125
Monserrat,139.0,123.0,88.48920863309353,1.346351490236387,-1.4388489208633075,9.928571428571429
Monte Castro,335.0,291.0,86.86567164179104,-2.6865671641791096,-5.074626865671647,18.61111111111111
Montes de Oca,146.0,131.0,89.72602739726028,-1.0634462869502528,-1.9406392694063754,10.428571428571429
Once,511.0,471.0,92.17221135029354,-2.729749434020178,-1.5777886497064628,15.029411764705882
Palermo Soho,331.0,289.0,87.31117824773413,-0.6042296072507582,-1.4128573605744776,10.34375
Parque Avellaneda,153.0,119.0,77.77777777777779,-0.28673835125447056,2.45310245310246,12.75
Parque Patricios,204.0,182.0,89.2156862745098,-0.9803921568627487,1.410808225729312,14.571428571428571
Puerto Madero,89.0,78.0,87.64044943820225,-2.3595505617977466,1.2768130745658937,2.225
Recoleta,95.0,85.0,89.47368421052632,1.05263157894737,-3.1578947368421098,5.9375
Riestra,201.0,171.0,85.07462686567165,-0.4975124378109399,-0.5689374907640001,14.357142857142858
Sáenz,212.0,185.0,87.26415094339622,-0.9433962264151035,-1.5208957855757461,17.666666666666668
Santa Fe y Callao,416.0,369.0,88.70192307692307,-2.8643419833178996,-6.763470717826337,14.857142857142858
Santa Fe y Coronel Díaz,291.0,272.0,93.47079037800687,-1.3745704467353903,-1.3922233206232733,18.1875
Santa Fe y Scalabrini Ortiz,154.0,138.0,89.6103896103896,-3.152768284347246,-3.8106630211893417,11.0
Triunvirato,559.0,515.0,92.12880143112702,-0.014055711730122766,-1.2758331499781548,16.441176470588236
Villa Crespo,163.0,130.0,79.75460122699386,-10.92862858667074,-9.13428766189503,11.642857142857142
Warnes,252.0,208.0,82.53968253968253,-6.215337540638757,-6.830396200474951,10.5
