rid,zona,metodo,naturaleza,relevado,dir_nucleo,dir_ampliado,habilit,f01,captura_%
R01,Palermo,sin conteo,no_localizada,,406,417,2510,200,
R02,Avenida Corrientes,sin conteo,no_localizada,,132,134,762,88,
R03,San Telmo,sin conteo,no_localizada,,18,18,91,18,
R04,Puerto Madero,sin conteo,no_localizada,,62,64,652,72,
R05,Belgrano,relevamiento anterior,historica_metodologica,697.0,100,105,1096,21,14.3
R06,Recoleta,sin conteo,historica_metodologica,,198,209,1353,146,
R07,Costanera Norte,relevamiento anterior,historica_metodologica,72.0,3,3,13,2,4.2
R08,Villa Crespo,relevamiento propio,exacta,646.0,233,260,1093,49,36.1
R09,Chacarita,relevamiento propio,exacta,327.0,55,64,263,15,16.8
R10,Caballito,relevamiento propio,exacta,907.0,177,196,650,68,19.5
R11,Boulevard Caseros,relevamiento propio,exacta,66.0,5,8,19,6,7.6
R12,Centro/Microcentro segmentado,minimo relevado,cota_inferior,797.0,327,342,3457,244,41.0
R13,Abasto,minimo relevado,cota_inferior,314.0,180,193,760,7,57.3
R14,Avenida Boedo,directorio comercial,exacta,79.0,74,84,324,9,93.7
R15,Devoto,directorio comercial,exacta,119.0,139,147,601,24,116.8
R16,Donado–Holmberg,directorio comercial,exacta,40.0,32,35,129,5,80.0
R17,Villa Urquiza,directorio comercial,exacta,189.0,173,192,780,17,91.5
R18,Esmeralda–Paraguay,minimo relevado,cota_inferior,216.0,30,31,1464,40,13.9
R19,Federico Lacroze por tramos,minimo relevado,cota_inferior,211.0,54,57,166,16,25.6
R20,García del Río,minimo relevado,cota_inferior,40.0,16,16,42,4,40.0
R21,La Paternal,minimo relevado,cota_inferior,254.0,41,55,130,9,16.1
R22,Villa Pueyrredón,minimo relevado,cota_inferior,158.0,48,52,201,10,30.4
