lote,registros_crudos,pares_distintos,pct_registros_repetidos,pares_en_varias_direcciones_pct,max_direcciones_por_par
L01,2527.0,78.0,96.9,71.8,10.0
L02,5249.0,27.0,99.5,100.0,15.0
L03,1926.0,60.0,96.9,81.7,8.0
L04,988.0,60.0,93.9,95.0,4.0
L05,2491.0,26.0,99.0,100.0,7.0
L06,522.0,8.0,98.5,87.5,4.0
L07,288.0,6.0,97.9,100.0,2.0
L08,280.0,4.0,98.6,100.0,2.0
L09,390.0,7.0,98.2,100.0,3.0
L10,1436.0,27.0,98.1,100.0,4.0
L11,1176.0,57.0,95.2,89.5,3.0
L12,1140.0,51.0,95.5,90.2,3.0
L13,200.0,4.0,98.0,100.0,2.0
L14,192.0,4.0,97.9,100.0,2.0
L15,189.0,3.0,98.4,100.0,3.0
L16,800.0,51.0,93.6,100.0,2.0
L17,378.0,11.0,97.1,100.0,6.0
L18,178.0,17.0,90.4,41.2,2.0
L19,160.0,4.0,97.5,100.0,2.0
L20,154.0,7.0,95.5,100.0,2.0
L21,360.0,5.0,98.6,100.0,2.0
L22,140.0,5.0,96.4,100.0,2.0
L23,132.0,2.0,98.5,100.0,2.0
L24,128.0,4.0,96.9,100.0,2.0
L25,160.0,5.0,96.9,100.0,2.0
L26,128.0,8.0,93.8,100.0,2.0
L27,256.0,8.0,96.9,100.0,2.0
L28,126.0,3.0,97.6,100.0,3.0
L29,120.0,5.0,95.8,100.0,2.0
L30,110.0,6.0,94.5,100.0,2.0
L31,216.0,6.0,97.2,100.0,2.0
L32,100.0,10.0,90.0,100.0,2.0
L33,96.0,8.0,91.7,100.0,2.0
L34,78.0,3.0,96.2,100.0,2.0
L35,88.0,4.0,95.5,100.0,2.0
L36,96.0,6.0,93.8,100.0,2.0
L37,60.0,10.0,83.3,100.0,2.0
L38,96.0,8.0,91.7,100.0,2.0
L39,126.0,11.0,91.3,100.0,2.0
L40,60.0,10.0,83.3,100.0,2.0
L41,72.0,3.0,95.8,100.0,2.0
L42,120.0,5.0,95.8,100.0,2.0
L43,72.0,6.0,91.7,100.0,2.0
L44,48.0,4.0,91.7,100.0,2.0
L45,42.0,1.0,97.6,100.0,2.0
