parte_cercana,d_cercana_m,parte_segunda,d_segunda_m,angulo_grados,entre_dos_partes,par,local_id,barrio,adentro_del_envolvente,tam_componente
S1,164.2,S2,803.6,10.3,False,S1–S2,LOC000043,Palermo,False,35
S1,176.5,S2,859.9,14.3,False,S1–S2,LOC000461,Palermo,False,35
S1,83.4,S2,718.8,24.5,False,S1–S2,LOC001441,Palermo,False,35
S1,55.8,S2,683.0,43.7,False,S1–S2,LOC002561,Palermo,False,35
S1,222.0,S2,908.9,8.7,False,S1–S2,LOC002877,Palermo,False,35
S1,96.6,S2,735.0,17.9,False,S1–S2,LOC005148,Palermo,False,35
S1,109.0,S2,734.9,30.9,False,S1–S2,LOC005165,Palermo,False,35
S1,193.2,S2,835.3,3.7,False,S1–S2,LOC005907,Palermo,False,35
S1,71.9,S2,755.6,23.6,False,S1–S2,LOC006019,Palermo,False,35
S1,58.0,S2,683.3,62.0,False,S1–S2,LOC006132,Palermo,False,35
S1,70.6,S2,749.7,31.3,False,S1–S2,LOC006514,Palermo,False,35
S1,200.2,S2,842.6,2.7,False,S1–S2,LOC006828,Palermo,False,35
S1,105.6,S2,773.3,35.8,False,S1–S2,LOC007047,Palermo,False,35
S1,138.1,S2,822.7,15.1,False,S1–S2,LOC007368,Palermo,False,35
S1,103.1,S2,747.8,52.7,False,S1–S2,LOC008325,Palermo,False,35
S1,95.8,S2,717.9,62.6,False,S1–S2,LOC009047,Palermo,False,35
S1,123.3,S2,765.9,2.1,False,S1–S2,LOC010041,Palermo,False,35
S1,216.2,S2,903.4,8.5,False,S1–S2,LOC010042,Palermo,False,35
S1,60.2,S2,676.3,70.0,False,S1–S2,LOC011041,Palermo,False,35
S1,101.1,S2,740.0,16.7,False,S1–S2,LOC015565,Palermo,False,35
S1,164.2,S2,800.8,15.3,False,S1–S2,LOC015566,Palermo,False,35
S1,112.8,S2,739.5,29.6,False,S1–S2,LOC015567,Palermo,False,35
S1,72.5,S2,700.3,70.3,False,S1–S2,LOC015568,Palermo,False,35
S1,132.4,S2,778.6,44.5,False,S1–S2,LOC020075,Palermo,False,35
S1,107.4,S2,744.6,18.8,False,S1–S2,LOC020076,Palermo,False,35
S1,73.3,S2,710.6,23.0,False,S1–S2,LOC020077,Palermo,False,35
S1,213.6,S2,899.7,10.0,False,S1–S2,LOC020086,Palermo,False,35
S1,60.4,S2,674.4,57.2,False,S1–S2,LOC020098,Palermo,False,35
S1,93.8,S2,749.4,48.1,False,S1–S2,LOC020099,Palermo,False,35
S1,100.9,S2,762.1,41.9,False,S1–S2,LOC020100,Palermo,False,35
S1,120.1,S2,796.4,25.8,False,S1–S2,LOC020101,Palermo,False,35
S1,92.1,S2,757.9,40.4,False,S1–S2,LOC020102,Palermo,False,35
S1,87.4,S2,777.6,3.2,False,S1–S2,LOC020103,Palermo,False,35
