,aporte_otras_fuentes,cobertura,rus_gastro,anio_relevamiento,pct_padron,locales_nucleo,requests,celdas,univ_est,flojo_aporte,flojo_padron,seleccionado
PUERTO MADERO,6.447,7.447,38,2024,21.661,277,21,21,214,False,True,False
VERSALLES,3.16,4.16,25,2022,30.952,84,6,6,104,False,False,False
RETIRO,1.91,2.91,223,2024,28.525,610,48,24,956,False,False,False
BELGRANO,1.9,2.9,542,2023,22.522,1372,94,47,1846,False,True,False
VILLA SOLDATI,1.8,2.8,55,2024,12.264,106,35,35,60,False,True,False
SAAVEDRA,1.776,2.776,143,2023,26.316,342,23,23,423,False,False,False
RECOLETA,1.752,2.752,636,2024,31.596,1573,118,59,2357,False,False,False
MONSERRAT,1.738,2.738,363,2024,31.203,923,80,40,1571,False,False,False
COGHLAN,1.733,2.733,45,2023,24.074,108,12,6,143,False,True,False
NUNEZ,1.717,2.717,205,2023,23.848,499,36,18,665,False,True,False
SAN NICOLAS,1.7,2.7,524,2024,34.65,1316,120,60,2379,False,False,False
BARRACAS,1.657,2.657,181,2024,28.329,413,32,32,566,False,False,False
LINIERS,1.645,2.645,200,2023,24.385,447,36,18,626,False,True,False
VILLA LUGANO,1.592,2.592,120,2024,20.455,264,38,38,280,False,True,False
BALVANERA,1.591,2.591,548,2024,36.659,1263,130,65,2571,False,False,False
VELEZ SARSFIELD,1.584,2.584,89,2022,30.899,178,20,10,330,False,False,False
CHACARITA,1.582,2.582,153,2023,24.294,354,26,13,456,False,True,False
SAN TELMO,1.53,2.53,183,2024,24.769,432,32,16,615,False,False,False
PALERMO,1.526,2.526,1446,2024,25.296,3376,256,128,5099,False,False,False
PARQUE AVELLANEDA,1.522,2.522,92,2023,30.857,175,19,19,275,False,False,False
CONSTITUCION,1.506,2.506,158,2024,32.286,350,30,15,599,False,False,False
VILLA URQUIZA,1.484,2.484,312,2023,30.982,652,58,29,1132,False,False,False
VILLA REAL,1.481,2.481,54,2022,27.434,113,12,6,209,False,False,False
NUEVA POMPEYA,1.474,2.474,133,2024,22.015,268,20,20,286,False,True,False
AGRONOMIA,1.455,2.455,44,2022,25.843,89,9,9,115,False,False,False
PARQUE CHACABUCO,1.455,2.455,143,2024,24.561,285,32,16,396,False,True,False
VILLA DEVOTO,1.444,2.452,248,2022,25.787,508,52,26,857,False,False,False
LA BOCA,1.448,2.448,143,2024,25.253,297,21,21,302,False,False,False
MATADEROS,1.446,2.446,193,2023,26.842,380,30,30,505,False,False,False
PARQUE CHAS,1.423,2.423,52,2022,22.222,99,12,6,132,False,True,False
COLEGIALES,1.395,2.395,205,2023,29.663,445,40,20,764,False,False,False
BOEDO,1.393,2.393,163,2023,29.467,319,28,14,544,False,False,False
CABALLITO,1.39,2.39,593,2023,30.231,1214,102,51,2016,True,False,False
VILLA CRESPO,1.387,2.387,411,2023,26.174,852,66,33,1297,True,False,False
FLORESTA,1.365,2.365,137,2023,25.704,284,24,12,445,True,False,False
VILLA GRAL. MITRE,1.364,2.364,107,2022,23.558,208,18,9,302,True,True,True
VILLA SANTA RITA,1.361,2.361,97,2022,26.882,186,18,9,286,True,False,False
ALMAGRO,1.319,2.319,442,2023,30.114,880,84,42,1659,True,False,False
VILLA LURO,1.318,2.318,107,2022,21.739,207,22,11,231,True,True,True
VILLA ORTUZAR,1.317,2.317,101,2023,30.049,203,16,8,308,True,False,False
SAN CRISTOBAL,1.306,2.306,134,2024,23.2,250,18,9,330,True,True,True
PARQUE PATRICIOS,1.302,2.302,139,2023,34.409,279,30,15,478,True,False,False
VILLA PUEYRREDON,1.302,2.302,116,2023,26.201,229,28,14,352,True,False,False
PATERNAL,1.299,2.299,67,2023,19.841,126,9,9,170,True,True,True
FLORES,1.285,2.285,410,2024,31.034,783,70,35,1363,True,False,False
VILLA DEL PARQUE,1.17,2.17,188,2022,23.145,337,30,15,588,True,True,True
MONTE CASTRO,1.155,2.155,116,2022,29.557,203,22,11,357,True,False,False
VILLA RIACHUELO,1.016,2.016,64,2024,25.225,111,17,17,137,True,False,False
