zona,eje_pdf,tasa_ocupacion_pct_pdf,var_interanual_pp_pdf,que_es_en_el_atlas,clave,eje_xlsx,locales_relevados,locales_ocupados,cuadras,densidad_comercial_por_cuadra,tasa_ocupacion_pct_xlsx,var_interrelevamiento_pp,var_interanual_pp_xlsx,d_tasa,d_var
Centro,Av. Belgrano,92.7,-0.4,,AV BELGRANO,Av. Belgrano,211,191,20.0,10.55,90.5,-2.3,-3.2,2.2,2.8
Centro,Cordoba Facultad,93.6,-1.3,,CORDOBA FACULTAD,Córdoba Facultad,98,84,10.0,9.8,85.7,-5.9,-8.0,7.9,6.7
Centro,Cordoba Tribunales,91.7,4.6,,CORDOBA TRIBUNALES,Córdoba Tribunales,136,122,12.0,11.33,89.7,0.8,4.3,2.0,0.3
Centro,Corrientes y Callao,89.9,-1.8,,CORRIENTES Y CALLAO,Corrientes y Callao,168,158,14.0,12.0,94.0,4.0,1.1,-4.1,-2.9
Centro,Corrientes y Pueyrredon,91.7,-1.8,,CORRIENTES Y PUEYRREDON,Corrientes y Pueyrredón,299,290,16.0,18.69,97.0,2.0,0.6,-5.3,-2.4
Centro,Entre Rios,89.2,0.9,,ENTRE RIOS,Entre Ríos,311,281,20.0,15.55,90.4,-0.6,-0.6,-1.2,1.5
Centro,Florida,89.3,-1.9,R12 Centro · Plaza Bar (Florida 1005) cerrado hace 9 anos,FLORIDA,Florida,310,269,20.0,15.5,86.8,-2.6,-3.2,2.5,1.3
Centro,Libertad,89.1,1.7,~5 locales vacios por cuadra,LIBERTAD,Libertad,228,201,10.0,22.8,88.2,-1.0,2.5,0.9,-0.8
Centro,Monserrat,87.7,-2.0,Z47 · 9 Notables segun el catalogo,MONSERRAT,Monserrat,139,123,14.0,9.93,88.5,1.3,-1.4,-0.8,-0.6
Centro,Once,95.0,1.1,enclave judio · la mas alta del Centro,ONCE,Once,511,471,34.0,15.03,92.2,-2.7,-1.6,2.8,2.7
Centro,Puerto Madero,90.0,3.6,referencia publicada · sube,PUERTO MADERO,Puerto Madero,89,78,40.0,2.23,87.6,-2.4,1.3,2.4,2.3
Centro,Santa Fe y Callao,91.8,-3.0,,SANTA FE Y CALLAO,Santa Fe y Callao,416,369,28.0,14.86,88.7,-2.9,-6.8,3.1,3.8
Norte,Cabildo,93.5,-0.3,entorno de R20,CABILDO,Cabildo,679,623,46.0,14.76,91.8,-1.8,-3.8,1.7,3.5
Norte,Chacarita,89.1,-0.3,R09 · fusionado en Chacagiales,CHACARITA,Chacarita,134,123,14.0,9.57,91.8,-0.1,-1.6,-2.7,1.3
Norte,Colegiales,92.5,0.0,Z43,COLEGIALES,Colegiales,239,218,20.0,11.95,91.2,0.0,-0.4,1.3,0.4
Norte,Cordoba y Scalabrini Ortiz,84.7,-2.4,,CORDOBA Y SCALABRINI ORTIZ,Córdoba y Scalabrini Ortiz,192,158,14.0,13.71,82.3,-2.5,-4.6,2.4,2.2
Norte,Palermo Soho,85.5,-5.5,subzona · SEGUNDA MAYOR CAIDA DE LOS 53,PALERMO SOHO,Palermo Soho,331,289,32.0,10.34,87.3,-0.6,-1.4,-1.8,-4.1
Norte,Recoleta,88.8,-2.0,referencia publicada,RECOLETA,Recoleta,95,85,16.0,5.94,89.5,1.1,-3.2,-0.7,1.2
Norte,Santa Fe y Coronel Diaz,94.9,-2.1,,SANTA FE Y CORONEL DIAZ,Santa Fe y Coronel Díaz,291,272,16.0,18.19,93.5,-1.4,-1.4,1.4,-0.7
Norte,Santa Fe y Scalabrini Ortiz,91.3,-1.0,,SANTA FE Y SCALABRINI ORTIZ,Santa Fe y Scalabrini Ortiz,154,138,14.0,11.0,89.6,-3.2,-3.8,1.7,2.8
Norte,Triunvirato,92.2,-1.1,,TRIUNVIRATO,Triunvirato,559,515,34.0,16.44,92.1,-0.0,-1.3,0.1,0.2
Oeste,Almagro,91.2,-1.5,Z37 · la unica que abre las seis vias,ALMAGRO,Almagro,199,188,14.0,14.21,94.5,1.0,-1.0,-3.3,-0.5
Oeste,Av. San Martin,86.8,-1.8,entorno de R21 La Paternal,AV SAN MARTIN,Av. San Martín,225,200,20.0,11.25,88.9,2.3,3.2,-2.1,-5.0
Oeste,Avellaneda,96.6,-1.2,LA MAS ALTA DE LOS 53,AVELLANEDA,Avellaneda,1073,1015,46.0,23.33,94.6,-1.8,-0.2,2.0,-1.0
Oeste,Caballito,95.6,-0.8,,CABALLITO,Caballito,366,354,28.0,13.07,96.7,-0.3,-0.3,-1.1,-0.5
Oeste,Corrientes y Medrano,93.4,0.1,,CORRIENTES Y MEDRANO,Corrientes y Medrano,339,306,24.0,14.12,90.3,-3.9,-2.7,3.1,2.8
