orden,eje,zona,tasa_ocupacion_pct,var_interanual_pp,densidad_comercial_por_cuadra,esta_en_el_atlas
peor ocupacion,Parque Avellaneda,Sur,77.8,2.5,12.75,parcial
peor ocupacion,Villa Crespo,Oeste,79.8,-9.1,11.64,SI
peor ocupacion,Lavalle,Centro,80.3,-3.2,14.17,NO — candidato a evaluar con las seis vias
peor ocupacion,Córdoba y Scalabrini Ortiz,Norte,82.3,-4.6,13.71,NO — candidato a evaluar con las seis vias
peor ocupacion,Warnes,Oeste,82.5,-6.8,10.5,SI — entorno de R21
mayor caida interanual,Villa Crespo,Oeste,79.8,-9.1,11.64,SI
mayor caida interanual,Córdoba Facultad,Centro,85.7,-8.0,9.8,NO — candidato a evaluar con las seis vias
mayor caida interanual,Santa Fe y Callao,Centro,88.7,-6.8,14.86,NO — candidato a evaluar con las seis vias
mayor caida interanual,Warnes,Oeste,82.5,-6.8,10.5,SI — entorno de R21
mayor caida interanual,Monte Castro,Oeste,86.9,-5.1,18.61,parcial — El Fortin
mayor suba interanual,Córdoba Tribunales,Centro,89.7,4.3,11.33,NO — candidato a evaluar con las seis vias
mayor suba interanual,Alberdi,Sur,95.7,3.4,11.7,NO — candidato a evaluar con las seis vias
mayor suba interanual,Flores Sur,Sur,92.6,3.3,20.17,"SI — Bajo Flores, enclave coreano"
mayor suba interanual,Av. San Martín,Oeste,88.9,3.2,11.25,parcial — R21
mayor suba interanual,Defensa,Sur,84.8,2.7,13.64,SI — R03 San Telmo
mayor densidad comercial,Avellaneda,Oeste,94.6,-0.2,23.33,NO — candidato a evaluar con las seis vias
mayor densidad comercial,Libertad,Centro,88.2,2.5,22.8,NO — candidato a evaluar con las seis vias
mayor densidad comercial,Flores Sur,Sur,92.6,3.3,20.17,"SI — Bajo Flores, enclave coreano"
