referencia,calle,nombre_en_la_ronda_7,metros_r7_nombre_exacto,metros_columna_barrio,metros_raiz_canonica_y_poligono,metros_ya_dentro_del_viejo,nombres_oficiales_de_la_familia
R19,FRAGA,FRAGA,1492,1492,1492,0,FRAGA
R19,DORREGO,DORREGO AV.,2498,1573,3159,0,DORREGO + DORREGO AV
R19,CHARLONE,CHARLONE,1536,1536,1536,0,CHARLONE
R19,NEWBERY JORGE,"NEWBERY, JORGE",1309,3017,3320,0,NEWBERY JORGE + NEWBERY JORGE AV
R19,Parque Los Andes,Parque Los Andes,,,6.24 ha de parque,a 649 m del poligono viejo,nombre oficial GCBA: Parque Los Andes
R21,BELAUSTEGUI LUIS DR,BELAUSTEGUI LUIS DR,890,889,890,507,BELAUSTEGUI LUIS DR
R21,ESCALADA DE SAN MARTIN R,ESCALADA DE SAN MARTIN R,866,866,866,711,ESCALADA DE SAN MARTIN R
R21,PAZ SOLDAN,PAZ SOLDAN,711,712,711,711,PAZ SOLDAN
R21,ROJAS,ROJAS,1335,1336,1335,451,ROJAS
R21,AVALOS,AVALOS,840,840,840,840,AVALOS
R21,ESPINOSA,ESPINOSA,1878,1877,1878,1619,ESPINOSA
R21,TERRERO,TERRERO,619,618,619,619,TERRERO
