polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P091,Raul Scalabrini Ortiz (25); Armenia (22); Costa Rica (22); Gorriti (20); Honduras (20); Malabia (19),Raul Scalabrini Ortiz (25); Armenia (22); Costa Rica (22); Gorriti (20); Honduras (20); Malabia (19),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P078,Fitz Roy (29); Bonpland (27); Humboldt (25); Gorriti (19); Costa Rica (19); Arevalo (19),Fitz Roy (29); Bonpland (27); Humboldt (25); Gorriti (19); Costa Rica (19); Arevalo (19),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P065,Soldado De La Independencia (18); Arce (17); Baez (17); Migueletes (14); Luis Maria Campos (14); Santa Fe (10),Soldado De La Independencia (18); Arce (17); Baez (17); Migueletes (14); Luis Maria Campos (14); Santa Fe (10),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P103,Peru (14); Defensa (14); Chacabuco (13); Bolivar (13); Carlos Calvo (13); Balcarce (13),Peru (14); Defensa (14); Chacabuco (13); Bolivar (13); Carlos Calvo (13); Balcarce (13),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P046,Olazabal (27); Triunvirato (25); Monroe (15); Congreso (7); Alvarez Thomas (6); Andonaegui (6),Olazabal (27); Triunvirato (25); Monroe (15); Congreso (7); Alvarez Thomas (6); Andonaegui (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P021,Rivadavia (26); Ramon L Falcon (8); Montiel (7); Ibarrola (6); Carhue (6); Francisco De Viedma (5),Rivadavia (26); Ramon L Falcon (8); Montiel (7); Ibarrola (6); Carhue (6); Francisco De Viedma (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P072-4,Cabildo (29); Ciudad De La Paz (19); Juramento (10); Mendoza (9); Amenabar (9); Vuelta De Obligado (6),Cabildo (29); Ciudad De La Paz (19); Juramento (10); Mendoza (9); Amenabar (9); Vuelta De Obligado (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P056,Rivadavia (24); Acoyte (12); Juan Bautista Alberdi (9); Barco Centenera (8); Rosario (7); Guayaquil (6),Rivadavia (24); Acoyte (12); Juan Bautista Alberdi (9); Barco Centenera (8); Rosario (7); Guayaquil (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P073,Cabello (18); Cervino (15); Las Heras (8); Jeronimo Salguero (7); Republica Arabe Siria (7); Ugarteche (7),Cabello (18); Cervino (15); Las Heras (8); Jeronimo Salguero (7); Republica Arabe Siria (7); Ugarteche (7),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P113,Corrientes (27); Montevideo (16); Rodriguez Pena (13); Tucuman (6); Callao (6); Sarmiento (5),Corrientes (27); Montevideo (16); Rodriguez Pena (13); Tucuman (6); Callao (6); Sarmiento (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P106,Pueyrredon (30); Santa Fe (12); Paso (7); Cordoba (7); Ecuador (6); Larrea (5),Pueyrredon (30); Santa Fe (12); Paso (7); Cordoba (7); Ecuador (6); Larrea (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P053,La Plata (19); Pedro Goyena (19); Directorio (11); Carlos Calvo (6); San Juan (5); Doblas (5),La Plata (19); Pedro Goyena (19); Directorio (11); Carlos Calvo (6); San Juan (5); Doblas (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P027,Caseros (31); Chiclana (8); La Rioja (7); Almafuerte (6); Zavaleta (4); Patagones (4),Caseros (31); Chiclana (8); La Rioja (7); Almafuerte (6); Zavaleta (4); Patagones (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P116,Sarmiento (21); Corrientes (16); Suipacha (12); Carlos Pellegrini (12); Esmeralda (11); Tucuman (7),Sarmiento (21); Corrientes (16); Suipacha (12); Carlos Pellegrini (12); Esmeralda (11); Tucuman (7),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P063,San Martin (13); Gaona (12); Angel Gallardo (11); Diaz Velez (10); Leopoldo Marechal (7); Honorio Pueyrredon (6),San Martin (13); Gaona (12); Angel Gallardo (11); Diaz Velez (10); Leopoldo Marechal (7); Honorio Pueyrredon (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P048,Elcano (19); Alvarez Thomas (11); Zapiola (7); Cap Ramon Freire (6); Capitan Ramon Freire (6); Virrey Aviles (4),Elcano (19); Capitan Ramon Freire (12); Alvarez Thomas (11); Zapiola (7); Virrey Aviles (4); Superi (4),SI,ANTES: Elcano (19); Alvarez Thomas (11); Zapiola (7); Cap Ramon Freire (6); Capitan Ramon Freire (6); Virrey Aviles (4) | DESPUES: Elcano (19); Capitan Ramon Freire (12); Alvarez Thomas (11); Zapiola (7); Virrey Aviles (4); Superi (4),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P111,De Mayo (21); Hipolito Yrigoyen (9); Rivadavia (8); Bolivar (4); Piedras (3); Peru (3),De Mayo (21); Hipolito Yrigoyen (9); Rivadavia (8); Bolivar (4); Piedras (3); Peru (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P093,Corrientes (20); Aguero (7); Jean Jaures (7); Lavalle (6); Pueyrredon (6); Sarmiento (5),Corrientes (20); Aguero (7); Jean Jaures (7); Lavalle (6); Pueyrredon (6); Sarmiento (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P043,San Martin (20); Juan B Justo (11); Donato Alvarez (6); Juan Bautista Justo (5); Camarones (4); Darwin (4),San Martin (20); Juan B Justo (11); Donato Alvarez (6); Juan Bautista Justo (5); Camarones (4); Darwin (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P082,Corrientes (16); Guardia Vieja (9); Lavalle (8); Billinghurst (7); Humahuaca (6); Medrano (5),Corrientes (16); Guardia Vieja (9); Lavalle (8); Billinghurst (7); Humahuaca (6); Medrano (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P068,Federico Lacroze (16); Jorge Newbery (13); Olleros (8); Santos Dumont (6); Alvarez Thomas (6); Cordoba (6),Federico Lacroze (16); Jorge Newbery (13); Olleros (8); Santos Dumont (6); Alvarez Thomas (6); Cordoba (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P076,Sanchez De Bustamante (9); Mario Bravo (9); Billinghurst (8); Diaz (8); Paraguay (6); Guise (6),Sanchez De Bustamante (9); Mario Bravo (9); Billinghurst (8); Diaz (8); Paraguay (6); Guise (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P045,Donado (13); De Los Incas (13); Alvarez Thomas (9); Triunvirato (9); Holmberg (6); La Pampa (3),Donado (13); De Los Incas (13); Alvarez Thomas (9); Triunvirato (9); Holmberg (6); La Pampa (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P072-6,Arribenos (10); Olazabal (6); Mendoza (4); 11 De Septiembre (3); Montaneses (2); Monroe (2),Arribenos (10); Olazabal (6); Mendoza (4); 11 De Septiembre (3); Montaneses (2); Monroe (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P037,Nogoya (11); Cuenca (9); Tinogasta (8); Nazca (8); Marcos Sastre (7); Melincue (6),Nogoya (11); Cuenca (9); Tinogasta (8); Nazca (8); Marcos Sastre (7); Melincue (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P004,Eva Peron (28); Escalada (7); San Juan (6); Castanares (5); Miralla (4); Olivera (3),Eva Peron (28); Escalada (7); San Juan (6); Castanares (5); Miralla (4); Olivera (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P118,Suipacha (12); Esmeralda (11); Marcelo T De Alvear (10); Paraguay (9); Cordoba (5); Florida (4),Suipacha (12); Esmeralda (11); Marcelo T De Alvear (10); Paraguay (9); Cordoba (5); Florida (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P117,Lavalle (15); Viamonte (13); Maipu (12); San Martin (8); Galerias Pacifico (8); Reconquista (5),Lavalle (15); Viamonte (13); Maipu (12); San Martin (8); Galerias Pacifico (8); Reconquista (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P101+P099,Rivadavia (21); Entre Rios (8); Hipolito Yrigoyen (7); Belgrano (5); Solis (5); Combate De Los Pozos (5),Rivadavia (21); Entre Rios (8); Hipolito Yrigoyen (7); Belgrano (5); Solis (5); Combate De Los Pozos (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P062,Boedo (16); Belgrano (10); Colombres (7); San Juan (6); Carlos Calvo (5); Maza (5),Boedo (16); Belgrano (10); Colombres (7); San Juan (6); Carlos Calvo (5); Maza (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P108,Belgrano (14); Jose Maria Moreno (11); Moreno (9); Balcarce (4); Julio A Roca (4); Peru (4),Belgrano (14); Jose Maria Moreno (11); Moreno (9); Balcarce (4); Julio A Roca (4); Peru (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P052,Moron (14); Felipe Vallese (6); Cuenca (5); Ruperto Godoy (4); San Nicolas (4); Campana (4),Moron (14); Felipe Vallese (6); Cuenca (5); Ruperto Godoy (4); San Nicolas (4); Campana (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P051,Salta (14); Constitucion (9); Lima (8); Juan De Garay (8); Brasil (7); O'Brien (5),Salta (14); Constitucion (9); Lima (8); Juan De Garay (8); Brasil (7); O'Brien (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P104,Billinghurst (9); Juncal (7); French (6); Alto Palermo Shopping (6); Sanchez De Bustamante (5); Diaz (4),Billinghurst (9); Juncal (7); French (6); Alto Palermo Shopping (6); Sanchez De Bustamante (5); Diaz (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P084,Rivadavia (35); Hipolito Yrigoyen (7); La Rioja (3); 24 De Noviembre (3); Medrano (2); Urquiza (2),Rivadavia (35); Hipolito Yrigoyen (7); La Rioja (3); 24 De Noviembre (3); Medrano (2); Urquiza (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P030,Olga Cossettini (16); Juana Manso (11); Pierina Dealessi (6); Boulevard Rosario Vera Penaloza (5); Aime Paine (4); Petrona Eyle (3),Olga Cossettini (16); Juana Manso (11); Pierina Dealessi (6); Boulevard Rosario Vera Penaloza (5); Aime Paine (4); Petrona Eyle (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P100,De Mayo (12); Rivadavia (7); Hipolito Yrigoyen (7); San Jose (6); Luis Saenz Pena (5); Salta (5),De Mayo (12); Rivadavia (7); Hipolito Yrigoyen (7); San Jose (6); Luis Saenz Pena (5); Salta (5),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P098,Azcuenaga (10); Vicente Lopez (10); Uriburu Jose E (4); Las Heras (4); Guido (3); Junin (3),Azcuenaga (10); Vicente Lopez (10); Uriburu Jose E (4); Las Heras (4); Guido (3); Junin (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P110,Rodriguez Pena (13); Riobamba (11); Santa Fe (8); Marcelo T De Alvear (7); Arenales (6); Juncal (4),Rodriguez Pena (13); Riobamba (11); Santa Fe (8); Marcelo T De Alvear (7); Arenales (6); Juncal (4),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P017,Emilio Castro (18); Lisandro De La Torre (7); Montiel (4); Acassuso (3); Palmar (2); Timoteo Gordillo (2),Emilio Castro (18); Lisandro De La Torre (7); Montiel (4); Acassuso (3); Palmar (2); Timoteo Gordillo (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P016,Chivilcoy (9); Nueva York (8); Mercedes (6); Fernandez De Enciso (5); Asuncion (4); Lincoln (3),Chivilcoy (9); Nueva York (8); Mercedes (6); Fernandez De Enciso (5); Asuncion (4); Lincoln (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P057,La Plata (19); Rivadavia (17); Guayaquil (5); Rosario (5); Doblas (3); Otamendi (1),La Plata (19); Rivadavia (17); Guayaquil (5); Rosario (5); Doblas (3); Otamendi (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P032,Gregorio Araoz De Lamadrid (9); Brandsen (6); Valle Iberlucea (5); Olavarria (4); Garibaldi (4); Magallanes (3),Gregorio Araoz De Lamadrid (9); Brandsen (6); Valle Iberlucea (5); Olavarria (4); Garibaldi (4); Magallanes (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P090+P089,Thames (8); Paraguay (7); Charcas (6); Jorge Luis Borges (6); Soler (6); Santa Fe (6),Thames (8); Paraguay (7); Charcas (6); Jorge Luis Borges (6); Soler (6); Santa Fe (6),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
