objeto,tipo,barrio_oficial,ha_zona,ha_capa_vieja,ha_capa_oficial,m2_zona_menos_capa_vieja,m2_zona_menos_capa_oficial,m2_capa_vieja_menos_oficial,locales_en_la_diferencia,el_atlas_sumo_algo,veredicto
Z41,zona del atlas,NUNEZ,449.86,449.86,442.64,0,74837,74837,0,no,el atlas no sumo nada: detalle_geometria es exacto. La diferencia es entre la capa vieja y la oficial
Z45,zona del atlas,BELGRANO,806.35,806.35,800.32,0,65152,65152,1,no,el atlas no sumo nada: detalle_geometria es exacto. La diferencia es entre la capa vieja y la oficial
Z46,zona del atlas,RETIRO,466.6,451.65,451.52,149485,156196,6710,117,si,el atlas sumo una pieza; el campo detalle_geometria ya la declara
RECOLETA,barrio · capa vieja contra oficial,RECOLETA,,643.64,632.06,,,126771,0,,"1550 locales en la vieja, 1550 en la oficial"
PALERMO,barrio · capa vieja contra oficial,PALERMO,,1592.98,1585.41,,,86452,2,,"3320 locales en la vieja, 3322 en la oficial · CAMBIA"
NUNEZ,barrio · capa vieja contra oficial,NUNEZ,,449.86,442.64,,,77472,0,,"494 locales en la vieja, 494 en la oficial"
BELGRANO,barrio · capa vieja contra oficial,BELGRANO,,806.35,800.32,,,70026,-1,,"1352 locales en la vieja, 1351 en la oficial · CAMBIA"
PUERTO MADERO,barrio · capa vieja contra oficial,PUERTO MADERO,,504.57,504.38,,,19220,0,,"267 locales en la vieja, 267 en la oficial"
LA BOCA,barrio · capa vieja contra oficial,LA BOCA,,504.0,503.9,,,12897,0,,"295 locales en la vieja, 295 en la oficial"
RETIRO,barrio · capa vieja contra oficial,RETIRO,,451.65,451.52,,,12047,-1,,"598 locales en la vieja, 597 en la oficial · CAMBIA"
VILLA RIACHUELO,barrio · capa vieja contra oficial,VILLA RIACHUELO,,424.16,423.47,,,9651,0,,"111 locales en la vieja, 111 en la oficial"
BARRACAS,barrio · capa vieja contra oficial,BARRACAS,,795.89,795.77,,,9404,0,,"410 locales en la vieja, 410 en la oficial"
NUEVA POMPEYA,barrio · capa vieja contra oficial,NUEVA POMPEYA,,495.55,495.41,,,8483,0,,"268 locales en la vieja, 268 en la oficial"
VILLA SOLDATI,barrio · capa vieja contra oficial,VILLA SOLDATI,,869.45,869.25,,,6978,0,,"106 locales en la vieja, 106 en la oficial"
SAAVEDRA,barrio · capa vieja contra oficial,SAAVEDRA,,554.09,554.13,,,5547,0,,"339 locales en la vieja, 339 en la oficial"
FLORES,barrio · capa vieja contra oficial,FLORES,,859.45,859.5,,,5528,0,,"773 locales en la vieja, 773 en la oficial"
VILLA URQUIZA,barrio · capa vieja contra oficial,VILLA URQUIZA,,545.13,545.16,,,5236,-1,,"645 locales en la vieja, 644 en la oficial · CAMBIA"
VILLA DEVOTO,barrio · capa vieja contra oficial,VILLA DEVOTO,,640.7,640.74,,,4569,0,,"502 locales en la vieja, 502 en la oficial"
CABALLITO,barrio · capa vieja contra oficial,CABALLITO,,685.4,685.45,,,4477,-1,,"1203 locales en la vieja, 1202 en la oficial · CAMBIA"
VILLA LUGANO,barrio · capa vieja contra oficial,VILLA LUGANO,,930.0,930.06,,,4409,0,,"263 locales en la vieja, 263 en la oficial"
MATADEROS,barrio · capa vieja contra oficial,MATADEROS,,740.11,740.16,,,3989,0,,"375 locales en la vieja, 375 en la oficial"
BALVANERA,barrio · capa vieja contra oficial,BALVANERA,,434.43,434.46,,,3661,0,,"1253 locales en la vieja, 1253 en la oficial"
VILLA DEL PARQUE,barrio · capa vieja contra oficial,VILLA DEL PARQUE,,340.1,340.12,,,3651,0,,"332 locales en la vieja, 332 en la oficial"
VILLA CRESPO,barrio · capa vieja contra oficial,VILLA CRESPO,,361.76,361.78,,,3561,0,,"840 locales en la vieja, 840 en la oficial"
PARQUE AVELLANEDA,barrio · capa vieja contra oficial,PARQUE AVELLANEDA,,473.47,473.5,,,3477,0,,"173 locales en la vieja, 173 en la oficial"
CHACARITA,barrio · capa vieja contra oficial,CHACARITA,,311.71,311.73,,,3431,0,,"349 locales en la vieja, 349 en la oficial"
PARQUE CHACABUCO,barrio · capa vieja contra oficial,PARQUE CHACABUCO,,383.38,383.41,,,3387,1,,"281 locales en la vieja, 282 en la oficial · CAMBIA"
