polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R01,Palermo,R02,Avenida Corrientes,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R02,3855092.0341,496728.0407,0.0,3855092.0341,496728.0407,0.0,0.0,0,1916,354,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R03,San Telmo,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R03,3855092.0341,253683.1163,0.0,3855092.0341,253683.1163,0.0,0.0,0,1916,71,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R04,Puerto Madero,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R04,3855092.0341,3145411.6199,0.0,3855092.0341,3145411.6199,0.0,0.0,0,1916,354,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R05,Belgrano,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R05,3855092.0341,396472.641,0.0,3855092.0341,396472.641,0.0,0.0,0,1916,343,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R06,Recoleta,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R06,3855092.0341,1405170.9038,0.0,3855092.0341,1405170.9038,0.0,0.0,0,1916,714,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R07,Costanera Norte,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R07,3855092.0341,385048.0512,0.0,3855092.0341,385048.0512,0.0,0.0,0,1916,67,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R08,Villa Crespo,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R08,3855092.0341,3354577.7039,125491.7199,3729600.3143,3229085.984,3.2552,3.7409,77,1916,823,4.0188,9.356,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R09,Chacarita,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R09,3855092.0341,948108.532,43008.4542,3812083.58,905100.0778,1.1156,4.5362,9,1916,202,0.4697,4.4554,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R10,Caballito,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R10,3855092.0341,2253614.9559,0.0,3855092.0341,2253614.9559,0.0,0.0,0,1916,508,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R11,Boulevard Caseros,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R11,3855092.0341,500285.8016,0.0,3855092.0341,500285.8016,0.0,0.0,0,1916,60,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
