polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R01,Palermo,R08,Villa Crespo,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R08,3855092.0341,3354577.7039,125491.7199,3729600.3143,3229085.984,3.2552,3.7409,77,1916,823,4.0188,9.356,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R09,Chacarita,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R09,3855092.0341,948108.532,43008.4542,3812083.58,905100.0778,1.1156,4.5362,9,1916,202,0.4697,4.4554,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,R19,Federico Lacroze,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#R19,3855092.0341,3032830.6752,228620.5454,3626471.4887,2804210.1298,5.9304,7.5382,98,1916,532,5.1148,18.4211,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z43,Colegiales,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z43,3855092.0341,2290766.469,78472.9308,3776619.1033,2212293.5382,2.0356,3.4256,8,1916,441,0.4175,1.8141,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R02,Avenida Corrientes,R12,Centro y Microcentro,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R02,geometria_r7/zonas_r7.geojson#R12,496728.0407,1841166.0714,217242.3436,279485.6971,1623923.7278,43.7347,11.7992,133,354,1084,37.5706,12.2694,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R02,Avenida Corrientes,Z35,Balvanera · Once,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_NO,geometria_r7/zonas_r7.geojson#R02,geometria_r7/zonas_r7.geojson#Z35,496728.0407,4344292.8134,70332.993,426395.0477,4273959.8204,14.1593,1.619,48,354,1253,13.5593,3.8308,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R04,Puerto Madero,Z46,Retiro,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R04,geometria_r7/zonas_r7.geojson#Z46,3145411.6199,4666034.0744,230613.8255,2914797.7944,4435420.2489,7.3318,4.9424,4,354,715,1.1299,0.5594,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R04,Puerto Madero,Z53,La Boca · Caminito y Vuelta de Rocha,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_NO,geometria_r7/zonas_r7.geojson#R04,geometria_r7/zonas_r7.geojson#S_LABOCA,3145411.6199,5039963.2303,241989.301,2903422.319,4797973.9293,7.6934,4.8014,14,354,295,3.9548,4.7458,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R05,Belgrano,Z41,Nunez,True,False,REAL_PREVIO_NO_INCLUIDO_EN_R15,PROVISORIO_R15_PARCIAL,geometria_r7/zonas_r7.geojson#R05,geometria_r7/zonas_r7.geojson#Z41,396472.641,4498573.1913,599.2928,395873.3482,4497973.8985,0.1512,0.0133,0,343,494,0.0,0.0,SOLAPADA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R08,Villa Crespo,R19,Federico Lacroze,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,geometria_r7/zonas_r7.geojson#R19,3354577.7039,3032830.6752,77789.3092,3276788.3947,2955041.3661,2.3189,2.5649,1,823,532,0.1215,0.188,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
