barrio,locales_capa_vieja,locales_capa_oficial,neto,entran,salen,de_que_barrio_entran,a_que_barrio_salen
PALERMO,3320,3322,2,2,0,(fuera de toda la capa) 1 · BELGRANO 1,
(fuera de toda la capa),3,2,-1,0,1,,PALERMO 1
BELGRANO,1352,1351,-1,0,1,,PALERMO 1
CABALLITO,1203,1202,-1,0,1,,PARQUE CHACABUCO 1
FLORESTA,282,281,-1,0,1,,VELEZ SARSFIELD 1
PARQUE CHACABUCO,281,282,1,1,0,CABALLITO 1,
PATERNAL,126,125,-1,0,1,,VILLA GRAL. MITRE 1
RETIRO,598,597,-1,0,1,,SAN NICOLAS 1
SAN NICOLAS,1292,1293,1,1,0,RETIRO 1,
VELEZ SARSFIELD,177,178,1,1,0,FLORESTA 1,
VILLA GRAL. MITRE,206,207,1,1,0,PATERNAL 1,
VILLA PUEYRREDON,229,230,1,1,0,VILLA URQUIZA 1,
VILLA URQUIZA,645,644,-1,0,1,,VILLA PUEYRREDON 1
