bloque,fila_tipo,concentracion_id,concentracion_nombre,polo_id,polo_nombre,borde_polo,atribuible,estado_soporte,fuente_geometria,superficie_concentracion_m2,superficie_soporte_m2,interseccion_m2,pct_concentracion_en_soporte,pct_soporte_cubierto,criterio
PUBLICABLE,INTERSECCION,P001,Costanera Norte,R07,Costanera Norte,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R07,121124.2946,385048.0512,62169.6498,51.3272,16.1459,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P008,Distrito de Diseño,Z51,"Barracas · Iriarte, California y Vieytes",TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z51,235189.2958,58289.4095,55948.2402,23.7886,95.9835,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P016,Plaza Arenales,R15,Devoto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R15,267220.6787,4787401.8397,260318.8513,97.4172,5.4376,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P018-1,Villa Devoto · Av. Francisco Beiró°,R15,Devoto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R15,143820.2128,4787401.8397,143820.2128,100.0,3.0041,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P018-2,Villa Real · Av. Francisco Beiró y Lope de Vega°,R15,Devoto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R15,110384.2488,4787401.8397,59066.2105,53.5096,1.2338,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P020,Villa Luro,Z31,Villa Luro,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z31,250954.0719,137000.0722,91490.09,36.4569,66.7811,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P021,Liniers,Z32,Liniers · Mercado Andino,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z32,778641.5221,69983.3644,68111.73,8.7475,97.3256,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P022,Saavedra · Av. Ricardo Balbín°,R20,Garcia del Rio,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R20,535896.7073,610027.9937,156721.1862,29.2447,25.6908,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P024,Av. Sáenz,Z54,Nueva Pompeya · eje Av. Saenz,TRAZADO,SI,REAL_CONCENTRACION_MEDIDA,borrador_polos/polos_publicables.geojson#P024,504234.5331,504234.5331,504234.5331,100.0,100.0,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P025-1,Monte Castro · Álvarez Jonte y Segurola°,Z28,Monte Castro,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z28,101939.6263,287297.4688,62248.4289,61.064,21.6669,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P025-2,Monte Castro · Av. Lope de Vega°,Z28,Monte Castro,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z28,48869.0951,287297.4688,36589.4376,74.8723,12.7357,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P027,Distrito Tecnológico,R14,Avenida Boedo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R14,1008381.1853,1794603.7926,259512.7264,25.7356,14.4607,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P029,Boedo · Av. Boedo y Pavón°,R14,Avenida Boedo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R14,133465.1863,1794603.7926,133204.5538,99.8047,7.4225,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P030,Puerto Madero,R04,Puerto Madero,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R04,294655.4714,3145411.6199,289151.2492,98.132,9.1928,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P033,La Boca · Av. Almirante Brown y Necochea°,Z52,La Boca · Almirante Brown y Necochea,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z52,166757.9602,61375.7276,858.2313,0.5147,1.3983,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P035,Villa Devoto · Av. Gral. Mosconi y Av. San Martín°,R15,Devoto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R15,93865.3505,4787401.8397,47831.7606,50.9578,0.9991,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P039,DoHo (Donado-Holmberg) · tramo norte,R16,Donado-Holmberg,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R16,79333.1405,1189977.7103,79333.1405,100.0,6.6668,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P043,La Isla,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,915659.1333,3354577.7039,155327.8317,16.9635,4.6303,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P043,La Isla,R21,La Paternal,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R21,915659.1333,3853388.4058,570396.6111,62.2936,14.8025,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P045,DoHo,R16,Donado-Holmberg,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R16,633596.1156,1189977.7103,97877.5026,15.4479,8.2252,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P045,DoHo,R17,Villa Urquiza,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R17,633596.1156,4466238.0978,153757.0888,24.2674,3.4427,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P046,Bulevar Mendoza,R16,Donado-Holmberg,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R16,1146625.8396,1189977.7103,231.1363,0.0202,0.0194,intersección > 0.01 m²; sin tope de filas
