nombre,direccion_adoptada,direcciones_alternativas,barrio,comuna,estado,nivel_de_verificacion,fecha,fuente,dias_desde_verificacion,accion
ALMACEN Y BAR LAVALLE,Lavalle 1693,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR 9 DE JULIO,Larrazabal 1276,,Mataderos,9,abierto,v1,2025-10-16,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",298,revisar: evidencia vencida o no auditables individualmente
BAR BIDOU,Av. Roque Saenz Pena 858,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR BRITANICO,Brasil 399,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR CONDE,Av. Federico Lacroze 3193,,Colegiales,13,abierto,v2,2026-07-29,Fuente pública fechada archivada; fecha adoptada 2026-07-29.,12,mantener; próxima revisión ordinaria
BAR DE CAO,Av. Independencia 2400,,San Cristobal,3,abierto,v3,2026-08-07,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,,Recoleta,2,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR DEL GLORIAS,Andalgala 1982,,Mataderos,9,abierto,v3,2026-04-06,Ficha oficial editada o participación pública fechada; fecha adoptada 2026-04-06.,126,revisar: evidencia vencida o no auditables individualmente
BAR EL COLONIAL,Av. Belgrano 599,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR IBERIA,Av. de Mayo 1196,,Monserrat,1,abierto,v2,2024-06-01,"La Nación, publicación del 2024-06-01.",800,revisar: evidencia vencida o no auditables individualmente
BAR OLIMPO,Irigoyen 1491,,Monte Castro,10,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
BAR OVIEDO,Av. Lisandro de la Torre 2407,,Mataderos,9,abierto,v2,2021-03-01,Fuente pública fechada archivada; fecha adoptada 2021-03-01.,1988,revisar: evidencia vencida o no auditables individualmente
BAR PLAZA DORREGO,Defensa 1098,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR PORTUARIO,Pinzon 102,,La Boca,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR QUINTINO,Carlos Calvo 4002,,Boedo,5,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR SEDDON,Defensa 695,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR SUR,Estados Unidos 299,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BAR VIA 71,Viamonte 1771,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BARBARO BAR,Tres Sargentos 415,,Retiro,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BOCA A BOCA BAR,Av. Benito Perez Galdos 207,207,La Boca,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
BOSTON CITY,Florida 165 local 3,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CABILDO DE BUENOS AIRES,Peru 86,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE CORTAZAR,Jose Antonio Cabrera 3797,,Palermo,14,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE DE GARCIA,Sanabria 3302,,Villa Devoto,11,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE DE LA U,Av. Triunvirato 4801,,Villa Urquiza,12,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,,Balvanera,3,abierto,v3,2026-05-25,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-05-25.,77,mantener; próxima revisión ordinaria
CAFE MARGOT,Av. Boedo 857,,Boedo,5,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
