polo_a,polo_b,local_id,barrio,comuna
R01,R08,LOC014382,Palermo,14.0
R01,R08,LOC020206,Palermo,14.0
R01,R08,LOC020592,Palermo,14.0
R01,R08,LOC004805,Palermo,14.0
R01,R08,LOC010883,Palermo,14.0
R01,R08,LOC014386,Palermo,14.0
R01,R08,LOC003457,Palermo,14.0
R01,R08,LOC010915,Palermo,14.0
R01,R08,LOC010162,Palermo,14.0
R01,R08,LOC020213,Palermo,14.0
R01,R08,LOC007349,Palermo,14.0
R01,R08,LOC020212,Palermo,14.0
R01,R08,LOC020211,Palermo,14.0
R01,R08,LOC014385,Palermo,14.0
R01,R08,LOC010751,Palermo,14.0
R01,R08,LOC020195,Palermo,14.0
R01,R08,LOC010192,Palermo,14.0
R01,R08,LOC014384,Palermo,14.0
R01,R08,LOC014362,Palermo,14.0
R01,R08,LOC000701,Palermo,14.0
R01,R08,LOC020166,Palermo,14.0
R01,R08,LOC014363,Palermo,14.0
R01,R08,LOC003217,Palermo,14.0
R01,R08,LOC020210,Palermo,14.0
R01,R08,LOC002699,Palermo,14.0
R01,R08,LOC020196,Palermo,14.0
R01,R08,LOC001402,Palermo,14.0
R01,R08,LOC020194,Palermo,14.0
R01,R08,LOC009839,Palermo,14.0
R01,R08,LOC018410,Villa Crespo,15.0
R01,R08,LOC014375,Villa Crespo,15.0
R01,R08,LOC014376,Palermo,14.0
R01,R08,LOC006092,Palermo,14.0
R01,R08,LOC005793,Palermo,14.0
R01,R08,LOC020197,Palermo,14.0
R01,R08,LOC018276,Villa Crespo,15.0
R01,R08,LOC018275,Villa Crespo,15.0
R01,R08,LOC020164,Palermo,14.0
R01,R08,LOC014187,Villa Crespo,15.0
R01,R08,LOC010163,Palermo,14.0
R01,R08,LOC014174,Villa Crespo,15.0
R01,R08,LOC018234,Villa Crespo,15.0
R01,R08,LOC020325,Palermo,14.0
R01,R08,LOC002726,Villa Crespo,15.0
R01,R08,LOC009412,Villa Crespo,15.0
R01,R08,LOC018233,Villa Crespo,15.0
R01,R08,LOC014186,Palermo,14.0
R01,R08,LOC008729,Palermo,14.0
R01,R08,LOC014364,Palermo,14.0
R01,R08,LOC014365,Palermo,14.0
R01,R08,LOC001787,Palermo,14.0
R01,R08,LOC009778,Palermo,14.0
R01,R08,LOC020167,Palermo,14.0
R01,R08,LOC014368,Palermo,14.0
R01,R08,LOC017432,Chacarita,15.0
R01,R08,LOC019455,Palermo,14.0
R01,R08,LOC014157,Palermo,14.0
R01,R08,LOC014156,Palermo,14.0
R01,R08,LOC014155,Palermo,14.0
R01,R08,LOC019751,Palermo,14.0
R01,R08,LOC004239,Palermo,14.0
R01,R08,LOC019750,Palermo,14.0
R01,R08,LOC017446,Chacarita,15.0
R01,R08,LOC019749,Palermo,14.0
R01,R08,LOC014151,Palermo,14.0
R01,R08,LOC019454,Palermo,14.0
R01,R08,LOC019453,Palermo,14.0
R01,R08,LOC019748,Palermo,14.0
R01,R08,LOC008647,Palermo,14.0
R01,R08,LOC020324,Palermo,14.0
R01,R08,LOC014175,Villa Crespo,15.0
R01,R08,LOC014185,Palermo,14.0
R01,R08,LOC003818,Palermo,14.0
R01,R08,LOC007670,Palermo,14.0
R01,R08,LOC020453,Palermo,14.0
R01,R08,LOC000229,Palermo,14.0
R01,R08,LOC004181,Palermo,14.0
R01,R09,LOC005787,Chacarita,15.0
R01,R09,LOC019312,Palermo,14.0
R01,R09,LOC019742,Palermo,14.0
R01,R09,LOC015507,Palermo,14.0
R01,R09,LOC003345,Palermo,14.0
R01,R09,LOC020109,Palermo,14.0
R01,R09,LOC008843,Palermo,14.0
R01,R09,LOC005821,Palermo,14.0
R01,R09,LOC002204,Palermo,14.0
R01,R19,LOC002121,Chacarita,15.0
R01,R19,LOC009843,Chacarita,15.0
R01,R19,LOC020114,Palermo,14.0
R01,R19,LOC011090,Palermo,14.0
R01,R19,LOC001423,Chacarita,15.0
R01,R19,LOC015475,Chacarita,15.0
R01,R19,LOC000373,Chacarita,15.0
R01,R19,LOC017421,Chacarita,15.0
R01,R19,LOC020115,Palermo,14.0
R01,R19,LOC005389,Chacarita,15.0
R01,R19,LOC001490,Palermo,14.0
R01,R19,LOC020117,Palermo,14.0
R01,R19,LOC020108,Palermo,14.0
R01,R19,LOC015478,Palermo,14.0
R01,R19,LOC015506,Palermo,14.0
R01,R19,LOC020118,Palermo,14.0
R01,R19,LOC019478,Palermo,14.0
R01,R19,LOC004893,Palermo,14.0
R01,R19,LOC019477,Palermo,14.0
R01,R19,LOC015505,Palermo,14.0
R01,R19,LOC015503,Palermo,14.0
R01,R19,LOC007623,Chacarita,15.0
R01,R19,LOC020109,Palermo,14.0
R01,R19,LOC019479,Palermo,14.0
R01,R19,LOC010861,Palermo,14.0
R01,R19,LOC000504,Palermo,14.0
R01,R19,LOC017404,Chacarita,15.0
R01,R19,LOC008423,Chacarita,15.0
R01,R19,LOC017405,Chacarita,15.0
R01,R19,LOC001828,Chacarita,15.0
R01,R19,LOC005326,Palermo,14.0
R01,R19,LOC003140,Chacarita,15.0
R01,R19,LOC005821,Palermo,14.0
R01,R19,LOC015488,Chacarita,15.0
R01,R19,LOC001871,Palermo,14.0
R01,R19,LOC005111,Colegiales,13.0
R01,R19,LOC000168,Colegiales,13.0
R01,R19,LOC019480,Palermo,14.0
R01,R19,LOC007916,Palermo,14.0
R01,R19,LOC000763,Palermo,14.0
R01,R19,LOC008294,Palermo,14.0
R01,R19,LOC003802,Palermo,14.0
R01,R19,LOC015078,Palermo,14.0
R01,R19,LOC010229,Palermo,14.0
R01,R19,LOC010313,Palermo,14.0
R01,R19,LOC015079,Palermo,14.0
R01,R19,LOC019613,Palermo,14.0
R01,R19,LOC003391,Palermo,14.0
R01,R19,LOC007333,Palermo,14.0
R01,R19,LOC006698,Palermo,14.0
R01,R19,LOC004026,Palermo,14.0
R01,R19,LOC015081,Palermo,14.0
R01,R19,LOC016810,Palermo,14.0
R01,R19,LOC015080,Palermo,14.0
R01,R19,LOC010311,Palermo,14.0
R01,R19,LOC015082,Palermo,14.0
R01,R19,LOC019617,Palermo,14.0
R01,R19,LOC004661,Palermo,14.0
R01,R19,LOC019614,Palermo,14.0
R01,R19,LOC003664,Palermo,14.0
R01,R19,LOC019612,Palermo,14.0
R01,R19,LOC019615,Palermo,14.0
R01,R19,LOC019871,Palermo,14.0
R01,R19,LOC019610,Palermo,14.0
R01,R19,LOC000214,Palermo,14.0
R01,R19,LOC019611,Palermo,14.0
R01,R19,LOC009046,Palermo,14.0
R01,R19,LOC004368,Palermo,14.0
R01,R19,LOC019607,Palermo,14.0
R01,R19,LOC015098,Palermo,14.0
R01,R19,LOC009464,Palermo,14.0
R01,R19,LOC003912,Palermo,14.0
R01,R19,LOC005065,Palermo,14.0
R01,R19,LOC010797,Palermo,14.0
R01,R19,LOC020424,Palermo,14.0
R01,R19,LOC005453,Palermo,14.0
R01,R19,LOC020422,Palermo,14.0
R01,R19,LOC009127,Palermo,14.0
R01,R19,LOC019608,Palermo,14.0
R01,R19,LOC009081,Palermo,14.0
R01,R19,LOC004638,Palermo,14.0
R01,R19,LOC010413,Palermo,14.0
R01,R19,LOC019787,Palermo,14.0
R01,R19,LOC019786,Palermo,14.0
R01,R19,LOC015099,Palermo,14.0
R01,R19,LOC019782,Palermo,14.0
R01,R19,LOC000501,Palermo,14.0
R01,R19,LOC019785,Palermo,14.0
R01,R19,LOC008938,Palermo,14.0
R01,R19,LOC019873,Palermo,14.0
R01,R19,LOC015083,Palermo,14.0
R01,R19,LOC019872,Palermo,14.0
R01,R19,LOC001737,Palermo,14.0
R01,R19,LOC015097,Palermo,14.0
R01,R19,LOC019781,Palermo,14.0
R01,R19,LOC001391,Palermo,14.0
R01,R19,LOC019783,Palermo,14.0
R01,R19,LOC004931,Palermo,14.0
R01,Z43,LOC005111,Colegiales,13.0
R01,Z43,LOC000168,Colegiales,13.0
R01,Z43,LOC015493,Colegiales,13.0
R01,Z43,LOC006368,Colegiales,13.0
R01,Z43,LOC015423,Colegiales,13.0
R01,Z43,LOC015424,Colegiales,13.0
R01,Z43,LOC015422,Colegiales,13.0
R01,Z43,LOC008905,Colegiales,13.0
R02,R12,LOC015919,San Nicolas,1.0
R02,R12,LOC024551,San Nicolas,1.0
R02,R12,LOC024401,San Nicolas,1.0
R02,R12,LOC004796,San Nicolas,1.0
R02,R12,LOC008012,San Nicolas,1.0
R02,R12,LOC001114,San Nicolas,1.0
R02,R12,LOC005853,San Nicolas,1.0
R02,R12,LOC002797,San Nicolas,1.0
R02,R12,LOC015927,San Nicolas,1.0
R02,R12,LOC006337,San Nicolas,1.0
R02,R12,LOC010691,San Nicolas,1.0
R02,R12,LOC024350,San Nicolas,1.0
R02,R12,LOC024323,San Nicolas,1.0
R02,R12,LOC015947,San Nicolas,1.0
R02,R12,LOC015957,San Nicolas,1.0
R02,R12,LOC024512,San Nicolas,1.0
R02,R12,LOC015961,San Nicolas,1.0
R02,R12,LOC003548,San Nicolas,1.0
R02,R12,LOC024532,San Nicolas,1.0
R02,R12,LOC024380,San Nicolas,1.0
R02,R12,LOC015955,San Nicolas,1.0
R02,R12,LOC024362,San Nicolas,1.0
R02,R12,LOC007484,San Nicolas,1.0
R02,R12,LOC001094,San Nicolas,1.0
R02,R12,LOC008968,San Nicolas,1.0
R02,R12,LOC009543,San Nicolas,1.0
R02,R12,LOC004503,San Nicolas,1.0
R02,R12,LOC009196,San Nicolas,1.0
R02,R12,LOC015939,San Nicolas,1.0
R02,R12,LOC024211,San Nicolas,1.0
R02,R12,LOC008060,San Nicolas,1.0
R02,R12,LOC000664,San Nicolas,1.0
